CATEGORY,GIS_ID,OBJECTID,GLOBALID,SHAPEAREA,SHAPELEN
Primary Street,Downtown_DesignatedStreetsPly_258,1,{E40908B5-0B39-4D72-AD21-F08725BAD6DA},0,0
Primary Street,Downtown_DesignatedStreetsPly_259,2,{A1DF714B-6C95-41DE-BBDB-E4F61027909C},0,0
Primary Street,Downtown_DesignatedStreetsPly_260,3,{BE3CDF59-3964-4670-AF56-13663E6D84A8},0,0
Primary Street,Downtown_DesignatedStreetsPly_261,4,{D3402E24-321C-4495-A539-BF3FFBC4BA07},0,0
Primary Street,Downtown_DesignatedStreetsPly_262,5,{01DBC926-2D84-478D-966E-C3DDEBC45F2E},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_263,6,{A9214052-DD5B-4455-831F-B18202A141C1},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_264,7,{A0F6A6D3-0B1E-4D59-9D91-027EB0044FF4},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_265,8,{DF32BA43-E6A7-47CF-B0F6-10C7CBDD3265},0,0
Primary Street,Downtown_DesignatedStreetsPly_266,9,{129B7323-1F09-441D-AE5A-307E776A8CD4},0,0
Primary Street,Downtown_DesignatedStreetsPly_267,10,{05862013-F935-47AC-86EA-02518D7C4808},0,0
Primary Street,Downtown_DesignatedStreetsPly_268,11,{69F4EEFB-9AD1-4A0B-88FD-BFCC96355E00},0,0
Primary Street,Downtown_DesignatedStreetsPly_269,12,{9C5E52EE-EC3F-4A1D-AC53-007B8D801CB4},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_270,13,{6849908F-E1B8-4A4E-ABB9-EB5BE63410B8},0,0
Primary Street,Downtown_DesignatedStreetsPly_271,14,{17283AF0-8E0E-4910-A0BC-29A06DE9812D},0,0
Primary Street,Downtown_DesignatedStreetsPly_272,15,{71342751-5705-4C10-B47D-BECF0C6F1023},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_273,16,{B6CC7585-BD9F-48C5-A95E-BE7D0EF4466D},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_274,17,{61B98272-510D-4DC2-97F0-604C683FC5EB},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_275,18,{B0D99AEF-9255-4455-A108-F1210E6A0680},0,0
Secondary Street,Downtown_DesignatedStreetsPly_276,19,{8D2A909C-8294-421D-BC77-FC8706DDCF4A},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_277,20,{399EE4E9-8131-474C-8682-DA7BDD375E07},0,0
Secondary Street,Downtown_DesignatedStreetsPly_278,21,{9DA76BF2-3166-4067-A266-0DFA3442F3D0},0,0
Primary Street,Downtown_DesignatedStreetsPly_279,22,{551DBA3D-3223-4DCE-8A19-EC691D58778F},0,0
Primary Street,Downtown_DesignatedStreetsPly_280,23,{090A9944-135E-4123-9C85-B566F1A8CB7F},0,0
Primary Street,Downtown_DesignatedStreetsPly_281,24,{3E003352-4F80-4582-9DF0-D1710D8B25B6},0,0
Primary Street,Downtown_DesignatedStreetsPly_282,25,{738DE637-34DA-485B-81AB-CBE87A951675},0,0
Primary Street,Downtown_DesignatedStreetsPly_283,26,{91B4A7D0-58E8-4822-9B53-3CB0F9550BBC},0,0
Primary Street,Downtown_DesignatedStreetsPly_284,27,{62EF600E-80D2-4096-8014-00E6E259C053},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_285,28,{89B3B7EB-64BE-4756-86A6-3DD9272DAA2E},0,0
Secondary Street,Downtown_DesignatedStreetsPly_286,29,{EAB0ED38-35FC-46B4-9D80-27E6C97F5C12},0,0
Secondary Street,Downtown_DesignatedStreetsPly_287,30,{50C43CCD-7793-40CB-8BD4-AE371D4FC9E5},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_1,31,{402ED896-F85C-4CB2-966F-08EDA09D619E},0,0
Secondary Street,Downtown_DesignatedStreetsPly_2,32,{EEB2BDD2-3F24-4451-A368-9BEB6CEFA82C},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_3,33,{DB3E6EE9-97DF-45F8-9119-0FC179FC2266},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_4,34,{9CC57B20-434D-4FC7-B7CD-460FFF3B92F8},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_5,35,{21AF5C1D-22D7-4866-8104-863BF1248203},0,0
Primary Street,Downtown_DesignatedStreetsPly_6,36,{ED6BE5F6-FE41-412C-9D95-25614AC4FEC9},0,0
Primary Street,Downtown_DesignatedStreetsPly_7,37,{B9868BBE-5BAC-4754-B7D3-CCBC11318917},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_8,38,{6A53C832-6417-47ED-877B-11AE5F23CB1F},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_9,39,{FBE19F13-C595-4F52-9F02-99E7C54DADC2},0,0
