PROGRAMAS DE DOCTORADO;TOTAL
AGUA Y DESARROLLO SOSTENIBLE;5
BIODIVERSIDAD Y CONSERVACIÓN;10
BIOLOGÍA EXPERIMENTAL Y APLICADA;20
CIENCIA DE MATERIALES;20
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;6
CIENCIAS DE LA SALUD;40
CIENCIAS DEL MAR Y BIOLOGÍA APLICADA;15
CIENCIAS EXPERIMENTALES Y BIOSANITARIAS;25
CONSERVACIÓN Y RESTAURACIÓN DE ECOSISTEMAS;5
DERECHO;20
ECONOMÍA;20
ECONOMÍA (Interuniversitario);15
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);5
EMPRESA, ECONOMÍA Y SOCIEDAD;20
ESTUDIOS HISTÓRICOS Y SOCIALES SOBRE CIENCIA, MEDICINA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);10
ESTUDIOS INTERDISCIPLINARES DE GÉNERO (Interuniversitario);5
FILOSOFÍA (Interuniversitario);3
FILOSOFÍA Y LETRAS;75
FÍSICA APLICADA A LAS CIENCIAS Y LAS TECNOLOGÍAS;10
HUMANIDADES Y ESTUDIOS SOCIALES DE AMÉRICA LATINA;40
INFORMÁTICA;40
INGENIERÍA DE MATERIALES, ESTRUCTURAS Y TERRENO: CONSTRUCCIÓN SOSTENIBLE;10
INGENIERÍA QUÍMICA;5
INVESTIGACIÓN EDUCATIVA;25
MÉTODOS MATEMÁTICOS Y MODELIZACIÓN EN CIENCIAS E INGENIERÍA;7
NANOCIENCIA Y NANOTECNOLOGÍA (Interuniversitario);5
SÍNTESIS ORGÁNICA;10
TECNOLOGÍA EDUCATIVA APLICADA AL CONOCIMIENTO;35
TRADUCTOLOGÍA, TRADUCCIÓN PROFESIONAL Y AUDIOVISUAL (Interuniversitario);20
TRANSFERENCIAS INTERCULTURALES E HISTÓRICAS EN LA EUROPA MEDIEVAL MEDITERRÁNEA;15
TURISMO (Interuniversitario);15
