GRADOS;TOTAL
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;370
ARQUITECTURA TÉCNICA;60
BIOLOGÍA;160
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;100
CIENCIAS DEL MAR;60
CRIMINOLOGÍA;240
DERECHO;240
DOBLE GRADO EN FÍSICA Y MATEMÁTICAS;30
ECONOMÍA;125
ENFERMERÍA;200
ESPAÑOL: LENGUA Y LITERATURAS;55
ESTUDIOS ÁRABES E ISLÁMICOS;50
ESTUDIOS FRANCESES;50
ESTUDIOS INGLESES;125
FILOLOGIA CATALANA;50
FÍSICA;50
FUNDAMENTOS DE LA ARQUITECTURA;120
GASTRONOMÍA Y ARTES CULINARIAS;75
GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO;50
GEOLOGÍA;50
GESTIÓN Y ADMINISTRACIÓN PÚBLICA;50
HISTORIA;125
HUMANIDADES;50
INGENIERÍA AEROESPACIAL;50
INGENIERÍA BIOMÉDICA;60
INGENIERÍA CIVIL;75
INGENIERÍA EN INTELIGENCIA ARTIFICIAL;60
INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN;80
INGENIERÍA INFORMÁTICA;190
INGENIERÍA MULTIMEDIA;95
INGENIERÍA QUÍMICA;60
INGENIERÍA ROBÓTICA;60
LOGOPEDIA;70
MAESTRO EN EDUCACIÓN INFANTIL;360
MAESTRO EN EDUCACIÓN PRIMARIA;440
MARKETING;75
MATEMÁTICAS;50
MEDICINA;86
NUTRICIÓN HUMANA Y DIETÉTICA;100
ÓPTICA Y OPTOMETRÍA;70
PUBLICIDAD Y RELACIONES PÚBLICAS;240
QUÍMICA;70
RELACIONES INTERNACIONALES;60
RELACIONES LABORALES Y RECURSOS HUMANOS (UA);121
RELACIONES LABORALES Y RECURSOS HUMANOS (ELDA);30
SOCIOLOGÍA;60
TRABAJO SOCIAL;160
TRADUCCIÓN E INTERPRETACIÓN;180
TURISMO;140
DOBLE GRADO EN DERECHO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;130
DOBLE GRADO EN DERECHO Y CRIMINOLOGÍA;70
DOBLE GRADO EN DERECHO Y RELACIONES INTERNACIONALES;60
DOBLE GRADO EN INGENIERÍA INFORMÁTICA Y ADMINISTR. Y DIRECCIÓN DE EMPRESAS;50
DOBLE GRADO EN TURISMO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;100
