MÁSTERES UNIVERSITARIOS;TOTAL
ABOGACÍA Y PROCURA;140
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;40
ARQUEOLOGÍA PROFESIONAL Y GESTIÓN INTEGRAL DEL PATRIMONIO;30
ARQUITECTURA;90
AUTOMÁTICA Y ROBÓTICA;30
BIOMEDICINA;20
BIOTECNOLOGÍA PARA LA SALUD Y LA SOSTENIBILIDAD;20
CÁLCULO Y MODELIZACIÓN CIENTÍFICA;25
CIBERSEGURIDAD;20
CIENCIA DE DATOS;20
CIENCIA DE MATERIALES;20
COMUNICACIÓN DIGITAL;35
COMUNICACIÓN E INDUSTRIAS CREATIVAS;35
CONSERVACIÓN DE LA BIODIVERSIDAD Y RESTAURACIÓN;25
COOPERACIÓN AL DESARROLLO (Interuniversitario);25
DERECHO AMBIENTAL Y DE LA SOSTENIBILIDAD;30
DERECHO DE DAÑOS;40
DESARROLLO DE APLICACIONES Y SERVICIOS WEB;30
DESARROLLO DE SOFTWARE PARA DISPOSITIVOS MÓVILES;20
DESARROLLO LOCAL E INNOVACIÓN TERRITORIAL;25
DIRECCIÓN Y PLANIFICACIÓN DEL TURISMO;30
ECONOMÍA APLICADA;15
ECONOMÍA CUANTITATIVA;25
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);25
EMERGENCIAS Y CATÁSTROFES;30
ENVEJECIMIENTO ACTIVO Y SALUD;20
ESPAÑOL E INGLÉS COMO SEGUNDAS LENGUAS/LENGUAS EXTRANJERAS;25
ESTUDIOS INGLESES AVANZADOS;40
ESTUDIOS LITERARIOS;30
GESTIÓN ADMINISTRATIVA;30
GESTIÓN PESQUERA SOSTENIBLE;25
GESTIÓN SOSTENIBLE Y TECNOLOGÍAS DEL AGUA;20
HISTORIA DE LA CIENCIA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);7
HISTORIA DE LA EUROPA CONTEMPORÁNEA: IDENTIDADES E INTEGRACIÓN;20
HISTORIA DEL MUNDO MEDITERRÁNEO Y SUS REGIONES;45
HISTORIA E IDENTIDADES EN EL MEDITERRÁNEO OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitario);15
INGENIERÍA BIOMÉDICA;20
INGENIERÍA DE CAMINOS, CANALES Y PUERTOS;50
INGENIERÍA DE TELECOMUNICACIÓN;30
INGENIERÍA GEOLÓGICA;30
INGENIERÍA INFORMÁTICA;50
INGENIERÍA QUÍMICA;20
INGLÉS Y ESPAÑOL PARA FINES ESPECÍFICOS;20
INNOVACIÓN SOCIAL Y DINÁMICAS DE CAMBIO;20
INTELIGENCIA ARTIFICIAL;25
INVESTIGACIÓN CRIMINAL Y CIENCIAS FORENSES;25
INVESTIGACIÓN EDUCATIVA;50
INVESTIGACIÓN EN CIENCIAS DE LA SALUD;20
NANOCIENCIA Y NANOTECNOLOGÍA MOLECULAR (Interuniversitario);10
NUEVAS TECNOLOGÍAS Y EFICIENCIA ENERGÉTICA EN EDIFICACIÓN;20
NUTRICIÓN Y ALIMENTACIÓN;25
OPTOMETRÍA AVANZADA Y SALUD VISUAL;15
PALEONTOLOGÍA APLICADA (Interuniversitario);10
PLANIFICACIÓN Y GESTIÓN DE RIESGOS NATURALES;20
PREVENCIÓN DE LA VIOLENCIA DE GÉNERO E INTERVENCIÓN DESDE UN ENFOQUE INTERDISCIPLINAR;25
PREVENCIÓN DE RIESGOS LABORALES;30
PROFESORADO DE EDUCACIÓN SECUNDARIA;500
QUÍMICA AMBIENTAL Y SOSTENIBLE;20
QUÍMICA MÉDICA;20
SALUD PÚBLICA (Interuniversitario);20
SISTEMA DE JUSTICIA PENAL (Interuniversitario);50
TRABAJO SOCIAL EN EL ÁMBITO SANITARIO (Interuniversitario);7
TRADUCCIÓN INSTITUCIONAL;90
TURISMO CULTURAL;30
