GRADOS;Total;Mujeres;Hombres
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;345;152;193
ARQUITECTURA TÉCNICA;73;40;33
BIOLOGÍA;154;104;50
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;105;40;65
CIENCIAS DEL MAR;61;42;19
CRIMINOLOGÍA;247;168;79
DERECHO;260;190;70
ECONOMÍA;135;56;79
ENFERMERÍA;245;199;46
ESPAÑOL: LENGUA Y LITERATURAS;66;51;15
ESTUDIOS ÁRABES E ISLÁMICOS;11;6;5
ESTUDIOS FRANCESES;15;9;6
ESTUDIOS INGLESES;119;89;30
FILOLOGIA CATALANA;29;18;11
FÍSICA;51;15;36
FUNDAMENTOS DE LA ARQUITECTURA;135;86;49
GASTRONOMÍA Y ARTES CULINARIAS;76;35;41
GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO;19;6;13
GEOLOGÍA;41;19;22
GESTIÓN Y ADMINISTRACIÓN PÚBLICA;36;18;18
HISTORIA;117;36;81
HUMANIDADES;27;12;15
INGENIERÍA AEROESPACIAL;50;14;36
INGENIERÍA BIOMÉDICA;64;46;18
INGENIERÍA CIVIL;81;22;59
INGENIERÍA EN INTELIGENCIA ARTIFICIAL;63;14;49
INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN;71;16;55
INGENIERÍA INFORMÁTICA;218;37;181
INGENIERÍA MULTIMEDIA;104;33;71
INGENIERÍA QUÍMICA;65;26;39
INGENIERÍA ROBÓTICA;68;14;54
LOGOPEDIA;78;71;7
MAESTRO EN EDUCACIÓN INFANTIL;357;308;49
MAESTRO EN EDUCACIÓN PRIMARIA;413;293;120
MARKETING;76;46;30
MATEMÁTICAS;55;18;37
MEDICINA;106;67;39
NUTRICIÓN HUMANA Y DIETÉTICA;114;84;30
ÓPTICA Y OPTOMETRÍA;72;55;17
PUBLICIDAD Y RELACIONES PÚBLICAS;235;176;59
QUÍMICA;72;41;31
RELACIONES INTERNACIONALES;68;52;16
RELACIONES LABORALES Y RECURSOS HUMANOS (UA);113;77;36
RELACIONES LABORALES Y RECURSOS HUMANOS (ELDA);12;9;3
SOCIOLOGÍA;50;32;18
TRABAJO SOCIAL;166;143;23
TRADUCCIÓN E INTERPRETACIÓN;126;99;27
TURISMO;106;64;42
DOBLE GRADO EN DERECHO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;131;88;43
DOBLE GRADO EN DERECHO Y CRIMINOLOGÍA;73;64;9
DOBLE GRADO EN DERECHO Y RELACIONES INTERNACIONALES;57;41;16
DOBLE GRADO EN FÍSICA Y MATEMÁTICAS;32;13;19
DOBLE GRADO EN INGENIERÍA INFORMÁTICA Y ADMINISTR. Y DIRECCIÓN DE EMPRESAS;55;9;46
DOBLE GRADO EN TURISMO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;97;44;53
