GRADOS;Total;Mujeres;Hombres
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;1176;498;678
ARQUITECTURA;3;1;2
ARQUITECTURA TÉCNICA;246;110;136
BIOLOGÍA;629;376;253
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;410;107;303
CIENCIAS DEL MAR;229;133;96
CRIMINOLOGÍA;939;681;258
DERECHO;1330;889;441
ECONOMÍA;509;198;311
ENFERMERÍA;795;635;160
ESPAÑOL: LENGUA Y LITERATURAS;244;198;46
ESTUDIOS ÁRABES E ISLÁMICOS;27;14;13
ESTUDIOS FRANCESES;51;46;5
ESTUDIOS INGLESES;461;359;102
FILOLOGIA CATALANA;141;107;34
FÍSICA;257;71;186
FUNDAMENTOS DE LA ARQUITECTURA;543;302;241
GASTRONOMÍA Y ARTES CULINARIAS;251;138;113
GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO;93;24;69
GEOLOGÍA;103;40;63
GESTIÓN Y ADMINISTRACIÓN PÚBLICA;100;62;38
HISTORIA;472;164;308
HUMANIDADES;90;58;32
INGENIERÍA BIOMÉDICA;331;180;151
INGENIERÍA CIVIL;229;63;166
INGENIERÍA EN INTELIGENCIA ARTIFICIAL;65;16;49
INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN;256;70;186
INGENIERÍA INFORMÁTICA;914;128;786
INGENIERÍA MULTIMEDIA;464;95;369
INGENIERÍA QUÍMICA;280;119;161
INGENIERÍA ROBÓTICA;287;61;226
MAESTRO EN EDUCACIÓN INFANTIL;1324;1167;157
MAESTRO EN EDUCACIÓN PRIMARIA;1729;1160;569
MARKETING;287;181;106
MATEMÁTICAS;298;95;203
MEDICINA;91;74;17
NUTRICIÓN HUMANA Y DIETÉTICA;358;257;101
ÓPTICA Y OPTOMETRÍA;220;160;60
PUBLICIDAD Y RELACIONES PÚBLICAS;1039;782;257
QUÍMICA;278;139;139
RELACIONES INTERNACIONALES;259;197;62
RELACIONES LABORALES Y RECURSOS HUMANOS (UA);456;307;149
RELACIONES LABORALES Y RECURSOS HUMANOS (ELDA);66;45;21
SOCIOLOGÍA;163;101;62
TRABAJO SOCIAL;630;542;88
TRADUCCIÓN E INTERPRETACIÓN;596;487;109
TURISMO;562;372;190
DOBLE GRADO EN DERECHO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;512;304;208
DOBLE GRADO EN DERECHO Y CRIMINOLOGÍA;365;304;61
DOBLE GRADO EN DERECHO Y RELACIONES INTERNACIONALES;236;190;46
DOBLE GRADO EN INGENIERÍA INFORMÁTICA Y ADMINISTR. Y DIRECCIÓN DE EMPRESAS;206;47;159
DOBLE GRADO EN TURISMO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;285;182;103
