Nacionalidad;Total;Mujeres;Hombres
ALEMANIA;27;14;13
ANDORRA;2;2;0
ANGOLA;2;2;0
ARGELIA;106;70;36
ARGENTINA;40;19;21
ARMENIA;6;3;3
AUSTRIA;3;1;2
AZERBAYÁN;1;1;0
BÉLGICA;11;9;2
BIELORRUSIA;7;5;2
BOLIVIA;12;9;3
BRASIL;48;32;16
BULGARIA;50;41;9
BURKINA FASO;1;1;0
CABO VERDE;1;0;1
CAMERÚN;1;1;0
CANADÁ;1;1;0
CHILE;14;9;5
CHINA (REPÚBLICA POPULAR);80;35;45
CHIPRE;1;1;0
COLOMBIA;142;90;52
COREA DEL SUR;1;1;0
COSTA RICA;3;1;2
CROACIA;1;1;0
CUBA;11;8;3
DINAMARCA;1;1;0
DOMINICA;1;1;0
ECUADOR;77;46;31
EGIPTO;2;0;2
ESLOVAQUIA;3;3;0
ESLOVENIA;3;3;0
ESPAÑA;20039;11873;8166
ESTADOS UNIDOS DE AMÉRICA;8;3;5
ESTONIA;1;0;1
ETIOPÍA;1;0;1
FILIPINAS;5;4;1
FRANCIA;33;18;15
GAMBIA;1;1;0
GEORGIA;7;3;4
GRECIA;2;1;1
GUATEMALA;2;2;0
GUINEA ECUATORIAL;30;23;7
HAITÍ;1;1;0
HOLANDA (PAISES BAJOS);13;7;6
HONDURAS;5;4;1
HUNGRÍA;11;6;5
INDIA;9;7;2
INDONESIA;2;1;1
IRÁN;5;3;2
IRLANDA (EIRE);1;1;0
ISRAEL;2;0;2
ITALIA;109;72;37
JAPÓN;1;1;0
JORDANIA;2;0;2
KAZAJSTÁN;11;6;5
KENIA;1;1;0
KIRGUISTÁN;1;1;0
LETONIA;5;3;2
LÍBANO;3;2;1
LITUANIA;9;8;1
LUXEMBURGO;1;0;1
MALASIA;4;2;2
MARRUECOS;192;105;87
MÉXICO;11;5;6
MOLDAVIA;4;2;2
MONTENEGRO;1;0;1
MOZAMBIQUE;1;1;0
NEPAL;1;1;0
NICARAGUA;5;3;2
NIGERIA;2;1;1
NORUEGA;2;2;0
PAKISTÁN;6;5;1
PARAGUAY;7;4;3
PERÚ;46;31;15
POLONIA;21;15;6
PORTUGAL;18;11;7
REINO UNIDO;53;34;19
REPÚBLICA CHECA;4;4;0
REPÚBLICA DEMOCRÁTICA DEL CONGO;1;1;0
REPÚBLICA DOMINICANA;4;3;1
RUMANÍA;181;124;57
RUSIA;137;86;51
SANTO TOMÉ Y PRÍNCIPE;1;1;0
SENEGAL;1;0;1
SERBIA;1;0;1
SIRIA;1;0;1
SUDÁFRICA;1;1;0
SUECIA;4;2;2
SUIZA;3;2;1
TÚNEZ;6;2;4
TURQUÍA;5;4;1
UCRANIA;76;53;23
URUGUAY;12;8;4
UZBEKISTÁN;1;1;0
VENEZUELA;61;38;23
DESCONOCIDA;31;21;10
