NACIONALIDAD;Total;Mujeres;Hombres
ALEMANIA;23;12;11
ANDORRA;2;2;0
ANGOLA;2;2;0
ARGELIA;137;87;50
ARGENTINA;33;20;13
ARMENIA;7;5;2
AUSTRIA;3;1;2
BÉLGICA;9;8;1
BIELORRUSIA;6;3;3
BOLIVIA;8;5;3
BRASIL;46;32;14
BULGARIA;61;48;13
BURKINA FASO;2;1;1
CABO VERDE;1;0;1
CAMERÚN;1;1;0
CANADÁ;1;1;0
CHILE;19;11;8
CHINA (REPÚBLICA POPULAR);76;29;47
CHIPRE;3;2;1
COLOMBIA;162;101;61
COREA DEL SUR;1;1;0
COSTA RICA;3;1;2
CROACIA;1;1;0
CUBA;14;9;5
DINAMARCA;2;2;0
DOMINICA;1;1;0
ECUADOR;60;36;24
EGIPTO;4;0;4
EL SALVADOR;1;1;0
ESLOVAQUIA;3;2;1
ESLOVENIA;2;2;0
ESPAÑA;20492;12192;8300
ESTADOS UNIDOS DE AMÉRICA;8;3;5
ESTONIA;1;0;1
ETIOPÍA;1;0;1
FILIPINAS;1;1;0
FRANCIA;33;21;12
GEORGIA;10;5;5
GRECIA;1;1;0
GUATEMALA;1;1;0
GUINEA ECUATORIAL;33;24;9
HOLANDA (PAISES BAJOS);9;4;5
HONDURAS;8;7;1
HUNGRÍA;10;5;5
INDIA;5;3;2
INDONESIA;2;0;2
IRÁN;10;8;2
IRLANDA (EIRE);2;1;1
ITALIA;122;74;48
JAPÓN;5;2;3
JORDANIA;4;0;4
KAZAJSTÁN;13;9;4
KENIA;1;1;0
KIRGUISTÁN;1;1;0
LETONIA;5;3;2
LÍBANO;5;2;3
LIBIA;2;1;1
LITUANIA;12;8;4
MALASIA;5;3;2
MALI;1;0;1
MARRUECOS;259;130;129
MÉXICO;9;6;3
MOLDAVIA;5;3;2
MONTENEGRO;1;0;1
MOZAMBIQUE;1;1;0
NEPAL;1;1;0
NICARAGUA;6;4;2
NIGERIA;2;0;2
NORUEGA;4;3;1
PAKISTÁN;4;3;1
PARAGUAY;5;3;2
PERÚ;65;47;18
POLONIA;21;15;6
PORTUGAL;14;8;6
REINO UNIDO;48;29;19
REPÚBLICA CHECA;4;4;0
REPÚBLICA DOMINICANA;2;1;1
RUMANÍA;190;132;58
RUSIA;126;81;45
SENEGAL;1;1;0
SERBIA;1;1;0
SUDÁFRICA;1;1;0
SUECIA;5;2;3
SUIZA;5;4;1
TÚNEZ;4;2;2
TURQUÍA;3;3;0
UCRANIA;85;53;32
URUGUAY;16;11;5
VENEZUELA;58;35;23
DESCONOCIDA;2;1;1
