MÁSTERES UNIVERSITARIOS;Total;Mujeres;Hombres
ABOGACÍA (a extinguir);94;61;33
ABOGACÍA Y PROCURA;113;70;43
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;60;27;33
ARQUEOLOGÍA PROFESIONAL Y GESTIÓN INTEGRAL DEL PATRIMONIO;43;20;23
ARQUITECTURA;77;40;37
AUTOMÁTICA Y ROBÓTICA;33;9;24
BIOMEDICINA;16;9;7
BIOTECNOLOGÍA PARA LA SALUD Y LA SOSTENIBILIDAD;8;4;4
CÁLCULO Y MODELIZACIÓN CIENTÍFICA;3;1;2
CIBERSEGURIDAD;20;3;17
CIENCIA DE DATOS;28;10;18
CIENCIA DE MATERIALES;12;5;7
COMUNICACIÓN DIGITAL;48;32;16
COMUNICACIÓN E INDUSTRIAS CREATIVAS;55;43;12
CONSERVACIÓN DE LA BIODIVERSIDAD Y RESTAURACIÓN;33;17;16
COOPERACIÓN AL DESARROLLO (Interuniversitario);24;15;9
DERECHO AMBIENTAL Y DE LA SOSTENIBILIDAD;29;17;12
DERECHO DE DAÑOS;14;9;5
DESARROLLO DE APLICACIONES Y SERVICIOS WEB;15;4;11
DESARROLLO DE SOFTWARE PARA DISPOSITIVOS MÓVILES;19;1;18
DESARROLLO LOCAL E INNOVACIÓN TERRITORIAL;11;5;6
DIRECCIÓN Y PLANIFICACIÓN DEL TURISMO;40;25;15
ECONOMÍA APLICADA;11;6;5
ECONOMÍA CUANTITATIVA;17;6;11
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);26;16;10
EMERGENCIAS Y CATÁSTROFES;33;28;5
ENVEJECIMIENTO ACTIVO Y SALUD;19;11;8
ESPAÑOL E INGLÉS COMO SEGUNDAS LENGUAS/LENGUAS EXTRANJERAS;48;35;13
ESTUDIOS INGLESES AVANZADOS;21;14;7
ESTUDIOS LITERARIOS;31;21;10
GESTIÓN ADMINISTRATIVA;26;18;8
GESTIÓN PESQUERA SOSTENIBLE;11;6;5
GESTIÓN SOSTENIBLE Y TECNOLOGÍAS DEL AGUA;22;16;6
HISTORIA DE LA CIENCIA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);12;6;6
HISTORIA DE LA EUROPA CONTEMPORÁNEA: IDENTIDADES E INTEGRACIÓN;11;3;8
HISTORIA DEL MUNDO MEDITERRÁNEO Y SUS REGIONES;23;12;11
HISTORIA E IDENTIDADES EN EL MEDITERRÁNEO OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitario);16;7;9
INGENIERÍA BIOMÉDICA;9;6;3
INGENIERÍA DE CAMINOS, CANALES Y PUERTOS;55;14;41
INGENIERÍA DE TELECOMUNICACIÓN;37;10;27
INGENIERÍA GEOLÓGICA;18;7;11
INGENIERÍA INFORMÁTICA;6;2;4
INGENIERÍA QUÍMICA;46;20;26
INGLÉS Y ESPAÑOL PARA FINES ESPECÍFICOS;21;17;4
INNOVACIÓN SOCIAL Y DINÁMICAS DE CAMBIO;17;10;7
INTELIGENCIA ARTIFICIAL;29;3;26
INVESTIGACIÓN CRIMINAL Y CIENCIAS FORENSES;17;13;4
INVESTIGACIÓN EDUCATIVA;42;25;17
INVESTIGACIÓN EN CIENCIAS DE LA SALUD;15;12;3
NANOCIENCIA Y NANOTECNOLOGÍA MOLECULAR (Interuniversitario);2;1;1
NUTRICIÓN Y ALIMENTACIÓN;22;20;2
OPTOMETRÍA AVANZADA Y SALUD VISUAL;6;6;0
PALEONTOLOGÍA APLICADA (Interuniversitario);13;7;6
PLANIFICACIÓN Y GESTIÓN DE RIESGOS NATURALES;22;11;11
PREVENCIÓN DE RIESGOS LABORALES;39;21;18
PROFESORADO DE EDUCACIÓN SECUNDARIA;540;304;236
QUÍMICA AMBIENTAL Y SOSTENIBLE;14;10;4
QUÍMICA MÉDICA;7;4;3
TRADUCCIÓN INSTITUCIONAL;93;81;12
TURISMO CULTURAL;16;9;7
