Nacionalidad;Total;Mujeres;Hombres
ALEMANIA;3;2;1
ANGOLA;1;1;0
ARGELIA;72;41;31
ARGENTINA;16;11;5
BANGLADESH;1;1;0
BÉLGICA;4;3;1
BOLIVIA;6;4;2
BRASIL;17;9;8
BULGARIA;7;3;4
CAMERÚN;1;0;1
CHILE;7;2;5
CHINA (REPÚBLICA POPULAR);28;18;10
COLOMBIA;78;44;34
COSTA RICA;3;2;1
CUBA;26;18;8
DINAMARCA;1;1;0
ECUADOR;24;17;7
EGIPTO;5;1;4
EL SALVADOR;5;1;4
ESPAÑA;1691;939;752
ESTADOS UNIDOS DE AMÉRICA;5;3;2
FINLANDIA;1;0;1
FRANCIA;15;10;5
GAMBIA;1;0;1
GEORGIA;1;1;0
GHANA;2;0;2
GUATEMALA;1;0;1
GUINEA ECUATORIAL;8;2;6
HOLANDA (PAISES BAJOS);1;1;0
HONDURAS;7;6;1
HUNGRÍA;1;1;0
INDIA;3;2;1
IRÁN;3;3;0
IRLANDA (EIRE);2;2;0
ITALIA;19;14;5
MADAGASCAR;1;1;0
MARRUECOS;13;10;3
MÉXICO;19;9;10
NICARAGUA;1;0;1
PANAMÁ;1;1;0
PARAGUAY;2;2;0
PERÚ;21;10;11
POLONIA;3;1;2
PORTUGAL;3;2;1
REINO UNIDO;6;2;4
REPÚBLICA DOMINICANA;1;0;1
RUMANÍA;8;6;2
RUSIA;27;19;8
SERBIA;2;1;1
SEYCHELLES;2;1;1
SIRIA;1;0;1
TÚNEZ;3;2;1
UCRANIA;11;7;4
URUGUAY;2;2;0
VENEZUELA;14;5;9
DESCONOCIDA;1;1;0
