NACIONALIDAD;Total;Mujeres;Hombres
ALEMANIA;8;6;2
ANGOLA;1;1;0
ARGELIA;62;38;24
ARGENTINA;11;8;3
ARMENIA;2;0;2
AZERBAYÁN;1;0;1
BANGLADESH;1;1;0
BÉLGICA;1;1;0
BIELORRUSIA;3;3;0
BOLIVIA;8;6;2
BRASIL;11;7;4
BULGARIA;3;2;1
CAMERÚN;1;1;0
CANADÁ;1;0;1
CHILE;12;3;9
CHINA (REPÚBLICA POPULAR);33;19;14
COLOMBIA;91;58;33
COSTA RICA;1;1;0
CUBA;27;17;10
DINAMARCA;1;1;0
ECUADOR;44;22;22
EGIPTO;5;1;4
EL SALVADOR;2;0;2
ESPAÑA;1843;1056;787
ESTADOS UNIDOS DE AMÉRICA;3;1;2
FINLANDIA;1;1;0
FRANCIA;11;6;5
GEORGIA;1;1;0
GHANA;2;0;2
GUATEMALA;5;2;3
GUINEA ECUATORIAL;3;0;3
HONDURAS;3;3;0
HUNGRÍA;1;1;0
IRÁN;3;2;1
ITALIA;15;9;6
KAZAJSTÁN;2;0;2
LETONIA;2;1;1
MADAGASCAR;1;1;0
MARRUECOS;13;9;4
MÉXICO;23;11;12
NICARAGUA;2;2;0
PAKISTÁN;1;0;1
PANAMÁ;1;1;0
PARAGUAY;3;2;1
PERÚ;31;19;12
POLONIA;3;0;3
PORTUGAL;2;1;1
REINO UNIDO;4;1;3
REPÚBLICA DOMINICANA;3;2;1
RUMANÍA;5;3;2
RUSIA;35;25;10
SERBIA;2;1;1
SEYCHELLES;1;1;0
SIRIA;1;0;1
TAILANDIA;1;1;0
TÚNEZ;4;2;2
TURQUÍA;1;1;0
UCRANIA;10;8;2
VENEZUELA;18;7;11
