MÁSTERES UNIVERSITARIOS;Total;Mujeres;Hombres
ABOGACÍA Y PROCURA;88;50;38
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;37;19;18
ARQUEOLOGÍA PROFESIONAL Y GESTIÓN INTEGRAL DEL PATRIMONIO;19;11;8
ARQUITECTURA;55;31;24
AUTOMÁTICA Y ROBÓTICA;16;3;13
BIOMEDICINA;11;6;5
BIOTECNOLOGÍA PARA LA SALUD Y LA SOSTENIBILIDAD;21;14;7
CÁLCULO Y MODELIZACIÓN CIENTÍFICA;11;1;10
CIBERSEGURIDAD;20;3;17
CIENCIA DE DATOS;20;3;17
CIENCIA DE MATERIALES;18;9;9
COMUNICACIÓN DIGITAL;35;27;8
COMUNICACIÓN E INDUSTRIAS CREATIVAS;36;26;10
CONSERVACIÓN DE LA BIODIVERSIDAD Y RESTAURACIÓN;25;14;11
COOPERACIÓN AL DESARROLLO (Interuniversitario);4;3;1
DERECHO AMBIENTAL Y DE LA SOSTENIBILIDAD;22;14;8
DERECHO DE DAÑOS;11;8;3
DESARROLLO DE APLICACIONES Y SERVICIOS WEB;14;3;11
DESARROLLO DE SOFTWARE PARA DISPOSITIVOS MÓVILES;11;2;9
DESARROLLO LOCAL E INNOVACIÓN TERRITORIAL;12;5;7
DIRECCIÓN Y PLANIFICACIÓN DEL TURISMO;24;18;6
ECONOMÍA APLICADA;7;3;4
ECONOMÍA CUANTITATIVA;12;4;8
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);19;6;13
EMERGENCIAS Y CATÁSTROFES;33;23;10
ENVEJECIMIENTO ACTIVO Y SALUD;15;11;4
ESPAÑOL E INGLÉS COMO SEGUNDAS LENGUAS/LENGUAS EXTRANJERAS;27;17;10
ESTUDIOS INGLESES AVANZADOS;10;6;4
ESTUDIOS LITERARIOS;20;14;6
GESTIÓN ADMINISTRATIVA;28;19;9
GESTIÓN SOSTENIBLE Y TECNOLOGÍAS DEL AGUA;15;7;8
HISTORIA DE LA CIENCIA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);5;3;2
HISTORIA DE LA EUROPA CONTEMPORÁNEA: IDENTIDADES E INTEGRACIÓN;13;4;9
HISTORIA DEL MUNDO MEDITERRÁNEO Y SUS REGIONES;10;3;7
HISTORIA E IDENTIDADES EN EL MEDITERRÁNEO OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitario);12;5;7
INGENIERÍA BIOMÉDICA;17;12;5
INGENIERÍA DE CAMINOS, CANALES Y PUERTOS;16;3;13
INGENIERÍA DE TELECOMUNICACIÓN;11;1;10
INGENIERÍA GEOLÓGICA;5;3;2
INGENIERÍA INFORMÁTICA;3;1;2
INGENIERÍA QUÍMICA;24;8;16
INGLÉS Y ESPAÑOL PARA FINES ESPECÍFICOS;17;13;4
INNOVACIÓN SOCIAL Y DINÁMICAS DE CAMBIO;9;6;3
INTELIGENCIA ARTIFICIAL;31;6;25
INVESTIGACIÓN CRIMINAL Y CIENCIAS FORENSES;17;15;2
INVESTIGACIÓN EDUCATIVA;44;34;10
INVESTIGACIÓN EN CIENCIAS DE LA SALUD;10;4;6
NANOCIENCIA Y NANOTECNOLOGÍA MOLECULAR (Interuniversitario);1;0;1
NUEVAS TECNOLOGÍAS Y EFICIENCIA ENERGÉTICA EN EDIFICACIÓN;11;5;6
NUTRICIÓN Y ALIMENTACIÓN;19;16;3
OPTOMETRÍA AVANZADA Y SALUD VISUAL;6;5;1
PALEONTOLOGÍA APLICADA (Interuniversitario);8;3;5
PLANIFICACIÓN Y GESTIÓN DE RIESGOS NATURALES;11;8;3
PREVENCIÓN DE LA VIOLENCIA DE GÉNERO E INTERVENCIÓN DESDE UN ENFOQUE INTERDISCIPLINAR;23;21;2
PREVENCIÓN DE RIESGOS LABORALES;24;17;7
PROFESORADO DE EDUCACIÓN SECUNDARIA;485;299;186
QUÍMICA AMBIENTAL Y SOSTENIBLE;15;9;6
QUÍMICA MÉDICA;6;1;5
TRABAJO SOCIAL EN EL ÁMBITO SANITARIO (Interuniversitario);55;46;9
TRADUCCIÓN INSTITUCIONAL;51;40;11
TURISMO CULTURAL;19;9;10
