PROGRAMAS DE DOCTORADO;Total;Mujeres;Hombres
AGUA Y DESARROLLO SOSTENIBLE;7;3;4
BIODIVERSIDAD Y CONSERVACIÓN;0;0;0
BIOLOGÍA EXPERIMENTAL Y APLICADA;4;2;2
CIENCIA DE MATERIALES;14;8;6
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;7;3;4
CIENCIAS DE LA SALUD;38;23;15
CIENCIAS DEL MAR Y BIOLOGÍA APLICADA;6;6;0
CIENCIAS EXPERIMENTALES Y BIOSANITARIAS;15;10;5
CONSERVACIÓN Y RESTAURACIÓN DE ECOSISTEMAS;7;5;2
DERECHO;41;17;24
DIDÁCTICA DE LAS CIENCIAS EXPERIMENTALES (Interuniversitario);5;1;4
ECONOMÍA;8;4;4
ECONOMÍA (Interuniversitario);1;0;1
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);1;1;0
EMPRESA, ECONOMÍA Y SOCIEDAD;20;13;7
ESTUDIOS HISTÓRICOS Y SOCIALES SOBRE CIENCIA, MEDICINA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);1;0;1
ESTUDIOS INTERDISCIPLINARES DE GÉNERO (Interuniversitario);5;5;0
FILOSOFÍA (Interuniversitario);0;0;0
FILOSOFÍA Y LETRAS;46;19;27
FÍSICA APLICADA A LAS CIENCIAS Y LAS TECNOLOGÍAS;14;7;7
HUMANIDADES Y ESTUDIOS SOCIALES DE AMÉRICA LATINA;35;16;19
INFORMÁTICA;36;9;27
INGENIERÍA DE MATERIALES, ESTRUCTURAS Y TERRENO: CONSTRUCCIÓN SOSTENIBLE;12;5;7
INGENIERÍA QUÍMICA;3;2;1
INVESTIGACIÓN EDUCATIVA;27;18;9
MÉTODOS MATEMÁTICOS Y MODELIZACIÓN EN CIENCIAS E INGENIERÍA;5;2;3
NANOCIENCIA Y NANOTECNOLOGÍA (Interuniversitario);2;0;2
SÍNTESIS ORGÁNICA;3;1;2
TECNOLOGÍA EDUCATIVA APLICADA AL CONOCIMIENTO;33;19;14
TRADUCTOLOGÍA, TRADUCCIÓN PROFESIONAL Y AUDIOVISUAL (Interuniversitario);4;4;0
TRANSFERENCIAS INTERCULTURALES E HISTÓRICAS EN LA EUROPA MEDIEVAL MEDITERRÁNEA;22;16;6
TURISMO (Interuniversitario);13;9;4
