PROGRAMAS DE DOCTORADO;Total;Mujeres;Hombres
AGUA Y DESARROLLO SOSTENIBLE;45;17;28
BIODIVERSIDAD Y CONSERVACIÓN;12;4;8
BIOLOGÍA EXPERIMENTAL Y APLICADA;35;19;16
CIENCIA DE MATERIALES;69;32;37
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;12;6;6
CIENCIAS DE LA SALUD;173;104;69
CIENCIAS DEL MAR Y BIOLOGÍA APLICADA;26;20;6
CIENCIAS EXPERIMENTALES Y BIOSANITARIAS;59;24;35
CONSERVACIÓN Y RESTAURACIÓN DE ECOSISTEMAS;23;12;11
DERECHO;162;69;93
DIDÁCTICA DE LAS CIENCIAS EXPERIMENTALES (Interuniversitario);5;1;4
ECONOMÍA;39;12;27
ECONOMÍA (Interuniversitario);4;3;1
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);17;9;8
EMPRESA, ECONOMÍA Y SOCIEDAD;90;44;46
ESTUDIOS HISTÓRICOS Y SOCIALES SOBRE CIENCIA, MEDICINA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);3;2;1
ESTUDIOS INTERDISCIPLINARES DE GÉNERO (Interuniversitario);21;14;7
FILOSOFÍA (Interuniversitario);9;4;5
FILOSOFÍA Y LETRAS;231;122;109
FÍSICA APLICADA A LAS CIENCIAS Y LAS TECNOLOGÍAS;42;14;28
HUMANIDADES Y ESTUDIOS SOCIALES DE AMÉRICA LATINA;90;38;52
INFORMÁTICA;140;33;107
INGENIERÍA DE MATERIALES, ESTRUCTURAS Y TERRENO: CONSTRUCCIÓN SOSTENIBLE;41;14;27
INGENIERÍA QUÍMICA;21;11;10
INVESTIGACIÓN EDUCATIVA;86;56;30
MARIE SKLODOWSKA-CURIE EN DERECHO DE PROPIEDAD INTELECTUAL E INNOVACIÓN (EIPN-IS) (EUROPEO CONJUNTO);1;0;1
MÉTODOS MATEMÁTICOS Y MODELIZACIÓN EN CIENCIAS E INGENIERÍA;18;8;10
NANOCIENCIA Y NANOTECNOLOGÍA (Interuniversitario);8;2;6
SÍNTESIS ORGÁNICA;16;9;7
TECNOLOGÍA EDUCATIVA APLICADA AL CONOCIMIENTO;60;27;33
TRADUCTOLOGÍA, TRADUCCIÓN PROFESIONAL Y AUDIOVISUAL (Interuniversitario);35;29;6
TRANSFERENCIAS INTERCULTURALES E HISTÓRICAS EN LA EUROPA MEDIEVAL MEDITERRÁNEA;55;37;18
TURISMO (Interuniversitario);38;22;16
