Nacionalidad;Total;Mujeres;Hombres
ALEMANIA;3;1;2
ARABIA SAUDÍ;1;0;1
ARGELIA;84;59;25
ARGENTINA;4;4;0
AUSTRIA;1;0;1
AZERBAYÁN;1;1;0
BIELORRUSIA;1;0;1
BOLIVIA;5;1;4
BRASIL;46;18;28
BULGARIA;3;3;0
CHILE;41;17;24
CHINA (REPÚBLICA POPULAR);18;12;6
COLOMBIA;73;33;40
COSTA RICA;8;2;6
CROACIA;1;1;0
CUBA;37;23;14
ECUADOR;74;32;42
EGIPTO;3;1;2
EL SALVADOR;10;1;9
ESPAÑA;1067;505;562
ESTADOS UNIDOS DE AMÉRICA;6;0;6
FRANCIA;11;4;7
GEORGIA;2;2;0
GHANA;6;1;5
GRECIA;39;23;16
GUATEMALA;1;0;1
GUINEA ECUATORIAL;1;0;1
HONDURAS;4;3;1
HUNGRÍA;1;0;1
INDIA;3;0;3
IRÁN;7;1;6
ITALIA;37;20;17
JORDANIA;2;0;2
KAZAJSTÁN;1;1;0
KIRGUISTÁN;1;1;0
LÍBANO;1;0;1
LITUANIA;1;1;0
MARRUECOS;4;1;3
MÉXICO;21;14;7
NAMIBIA;1;1;0
NICARAGUA;1;0;1
NIGERIA;1;1;0
PAKISTÁN;1;0;1
PARAGUAY;2;1;1
PERÚ;16;5;11
POLONIA;3;1;2
PORTUGAL;3;2;1
REINO UNIDO;6;5;1
REPÚBLICA CHECA;1;0;1
REPÚBLICA DOMINICANA;1;1;0
RUMANÍA;6;5;1
RUSIA;9;8;1
SERBIA;1;1;0
SRI LANKA (CEILAN);1;1;0
TÚNEZ;1;0;1
TURQUÍA;1;1;0
UCRANIA;3;2;1
URUGUAY;1;0;1
VENEZUELA;3;2;1
