NACIONALIDAD;Total;Mujeres;Hombres
ALEMANIA;1;0;1
ARGELIA;55;36;19
ARGENTINA;8;7;1
AUSTRIA;1;0;1
AZERBAYÁN;1;1;0
BIELORRUSIA;1;0;1
BOLIVIA;4;1;3
BRASIL;48;17;31
BULGARIA;3;3;0
CANADÁ;1;0;1
CHILE;43;20;23
CHINA (REPÚBLICA POPULAR);22;9;13
COLOMBIA;59;25;34
COSTA RICA;10;3;7
CUBA;37;23;14
ECUADOR;69;31;38
EGIPTO;1;1;0
EL SALVADOR;17;3;14
ESPAÑA;1066;501;565
ESTADOS UNIDOS DE AMÉRICA;3;0;3
FRANCIA;9;4;5
GEORGIA;2;2;0
GHANA;4;0;4
GRECIA;63;44;19
GUINEA ECUATORIAL;3;0;3
HOLANDA (PAISES BAJOS);1;1;0
HONDURAS;4;3;1
HUNGRÍA;1;0;1
INDIA;4;1;3
IRAK;2;0;2
IRÁN;7;1;6
ITALIA;38;23;15
JORDANIA;1;0;1
KIRGUISTÁN;1;1;0
LÍBANO;1;0;1
MARRUECOS;9;4;5
MÉXICO;18;11;7
NAMIBIA;1;1;0
NIGERIA;1;1;0
OCEANÍA AMERICANA;1;0;1
PAKISTÁN;1;0;1
PANAMÁ;1;1;0
PERÚ;20;8;12
POLONIA;2;0;2
PORTUGAL;3;2;1
REINO UNIDO;2;2;0
REPÚBLICA DOMINICANA;1;1;0
RUMANÍA;9;7;2
RUSIA;6;6;0
SERBIA;1;1;0
SRI LANKA (CEILAN);1;1;0
TAIWAN;1;1;0
TÚNEZ;1;0;1
TURQUÍA;2;2;0
UCRANIA;4;2;2
URUGUAY;3;2;1
VENEZUELA;7;4;3
