Estudiantado enviado;Total;Mujeres;Hombres
ALEMANIA;49;36;13
ARGELIA;1;0;1
ARGENTINA;9;6;3
AUSTRALIA;8;6;2
AUSTRIA;11;9;2
BÉLGICA;28;22;6
BRASIL;1;1;0
BULGARIA;6;3;3
CANADÁ;7;4;3
CHILE;12;10;2
CHIPRE;1;0;1
COLOMBIA;1;1;0
COREA DEL SUR;6;4;2
CROACIA;1;0;1
DINAMARCA;1;1;0
ECUADOR;1;0;1
ESLOVAQUIA;6;3;3
ESLOVENIA;7;4;3
ESTADOS UNIDOS DE AMÉRICA;37;21;16
FINLANDIA;14;10;4
FRANCIA;56;41;15
GRECIA;13;9;4
HOLANDA (PAISES BAJOS);28;17;11
HUNGRÍA;3;1;2
IRLANDA (EIRE);23;18;5
ITALIA;72;53;19
JAPÓN;11;5;6
LETONIA;4;2;2
LITUANIA;13;9;4
MALASIA;1;0;1
MÉXICO;9;8;1
NORUEGA;14;8;6
NUEVA ZELANDA;2;2;0
POLONIA;95;57;38
PORTUGAL;22;20;2
REINO UNIDO;42;32;10
REPÚBLICA CHECA;19;10;9
REPÚBLICA DOMINICANA;2;0;2
RUMANÍA;5;2;3
SUECIA;13;6;7
SUIZA;1;0;1
TAILANDIA;2;1;1
TAIWAN;2;0;2
URUGUAY;1;1;0
VIETNAM;1;0;1
