Estudiantado acogido;Total;Mujeres;Hombres
ALEMANIA;97;70;27
ARGENTINA;9;7;2
AUSTRALIA;12;9;3
AUSTRIA;16;5;11
BÉLGICA;20;18;2
BOLIVIA;3;1;2
BRASIL;6;5;1
BULGARIA;3;1;2
CANADÁ;6;6;0
CHILE;15;12;3
CHINA (REPÚBLICA POPULAR);16;14;2
CHIPRE;2;1;1
COLOMBIA;7;6;1
COREA DEL SUR;3;3;0
COSTA RICA;4;3;1
CROACIA;4;2;2
DINAMARCA;3;0;3
ECUADOR;7;6;1
ESLOVAQUIA;4;1;3
ESLOVENIA;7;3;4
ESTADOS UNIDOS DE AMÉRICA;14;12;2
ESTONIA;1;1;0
FINLANDIA;16;14;2
FRANCIA;81;67;14
GHANA;2;0;2
GRECIA;7;5;2
HOLANDA (PAISES BAJOS);41;20;21
HONG KONG;1;1;0
HUNGRÍA;5;5;0
INDIA;1;1;0
IRLANDA (EIRE);27;16;11
ITALIA;108;73;35
JAPÓN;8;4;4
KAZAJSTÁN;1;1;0
LITUANIA;18;12;6
MÉXICO;14;13;1
NORUEGA;17;15;2
NUEVA ZELANDA;1;1;0
PANAMÁ;3;1;2
PERÚ;3;1;2
POLONIA;70;52;18
PORTUGAL;17;16;1
REINO UNIDO;67;48;19
REPÚBLICA CHECA;17;10;7
RUMANÍA;7;6;1
SUECIA;3;2;1
SUIZA;3;3;0
TAIWAN;5;5;0
TURQUÍA;2;2;0
UCRANIA;2;2;0
URUGUAY;5;2;3
