Estudiantado enviado;Total;Mujeres;Hombres
UNIVERSIDAD AUTÒNOMA DE BARCELONA;2;2;0
UNIVERSIDAD AUTÓNOMA DE MADRID;2;1;1
UNIVERSIDAD CARLOS III;2;0;2
UNIVERSIDAD COMPLUTENSE DE MADRID;6;1;5
UNIVERSIDAD DE A CORUÑA;2;2;0
UNIVERSIDAD DE ALCALÁ;2;0;2
UNIVERSIDAD DE ALMERÍA;4;1;3
UNIVERSIDAD DE BARCELONA;8;6;2
UNIVERSIDAD DE CÁDIZ;2;2;0
UNIVERSIDAD DE CASTILLA-LA MANCHA;1;1;0
UNIVERSIDAD DE CÓRDOBA;1;0;1
UNIVERSIDAD DE EXTREMADURA;2;2;0
UNIVERSIDAD DE GIRONA;3;2;1
UNIVERSIDAD DE GRANADA;17;13;4
UNIVERSIDAD DE LA LAGUNA;5;3;2
UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA;4;2;2
UNIVERSIDAD DE LEÓN;1;1;0
UNIVERSIDAD DE LES ILLES BALEARS;1;1;0
UNIVERSIDAD DE MÁLAGA;2;2;0
UNIVERSIDAD DE OVIEDO;1;0;1
UNIVERSIDAD DE SALAMANCA;3;2;1
UNIVERSIDAD DE SANTIAGO DE COMPOSTELA;3;2;1
UNIVERSIDAD DE SEVILLA;8;5;3
UNIVERSIDAD DE VALÈNCIA ESTUDI GENERAL;3;2;1
UNIVERSIDAD DE VALLADOLID;1;1;0
UNIVERSIDAD DE VIGO;4;1;3
UNIVERSIDAD DE ZARAGOZA;1;1;0
UNIVERSIDAD DEL PAIS VASCO;5;4;1
UNIVERSIDAD PABLO DE OLAVIDE;4;2;2
UNIVERSIDAD POLITÉCNICA DE MADRID;1;0;1
UNIVERSIDAD REY JUAN CARLOS;4;2;2
UNIVERSIDAD ROVIRA I VIRGILI;1;0;1
