Estudiantado acogido;Total;Mujeres;Hombres
UNIVERSIDAD AUTÓNOMA DE MADRID;1;1;0
UNIVERSIDAD CARLOS III;2;1;1
UNIVERSIDAD COMPLUTENSE DE MADRID;3;3;0
UNIVERSIDAD DE A CORUÑA;3;3;0
UNIVERSIDAD DE ALCALÁ;1;1;0
UNIVERSIDAD DE ALMERÍA;2;2;0
UNIVERSIDAD DE BARCELONA;3;2;1
UNIVERSIDAD DE CASTILLA-LA MANCHA;5;5;0
UNIVERSIDAD DE DEUSTO;1;1;0
UNIVERSIDAD DE GRANADA;3;3;0
UNIVERSIDAD DE LEÓN;3;1;2
UNIVERSIDAD DE LES ILLES BALEARS;4;0;4
UNIVERSIDAD DE LLEIDA;1;1;0
UNIVERSIDAD DE MURCIA;3;2;1
UNIVERSIDAD DE OVIEDO;2;1;1
UNIVERSIDAD DE SALAMANCA;6;6;0
UNIVERSIDAD DE SANTIAGO DE COMPOSTELA;7;5;2
UNIVERSIDAD DE SEVILLA;2;2;0
UNIVERSIDAD DE VALÈNCIA ESTUDI GENERAL;2;2;0
UNIVERSIDAD DE VALLADOLID;8;6;2
UNIVERSIDAD DE VIGO;4;3;1
UNIVERSIDAD DE ZARAGOZA;2;2;0
UNIVERSIDAD DEL PAIS VASCO;1;1;0
UNIVERSIDAD JAUME I DE CASTELLÓ;2;2;0
UNIVERSIDAD PABLO DE OLAVIDE;3;1;2
UNIVERSIDAD REY JUAN CARLOS;1;1;0
UNIVERSIDAD ROVIRA I VIRGILI;2;2;0
