GRADOS;Media  Total;Media Mujeres;Media Hombres
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;5.6;5.4;5.8
ARQUITECTURA TÉCNICA;6.1;5.7;6.4
BIOLOGÍA;4.8;5;4.6
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;4.5;4.3;4.5
CIENCIAS DEL MAR;4.9;5.1;4.5
CRIMINOLOGÍA;4.7;4.7;4.7
DERECHO;5.1;5;5.3
ECONOMÍA;4.9;4.9;4.9
ENFERMERÍA;4;4;4
ESPAÑOL: LENGUA Y LITERATURAS;4.4;4.3;4.6
ESTUDIOS ÁRABES E ISLÁMICOS;4.2;4;4.5
ESTUDIOS FRANCESES;4.8;4.9;4
ESTUDIOS INGLESES;5.1;4.9;5.6
FILOLOGIA CATALANA;4.8;4.5;5.7
FÍSICA;5;5.1;5
FUNDAMENTOS DE LA ARQUITECTURA;6.5;6.2;7
GASTRONOMÍA Y ARTES CULINARIAS;4.4;4.2;4.5
GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO;4.9;5;4.9
GEOLOGÍA;5.8;5.5;6.1
GESTIÓN Y ADMINISTRACIÓN PÚBLICA;4.8;4.2;5.3
HISTORIA;4.8;4.9;4.7
HUMANIDADES;4.5;4.6;4.4
INGENIERÍA BIOMÉDICA;5.1;5.2;5
INGENIERÍA CIVIL;5.4;5.2;5.5
INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN;6.1;5.6;6.2
INGENIERÍA INFORMÁTICA;5.4;5;5.5
INGENIERÍA MULTIMEDIA;5.4;5.6;5.4
INGENIERÍA QUÍMICA;5.4;5.4;5.5
INGENIERÍA ROBÓTICA;5.1;5.3;5.1
MAESTRO EN EDUCACIÓN INFANTIL;4.2;4.2;4.2
MAESTRO EN EDUCACIÓN PRIMARIA;4.4;4.2;4.7
MARKETING;4.9;5;4.9
MATEMÁTICAS;5.6;5.7;5.5
NUTRICIÓN HUMANA Y DIETÉTICA;3.9;3.9;3.9
ÓPTICA Y OPTOMETRÍA;4.8;4.9;4.6
PUBLICIDAD Y RELACIONES PÚBLICAS;4.5;4.5;4.4
QUÍMICA;5.4;5.6;5.2
RELACIONES INTERNACIONALES;4.7;4.8;4.7
RELACIONES LABORALES Y RECURSOS HUMANOS (UA);5.5;5.5;5.5
RELACIONES LABORALES Y RECURSOS HUMANOS (ELDA);5.1;5.1;n.c.
SOCIOLOGÍA;4.8;4.6;5.1
TRABAJO SOCIAL;4.9;4.9;4.6
TRADUCCIÓN E INTERPRETACIÓN;4.5;4.4;4.7
TURISMO;5.1;5;5.3
DOBLE GRADO EN DERECHO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;6.1;6.3;5.9
DOBLE GRADO EN DERECHO Y CRIMINOLOGÍA;5.5;5.5;5.6
DOBLE GRADO EN INGENIERÍA INFORMÁTICA Y ADMINISTR. Y DIRECCIÓN DE EMPRESAS;6.2;6;6.2
DOBLE GRADO EN TURISMO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;6.6;6.6;6.7
