GRADOS;Total;Mujeres;Hombres
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;214;99;115
ARQUITECTURA TÉCNICA;21;7;14
BIOLOGÍA;120;65;55
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;83;23;60
CIENCIAS DEL MAR;50;38;12
CRIMINOLOGÍA;184;147;37
DERECHO;341;218;123
ECONOMÍA;66;29;37
ENFERMERÍA;193;150;43
ESPAÑOL: LENGUA Y LITERATURAS;45;35;10
ESTUDIOS ÁRABES E ISLÁMICOS;5;3;2
ESTUDIOS FRANCESES;11;10;1
ESTUDIOS INGLESES;67;50;17
FILOLOGIA CATALANA;24;18;6
FÍSICA;42;11;31
FUNDAMENTOS DE LA ARQUITECTURA;44;24;20
GASTRONOMÍA Y ARTES CULINARIAS;48;24;24
GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO;14;5;9
GEOLOGÍA;17;8;9
GESTIÓN Y ADMINISTRACIÓN PÚBLICA;13;5;8
HISTORIA;73;26;47
HUMANIDADES;15;10;5
INGENIERÍA BIOMÉDICA;67;41;26
INGENIERÍA CIVIL;14;6;8
INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN;34;7;27
INGENIERÍA INFORMÁTICA;113;12;101
INGENIERÍA MULTIMEDIA;71;20;51
INGENIERÍA QUÍMICA;38;17;21
INGENIERÍA ROBÓTICA;31;8;23
MAESTRO EN EDUCACIÓN INFANTIL;288;267;21
MAESTRO EN EDUCACIÓN PRIMARIA;336;242;94
MARKETING;31;20;11
MATEMÁTICAS;51;18;33
NUTRICIÓN HUMANA Y DIETÉTICA;66;45;21
ÓPTICA Y OPTOMETRÍA;25;16;9
PUBLICIDAD Y RELACIONES PÚBLICAS;182;149;33
QUÍMICA;48;22;26
RELACIONES INTERNACIONALES;65;39;26
RELACIONES LABORALES Y RECURSOS HUMANOS (UA);59;38;21
RELACIONES LABORALES Y RECURSOS HUMANOS (ELDA);7;7;0
SOCIOLOGÍA;26;17;9
TRABAJO SOCIAL;124;107;17
TRADUCCIÓN E INTERPRETACIÓN;121;97;24
TURISMO;126;86;40
DOBLE GRADO EN DERECHO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;51;30;21
DOBLE GRADO EN DERECHO Y CRIMINOLOGÍA;65;53;12
DOBLE GRADO EN INGENIERÍA INFORMÁTICA Y ADMINISTR. Y DIRECCIÓN DE EMPRESAS;13;1;12
DOBLE GRADO EN TURISMO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;28;22;6
