MÁSTERES;Total;Mujeres;Hombres
ABOGACÍA Y PROCURA;83;57;26
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;37;14;23
ARQUEOLOGÍA PROFESIONAL Y GESTIÓN INTEGRAL DEL PATRIMONIO;21;10;11
ARQUITECTURA;44;26;18
AUTOMÁTICA Y ROBÓTICA;20;6;14
BIOMEDICINA;9;3;6
BIOTECNOLOGÍA PARA LA SALUD Y LA SOSTENIBILIDAD;4;1;3
CÁLCULO Y MODELIZACIÓN CIENTÍFICA;3;1;2
CIBERSEGURIDAD;13;2;11
CIENCIA DE DATOS;17;5;12
CIENCIA DE MATERIALES;11;4;7
COMUNICACIÓN DIGITAL;27;20;7
COMUNICACIÓN E INDUSTRIAS CREATIVAS;39;30;9
CONSERVACIÓN DE LA BIODIVERSIDAD Y RESTAURACIÓN;13;7;6
COOPERACIÓN AL DESARROLLO (Interuniversitario);5;3;2
DERECHO AMBIENTAL Y DE LA SOSTENIBILIDAD;24;11;13
DERECHO DE DAÑOS;7;5;2
DESARROLLO DE APLICACIONES Y SERVICIOS WEB;7;1;6
DESARROLLO DE SOFTWARE PARA DISPOSITIVOS MÓVILES;9;1;8
DESARROLLO LOCAL E INNOVACIÓN TERRITORIAL;4;3;1
DIRECCIÓN Y PLANIFICACIÓN DEL TURISMO;17;11;6
ECONOMÍA APLICADA;4;4;0
ECONOMÍA CUANTITATIVA;7;1;6
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);2;1;1
EMERGENCIAS Y CATÁSTROFES;27;24;3
ENVEJECIMIENTO ACTIVO Y SALUD;10;5;5
ESPAÑOL E INGLÉS COMO SEGUNDAS LENGUAS/LENGUAS EXTRANJERAS;33;26;7
ESTUDIOS INGLESES AVANZADOS;13;10;3
ESTUDIOS LITERARIOS;17;11;6
GESTIÓN ADMINISTRATIVA;11;6;5
GESTIÓN SOSTENIBLE Y TECNOLOGÍAS DEL AGUA;11;8;3
HISTORIA DE LA CIENCIA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);8;6;2
HISTORIA DE LA EUROPA CONTEMPORÁNEA: IDENTIDADES E INTEGRACIÓN;3;0;3
HISTORIA DEL MUNDO MEDITERRÁNEO Y SUS REGIONES;12;5;7
HISTORIA E IDENTIDADES EN EL MEDITERRÁNEO OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitario);4;2;2
INGENIERÍA DE CAMINOS, CANALES Y PUERTOS;6;1;5
INGENIERÍA DE TELECOMUNICACIÓN;3;0;3
INGENIERÍA GEOLÓGICA;9;6;3
INGENIERÍA QUÍMICA;18;8;10
INGLÉS Y ESPAÑOL PARA FINES ESPECÍFICOS;10;8;2
INNOVACIÓN SOCIAL Y DINÁMICAS DE CAMBIO;10;6;4
INTELIGENCIA ARTIFICIAL;24;2;22
INVESTIGACIÓN CRIMINAL Y CIENCIAS FORENSES;14;11;3
INVESTIGACIÓN EDUCATIVA;28;16;12
INVESTIGACIÓN EN CIENCIAS DE LA SALUD;9;7;2
NANOCIENCIA Y NANOTECNOLOGÍA MOLECULAR (Interuniversitario);1;0;1
NUTRICIÓN Y ALIMENTACIÓN;14;13;1
OPTOMETRÍA AVANZADA Y SALUD VISUAL;2;2;0
PLANIFICACIÓN Y GESTIÓN DE RIESGOS NATURALES;14;8;6
PREVENCIÓN DE RIESGOS LABORALES;23;12;11
PROFESORADO DE EDUCACIÓN SECUNDARIA;453;258;195
QUÍMICA AMBIENTAL Y SOSTENIBLE;8;4;4
QUÍMICA MÉDICA;5;3;2
TRADUCCIÓN INSTITUCIONAL;41;35;6
TURISMO CULTURAL;5;2;3
