MÁSTERES - Duración teórica de los estudios 1 año;Total;Mujeres;Hombres
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;1.5;1.6;1.4
ARQUEOLOGÍA PROFESIONAL Y GESTIÓN INTEGRAL DEL PATRIMONIO;1.3;1.4;1.2
ARQUITECTURA;1.9;2.1;1.7
AUTOMÁTICA Y ROBÓTICA;1.3;1.2;1.3
BIOMEDICINA;1.2;1.3;1.2
BIOTECNOLOGÍA PARA LA SALUD Y LA SOSTENIBILIDAD;1.3;1;1.3
CÁLCULO Y MODELIZACIÓN CIENTÍFICA;1;1;1
CIBERSEGURIDAD;1.3;2;1.2
CIENCIA DE DATOS;1.2;1.2;1.3
CIENCIA DE MATERIALES;1.1;1;1.1
COMUNICACIÓN DIGITAL;1.4;1.4;1.4
COMUNICACIÓN E INDUSTRIAS CREATIVAS;1.5;1.6;1.3
DERECHO AMBIENTAL Y DE LA SOSTENIBILIDAD;1.3;1.2;1.5
DERECHO DE DAÑOS;1;1;n.c.
DESARROLLO DE APLICACIONES Y SERVICIOS WEB;1;1;1
DESARROLLO DE SOFTWARE PARA DISPOSITIVOS MÓVILES;1.6;1;1.6
DESARROLLO LOCAL E INNOVACIÓN TERRITORIAL;1.3;1.3;1
DIRECCIÓN Y PLANIFICACIÓN DEL TURISMO;1.7;1.9;1.3
ECONOMÍA APLICADA;1.5;1.5;n.c.
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);1;1;1
EMERGENCIAS Y CATÁSTROFES;1.2;1.1;1.7
ENVEJECIMIENTO ACTIVO Y SALUD;1;1;1
ESPAÑOL E INGLÉS COMO SEGUNDAS LENGUAS/LENGUAS EXTRANJERAS;1.5;1.3;2.3
ESTUDIOS INGLESES AVANZADOS;1;1;1
ESTUDIOS LITERARIOS;1.2;1.4;1
GESTIÓN ADMINISTRATIVA;1.4;1;1.8
GESTIÓN SOSTENIBLE Y TECNOLOGÍAS DEL AGUA;1.3;1.3;1.3
HISTORIA DE LA CIENCIA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);2.5;2.7;2
HISTORIA DE LA EUROPA CONTEMPORÁNEA: IDENTIDADES E INTEGRACIÓN;1.3;n.c.;1.3
HISTORIA DEL MUNDO MEDITERRÁNEO Y SUS REGIONES;1.4;1;1.7
HISTORIA E IDENTIDADES EN EL MEDITERRÁNEO OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitario);1.3;1.5;1
INGLÉS Y ESPAÑOL PARA FINES ESPECÍFICOS;1.3;1.3;1.5
INNOVACIÓN SOCIAL Y DINÁMICAS DE CAMBIO;1.3;1.3;1.3
INTELIGENCIA ARTIFICIAL;1;1;1
INVESTIGACIÓN CRIMINAL Y CIENCIAS FORENSES;1.2;1.2;1.3
INVESTIGACIÓN EDUCATIVA;1.9;2;1.8
INVESTIGACIÓN EN CIENCIAS DE LA SALUD;1.3;1.4;1
NANOCIENCIA Y NANOTECNOLOGÍA MOLECULAR (Interuniversitario);1;n.c.;1
NUTRICIÓN Y ALIMENTACIÓN;1.2;1.3;1
OPTOMETRÍA AVANZADA Y SALUD VISUAL;2;2;n.c.
PLANIFICACIÓN Y GESTIÓN DE RIESGOS NATURALES;1.1;1.1;1
PREVENCIÓN DE RIESGOS LABORALES;1.6;1.9;1.2
PROFESORADO DE EDUCACIÓN SECUNDARIA;1.2;1.2;1.2
QUÍMICA AMBIENTAL Y SOSTENIBLE;1.1;1.3;1
QUÍMICA MÉDICA;1;1;1
TRADUCCIÓN INSTITUCIONAL;1.9;1.9;1.5
TURISMO CULTURAL;1.8;1.5;2
