PROGRAMAS DE DOCTORADO;TOTAL;MUJERES;HOMBRES
AGUA Y DESARROLLO SOSTENIBLE;5.55;5.62;5.46
BIODIVERSIDAD Y CONSERVACIÓN;5.35;5.43;5.27
BIOLOGÍA EXPERIMENTAL Y APLICADA;4.89;4.64;5.77
CIENCIA DE MATERIALES;4.2;3.99;4.73
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;n.c.;n.c.;n.c.
CIENCIAS DE LA SALUD;3.61;4.31;2.75
CIENCIAS DEL MAR Y BIOLOGÍA APLICADA;2.99;n.c.;2.99
CIENCIAS EXPERIMENTALES Y BIOSANITARIAS;3.99;3.99;3.99
CONSERVACIÓN Y RESTAURACIÓN DE ECOSISTEMAS;4.28;5.06;3.49
DERECHO;4.48;4.75;4.33
ECONOMÍA;4.73;5.01;4.38
ECONOMÍA (Interuniversitario);n.c.;n.c.;n.c.
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);3.68;3.99;3.52
EMPRESA, ECONOMÍA Y SOCIEDAD;3.88;n.c.;3.88
ESTUDIOS HISTÓRICOS Y SOCIALES SOBRE CIENCIA, MEDICINA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);n.c.;n.c.;n.c.
ESTUDIOS INTERDISCIPLINARES DE GÉNERO (Interuniversitario);n.c.;n.c.;n.c.
FILOSOFÍA (Interuniversitario);n.c.;n.c.;n.c.
FILOSOFÍA Y LETRAS;4.76;4.43;5.09
FÍSICA APLICADA A LAS CIENCIAS Y LAS TECNOLOGÍAS;n.c.;n.c.;n.c.
HUMANIDADES Y ESTUDIOS SOCIALES DE AMÉRICA LATINA;4.69;4.51;4.84
INFORMÁTICA;3.95;4.59;3.77
INGENIERÍA DE MATERIALES, ESTRUCTURAS Y TERRENO: CONSTRUCCIÓN SOSTENIBLE;3.94;3.99;3.92
INGENIERÍA QUÍMICA;4.53;4.38;4.68
INVESTIGACIÓN EDUCATIVA;4.38;4.13;4.63
MARIE SKLODOWSKA-CURIE EN DERECHO DE PROPIEDAD INTELECTUAL E INNOVACIÓN (EIPN-IS) (EUROPEO CONJUNTO);5.77;5.77;5.77
MÉTODOS MATEMÁTICOS Y MODELIZACIÓN EN CIENCIAS E INGENIERÍA;3.66;3.99;3.49
NANOCIENCIA Y NANOTECNOLOGÍA (Interuniversitario);n.c.;n.c.;n.c.
NANOCIENCIA Y NANOTECNOLOGÍA (Interuniversitario, a extinguir);5.77;5.77;n.c.
SÍNTESIS ORGÁNICA;3.49;3.33;3.99
TECNOLOGÍA EDUCATIVA APLICADA AL CONOCIMIENTO;n.c.;n.c.;n.c.
TRADUCTOLOGÍA, TRADUCCIÓN PROFESIONAL Y AUDIOVISUAL (Interuniversitario);2;2;n.c.
TRANSFERENCIAS INTERCULTURALES E HISTÓRICAS EN LA EUROPA MEDIEVAL MEDITERRÁNEA;3.92;4.19;3.8
TURISMO (Interuniversitario);n.c.;n.c.;n.c.
TURISMO (Interuniversitario, a extinguir);5;4.69;5.11
