PROGRAMAS DE DOCTORADO;Total;Mujeres;Hombres
AGUA Y DESARROLLO SOSTENIBLE;8;4;4
BIODIVERSIDAD Y CONSERVACIÓN;6;2;4
BIOLOGÍA EXPERIMENTAL Y APLICADA;9;7;2
CIENCIA DE MATERIALES;7;5;2
CIENCIAS DE LA SALUD;26;18;8
CIENCIAS DEL MAR Y BIOLOGÍA APLICADA;3;1;2
CIENCIAS EXPERIMENTALES Y BIOSANITARIAS;5;4;1
CONSERVACIÓN Y RESTAURACIÓN DE ECOSISTEMAS;4;2;2
DERECHO;13;4;9
ECONOMÍA;9;5;4
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);3;1;2
EMPRESA, ECONOMÍA Y SOCIEDAD;13;5;8
ESTUDIOS HISTÓRICOS Y SOCIALES SOBRE CIENCIA, MEDICINA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);1;1;0
ESTUDIOS INTERDISCIPLINARES DE GÉNERO (Interuniversitario);1;1;0
FILOSOFÍA Y LETRAS;32;17;15
FÍSICA APLICADA A LAS CIENCIAS Y LAS TECNOLOGÍAS;1;0;1
HUMANIDADES Y ESTUDIOS SOCIALES DE AMÉRICA LATINA;13;6;7
INFORMÁTICA;20;4;16
INGENIERÍA DE MATERIALES, ESTRUCTURAS Y TERRENO: CONSTRUCCIÓN SOSTENIBLE;8;2;6
INGENIERÍA QUÍMICA;4;2;2
INVESTIGACIÓN EDUCATIVA;27;14;13
MARIE SKLODOWSKA-CURIE EN DERECHO DE PROPIEDAD INTELECTUAL E INNOVACIÓN (EIPN-IS) (EUROPEO CONJUNTO);2;1;1
MÉTODOS MATEMÁTICOS Y MODELIZACIÓN EN CIENCIAS E INGENIERÍA;8;2;6
NANOCIENCIA Y NANOTECNOLOGÍA (Interuniversitario);1;1;0
SÍNTESIS ORGÁNICA;4;3;1
TRADUCTOLOGÍA, TRADUCCIÓN PROFESIONAL Y AUDIOVISUAL (Interuniversitario);1;1;0
TRANSFERENCIAS INTERCULTURALES E HISTÓRICAS EN LA EUROPA MEDIEVAL MEDITERRÁNEA;14;4;10
TURISMO (Interuniversitario);4;1;3
