PROGRAMAS DE DOCTORADO;Matrícula total;%  Residencia fuera de la Comunidad Valenciana;%  Nacionalidad no española
AGUA Y DESARROLLO SOSTENIBLE;45;28.89;62.22
BIODIVERSIDAD Y CONSERVACIÓN;12;41.67;41.67
BIOLOGÍA EXPERIMENTAL Y APLICADA;35;8.57;22.86
CIENCIA DE MATERIALES;69;17.39;33.33
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;12;0;0
CIENCIAS DE LA SALUD;173;21.39;15.03
CIENCIAS DEL MAR Y BIOLOGÍA APLICADA;26;30.77;42.31
CIENCIAS EXPERIMENTALES Y BIOSANITARIAS;59;10.17;10.17
CONSERVACIÓN Y RESTAURACIÓN DE ECOSISTEMAS;23;26.09;34.78
DERECHO;162;32.1;45.68
DIDÁCTICA DE LAS CIENCIAS EXPERIMENTALES (Interuniversitario);5;40;40
ECONOMÍA;39;38.46;38.46
ECONOMÍA (Interuniversitario);4;50;75
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);17;47.06;41.18
EMPRESA, ECONOMÍA Y SOCIEDAD;90;22.22;31.11
ESTUDIOS HISTÓRICOS Y SOCIALES SOBRE CIENCIA, MEDICINA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);3;33.33;33.33
ESTUDIOS INTERDISCIPLINARES DE GÉNERO (Interuniversitario);21;19.05;9.52
FILOSOFÍA (Interuniversitario);9;0;0
FILOSOFÍA Y LETRAS;231;20.35;26.41
FÍSICA APLICADA A LAS CIENCIAS Y LAS TECNOLOGÍAS;42;23.81;30.95
HUMANIDADES Y ESTUDIOS SOCIALES DE AMÉRICA LATINA;90;62.22;76.67
INFORMÁTICA;140;27.14;26.43
INGENIERÍA DE MATERIALES, ESTRUCTURAS Y TERRENO: CONSTRUCCIÓN SOSTENIBLE;41;48.78;58.54
INGENIERÍA QUÍMICA;21;23.81;61.9
INVESTIGACIÓN EDUCATIVA;86;18.6;19.77
MARIE SKLODOWSKA-CURIE EN DERECHO DE PROPIEDAD INTELECTUAL E INNOVACIÓN (EIPN-IS) (EUROPEO CONJUNTO);1;0;100
MÉTODOS MATEMÁTICOS Y MODELIZACIÓN EN CIENCIAS E INGENIERÍA;18;11.11;83.33
NANOCIENCIA Y NANOTECNOLOGÍA (Interuniversitario);8;12.5;0
SÍNTESIS ORGÁNICA;16;31.25;12.5
TECNOLOGÍA EDUCATIVA APLICADA AL CONOCIMIENTO;60;58.33;53.33
TRADUCTOLOGÍA, TRADUCCIÓN PROFESIONAL Y AUDIOVISUAL (Interuniversitario);35;28.57;60
TRANSFERENCIAS INTERCULTURALES E HISTÓRICAS EN LA EUROPA MEDIEVAL MEDITERRÁNEA;55;58.18;83.64
TURISMO (Interuniversitario);38;36.84;57.89
