GRADOS;Matrícula total;%  Residencia fuera de la Comunidad Valenciana;%  Nacionalidad no española
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;1186;15.85;19.14
ARQUITECTURA TÉCNICA;277;15.16;16.25
BIOLOGÍA;626;18.85;6.23
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;412;27.67;2.43
CIENCIAS DEL MAR;229;40.61;6.55
CRIMINOLOGÍA;978;32.92;4.19
DERECHO;1277;8.3;11.59
ECONOMÍA;512;9.18;13.28
ENFERMERÍA;812;16.63;3.57
ESPAÑOL: LENGUA Y LITERATURAS;244;7.79;5.74
ESTUDIOS ÁRABES E ISLÁMICOS;31;12.9;29.03
ESTUDIOS FRANCESES;50;14;22
ESTUDIOS INGLESES;437;8.01;10.76
FILOLOGIA CATALANA;136;0;0.74
FÍSICA;239;17.57;4.6
FUNDAMENTOS DE LA ARQUITECTURA;585;21.37;10.6
GASTRONOMÍA Y ARTES CULINARIAS;262;29.77;12.21
GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO;89;5.62;8.99
GEOLOGÍA;112;16.96;10.71
GESTIÓN Y ADMINISTRACIÓN PÚBLICA;109;13.76;19.27
HISTORIA;482;6.85;3.11
HUMANIDADES;94;3.19;7.45
INGENIERÍA AEROESPACIAL;50;44;2
INGENIERÍA BIOMÉDICA;309;25.89;2.27
INGENIERÍA CIVIL;265;10.19;15.09
INGENIERÍA EN INTELIGENCIA ARTIFICIAL;121;13.22;6.61
INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN;262;12.21;11.07
INGENIERÍA INFORMÁTICA;978;8.49;11.25
INGENIERÍA MULTIMEDIA;467;13.49;6.21
INGENIERÍA QUÍMICA;290;8.97;8.28
INGENIERÍA ROBÓTICA;301;29.24;5.32
LOGOPEDIA;78;15.38;8.97
MAESTRO EN EDUCACIÓN INFANTIL;1352;6.29;1.85
MAESTRO EN EDUCACIÓN PRIMARIA;1784;5.89;0.95
MARKETING;302;17.88;8.61
MATEMÁTICAS;287;18.47;1.74
MEDICINA;178;43.82;7.3
NUTRICIÓN HUMANA Y DIETÉTICA;358;23.18;10.89
ÓPTICA Y OPTOMETRÍA;242;26.86;12.81
PUBLICIDAD Y RELACIONES PÚBLICAS;1037;21.12;10.32
QUÍMICA;284;8.8;1.76
RELACIONES INTERNACIONALES;245;30.2;10.61
RELACIONES LABORALES Y RECURSOS HUMANOS (UA);458;8.95;13.1
RELACIONES LABORALES Y RECURSOS HUMANOS (ELDA);56;0;1.79
SOCIOLOGÍA;151;9.27;12.58
TRABAJO SOCIAL;628;12.74;5.89
TRADUCCIÓN E INTERPRETACIÓN;560;19.64;15.36
TURISMO;510;15.88;33.14
DOBLE GRADO EN DERECHO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;519;12.33;4.24
DOBLE GRADO EN DERECHO Y CRIMINOLOGÍA;363;35.26;6.89
DOBLE GRADO EN DERECHO Y RELACIONES INTERNACIONALES;293;37.2;2.39
DOBLE GRADO EN FÍSICA Y MATEMÁTICAS;36;11.11;2.78
DOBLE GRADO EN INGENIERÍA INFORMÁTICA Y ADMINISTR. Y DIRECCIÓN DE EMPRESAS;232;9.91;9.91
DOBLE GRADO EN TURISMO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;270;24.07;24.44
