MÁSTERES;Matrícula total;%  Residencia fuera de la Comunidad Valenciana;%  Nacionalidad no española
ABOGACÍA Y PROCURA;203;7.88;7.88
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;62;38.71;70.97
ARQUEOLOGÍA PROFESIONAL Y GESTIÓN INTEGRAL DEL PATRIMONIO;40;30;5
ARQUITECTURA;80;25;7.5
AUTOMÁTICA Y ROBÓTICA;23;21.74;26.09
BIOMEDICINA;17;23.53;47.06
BIOTECNOLOGÍA PARA LA SALUD Y LA SOSTENIBILIDAD;22;18.18;31.82
CÁLCULO Y MODELIZACIÓN CIENTÍFICA;11;9.09;0
CIBERSEGURIDAD;25;16;44
CIENCIA DE DATOS;28;17.86;7.14
CIENCIA DE MATERIALES;20;25;15
COMUNICACIÓN DIGITAL;48;50;50
COMUNICACIÓN E INDUSTRIAS CREATIVAS;44;38.64;61.36
CONSERVACIÓN DE LA BIODIVERSIDAD Y RESTAURACIÓN;42;57.14;16.67
COOPERACIÓN AL DESARROLLO (Interuniversitario);20;45;55
DERECHO AMBIENTAL Y DE LA SOSTENIBILIDAD;34;47.06;85.29
DERECHO DE DAÑOS;15;33.33;40
DESARROLLO DE APLICACIONES Y SERVICIOS WEB;17;23.53;41.18
DESARROLLO DE SOFTWARE PARA DISPOSITIVOS MÓVILES;18;38.89;33.33
DESARROLLO LOCAL E INNOVACIÓN TERRITORIAL;18;22.22;38.89
DIRECCIÓN Y PLANIFICACIÓN DEL TURISMO;42;45.24;88.1
ECONOMÍA APLICADA;10;50;60
ECONOMÍA CUANTITATIVA;21;42.86;33.33
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);21;23.81;19.05
EMERGENCIAS Y CATÁSTROFES;38;26.32;5.26
ENVEJECIMIENTO ACTIVO Y SALUD;21;33.33;38.1
ESPAÑOL E INGLÉS COMO SEGUNDAS LENGUAS/LENGUAS EXTRANJERAS;36;16.67;30.56
ESTUDIOS INGLESES AVANZADOS;15;33.33;66.67
ESTUDIOS LITERARIOS;28;10.71;14.29
GESTIÓN ADMINISTRATIVA;38;13.16;44.74
GESTIÓN PESQUERA SOSTENIBLE;8;25;62.5
GESTIÓN SOSTENIBLE Y TECNOLOGÍAS DEL AGUA;22;63.64;63.64
HISTORIA DE LA CIENCIA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);8;50;12.5
HISTORIA DE LA EUROPA CONTEMPORÁNEA: IDENTIDADES E INTEGRACIÓN;17;11.76;11.76
HISTORIA DEL MUNDO MEDITERRÁNEO Y SUS REGIONES;16;18.75;6.25
HISTORIA E IDENTIDADES EN EL MEDITERRÁNEO OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitario);14;0;7.14
INGENIERÍA BIOMÉDICA;26;26.92;7.69
INGENIERÍA DE CAMINOS, CANALES Y PUERTOS;54;22.22;42.59
INGENIERÍA DE TELECOMUNICACIÓN;37;16.22;27.03
INGENIERÍA GEOLÓGICA;12;41.67;50
INGENIERÍA INFORMÁTICA;10;10;40
INGENIERÍA QUÍMICA;50;2;16
INGLÉS Y ESPAÑOL PARA FINES ESPECÍFICOS;25;56;60
INNOVACIÓN SOCIAL Y DINÁMICAS DE CAMBIO;13;30.77;15.38
INTELIGENCIA ARTIFICIAL;35;34.29;34.29
INVESTIGACIÓN CRIMINAL Y CIENCIAS FORENSES;19;52.63;21.05
INVESTIGACIÓN EDUCATIVA;52;11.54;5.77
INVESTIGACIÓN EN CIENCIAS DE LA SALUD;15;33.33;26.67
NANOCIENCIA Y NANOTECNOLOGÍA MOLECULAR (Interuniversitario);2;0;0
NUEVAS TECNOLOGÍAS Y EFICIENCIA ENERGÉTICA EN EDIFICACIÓN;11;18.18;63.64
NUTRICIÓN Y ALIMENTACIÓN;26;46.15;34.62
OPTOMETRÍA AVANZADA Y SALUD VISUAL;10;60;60
PALEONTOLOGÍA APLICADA (Interuniversitario);11;9.09;27.27
PLANIFICACIÓN Y GESTIÓN DE RIESGOS NATURALES;15;46.67;20
PREVENCIÓN DE LA VIOLENCIA DE GÉNERO E INTERVENCIÓN DESDE UN ENFOQUE INTERDISCIPLINAR;23;8.7;0
PREVENCIÓN DE RIESGOS LABORALES;39;23.08;46.15
PROFESORADO DE EDUCACIÓN SECUNDARIA;563;11.19;2.31
QUÍMICA AMBIENTAL Y SOSTENIBLE;20;20;30
QUÍMICA MÉDICA;8;25;12.5
TRABAJO SOCIAL EN EL ÁMBITO SANITARIO (Interuniversitario);55;3.64;1.82
TRADUCCIÓN INSTITUCIONAL;85;54.12;18.82
TURISMO CULTURAL;32;31.25;37.5
