GRADOS;Total preinscripciones;Nº Plazas ofertadas;Tasa de oferta y demanda (%)
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;349;370;94
ARQUITECTURA TÉCNICA;71;60;118
BIOLOGÍA;210;160;131
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;410;100;410
CIENCIAS DEL MAR;121;60;202
CRIMINOLOGÍA;326;240;136
DERECHO;331;240;138
ECONOMÍA;189;125;151
ENFERMERÍA;1115;200;558
ESPAÑOL: LENGUA Y LITERATURAS;78;55;142
ESTUDIOS ÁRABES E ISLÁMICOS;13;50;26
ESTUDIOS FRANCESES;21;50;42
ESTUDIOS INGLESES;110;125;88
FILOLOGIA CATALANA;30;50;60
FÍSICA;131;70;187
FUNDAMENTOS DE LA ARQUITECTURA;165;120;138
GASTRONOMÍA Y ARTES CULINARIAS;78;75;104
GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO;24;50;48
GEOLOGÍA;27;50;54
GESTIÓN Y ADMINISTRACIÓN PÚBLICA;33;50;66
HISTORIA;118;125;94
HUMANIDADES;30;50;60
INGENIERÍA BIOMÉDICA;84;60;140
INGENIERÍA CIVIL;71;75;95
INGENIERÍA EN INTELIGENCIA ARTIFICIAL;146;60;243
INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN;44;80;55
INGENIERÍA INFORMÁTICA;261;190;137
INGENIERÍA MULTIMEDIA;121;95;127
INGENIERÍA QUÍMICA;60;60;100
INGENIERÍA ROBÓTICA;91;60;152
MAESTRO EN EDUCACIÓN INFANTIL;485;360;135
MAESTRO EN EDUCACIÓN PRIMARIA;728;440;165
MARKETING;218;75;291
MATEMÁTICAS;189;70;270
MEDICINA;1639;86;1906
NUTRICIÓN HUMANA Y DIETÉTICA;120;100;120
ÓPTICA Y OPTOMETRÍA;56;70;80
PUBLICIDAD Y RELACIONES PÚBLICAS;294;240;123
QUÍMICA;100;70;143
RELACIONES INTERNACIONALES;114;60;190
RELACIONES LABORALES Y RECURSOS HUMANOS  (UA);76;130;58
RELACIONES LABORALES Y RECURSOS HUMANOS (ELDA);18;50;36
SOCIOLOGÍA;18;60;30
TRABAJO SOCIAL;123;160;77
TRADUCCIÓN E INTERPRETACIÓN;226;180;126
TURISMO;83;240;35
DOBLE GRADO EN DERECHO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;174;130;134
DOBLE GRADO EN DERECHO Y CRIMINOLOGÍA;153;70;219
DOBLE GRADO EN DERECHO Y RELACIONES INTERNACIONALES;145;60;242
DOBLE GRADO EN INGENIERÍA INFORMÁTICA Y ADMINISTR. Y DIRECCIÓN DE EMPRESAS;65;50;130
DOBLE GRADO EN TURISMO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;59;100;59
