MÁSTERES;Total preinscripciones;Nº Plazas ofertadas;Tasa de oferta y demanda (%)
ABOGACÍA Y PROCURA;224;140;160
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;141;40;353
ARQUEOLOGÍA PROFESIONAL Y GESTIÓN INTEGRAL DEL PATRIMONIO;47;30;157
ARQUITECTURA;79;90;88
AUTOMÁTICA Y ROBÓTICA;59;30;197
BIOMEDICINA;72;20;360
BIOTECNOLOGÍA PARA LA SALUD Y LA SOSTENIBILIDAD;31;20;155
CÁLCULO Y MODELIZACIÓN CIENTÍFICA;10;25;40
CIBERSEGURIDAD;35;20;175
CIENCIA DE DATOS;91;20;455
CIENCIA DE MATERIALES;27;20;135
COMUNICACIÓN DIGITAL;128;35;366
COMUNICACIÓN E INDUSTRIAS CREATIVAS;115;35;329
CONSERVACIÓN DE LA BIODIVERSIDAD Y RESTAURACIÓN;59;25;236
COOPERACIÓN AL DESARROLLO (Interuniversitario);38;25;152
DERECHO AMBIENTAL Y DE LA SOSTENIBILIDAD;41;30;137
DERECHO DE DAÑOS;14;40;35
DESARROLLO DE APLICACIONES Y SERVICIOS WEB;33;30;110
DESARROLLO DE SOFTWARE PARA DISPOSITIVOS MÓVILES;29;20;145
DESARROLLO LOCAL E INNOVACIÓN TERRITORIAL;16;25;64
DIRECCIÓN Y PLANIFICACIÓN DEL TURISMO;55;30;183
ECONOMÍA APLICADA;33;15;220
ECONOMÍA CUANTITATIVA;32;25;128
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);11;25;44
EMERGENCIAS Y CATÁSTROFES;150;30;500
ENVEJECIMIENTO ACTIVO Y SALUD;36;20;180
ESPAÑOL E INGLÉS COMO SEGUNDAS LENGUAS/LENGUAS EXTRANJERAS;160;25;640
ESTUDIOS INGLESES AVANZADOS;33;40;83
ESTUDIOS LITERARIOS;64;30;213
GESTIÓN ADMINISTRATIVA;63;30;210
GESTIÓN PESQUERA SOSTENIBLE;8;25;32
GESTIÓN SOSTENIBLE Y TECNOLOGÍAS DEL AGUA;37;20;185
HISTORIA DE LA CIENCIA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);19;7;271
HISTORIA DE LA EUROPA CONTEMPORÁNEA: IDENTIDADES E INTEGRACIÓN;15;20;75
HISTORIA DEL MUNDO MEDITERRÁNEO Y SUS REGIONES;24;45;53
HISTORIA E IDENTIDADES EN EL MEDITERRÁNEO OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitario);6;15;40
INGENIERÍA BIOMÉDICA;41;20;205
INGENIERÍA DE CAMINOS, CANALES Y PUERTOS;34;50;68
INGENIERÍA DE TELECOMUNICACIÓN;45;30;150
INGENIERÍA GEOLÓGICA;25;30;83
INGENIERÍA INFORMÁTICA;13;50;26
INGENIERÍA QUÍMICA;42;20;210
INGLÉS Y ESPAÑOL PARA FINES ESPECÍFICOS;26;20;130
INNOVACIÓN SOCIAL Y DINÁMICAS DE CAMBIO;17;20;85
INTELIGENCIA ARTIFICIAL;80;25;320
INVESTIGACIÓN CRIMINAL Y CIENCIAS FORENSES;39;25;156
INVESTIGACIÓN EDUCATIVA;103;50;206
INVESTIGACIÓN EN CIENCIAS DE LA SALUD;24;20;120
NANOCIENCIA Y NANOTECNOLOGÍA MOLECULAR (Interuniversitario);10;10;100
NUTRICIÓN Y ALIMENTACIÓN;122;25;488
OPTOMETRÍA AVANZADA Y SALUD VISUAL;20;15;133
PALEONTOLOGÍA APLICADA (Interuniversitario);7;10;70
PLANIFICACIÓN Y GESTIÓN DE RIESGOS NATURALES;33;20;165
PREVENCIÓN DE RIESGOS LABORALES;61;30;203
PROFESORADO DE EDUCACIÓN SECUNDARIA;2967;500;593
QUÍMICA AMBIENTAL Y SOSTENIBLE;36;20;180
QUÍMICA MÉDICA;29;20;145
TRADUCCIÓN INSTITUCIONAL;121;90;134
TURISMO CULTURAL;32;30;107
