GRADOS;TOTAL - Núm. PDI doctor;TOTAL - Núm. PDI;TOTAL - Tasa de PDI doctor (%);MUJERES - Núm. PDI doctor;MUJERES - Núm. PDI;MUJERES - Tasa de PDI doctor (%);HOMBRES - Núm. PDI doctor;HOMBRES - Núm. PDI;HOMBRES - Tasa de PDI doctor (%)
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;121;247;49;52;93;56;69;154;45
ARQUITECTURA;3;4;75;1;2;50;2;2;100
ARQUITECTURA TÉCNICA;31;42;74;12;16;75;19;26;73
BIOLOGÍA;162;179;91;67;70;96;95;109;87
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;53;79;67;15;24;63;38;55;69
CIENCIAS DEL MAR;90;102;88;26;27;96;64;75;85
CRIMINOLOGÍA;79;154;51;39;74;53;40;80;50
DERECHO;125;212;59;56;89;63;69;123;56
ECONOMÍA;57;89;64;20;33;61;37;56;66
ENFERMERÍA;99;165;60;60;99;61;39;66;59
ESPAÑOL: LENGUA Y LITERATURAS;80;122;66;41;68;60;39;54;72
ESTUDIOS ÁRABES E ISLÁMICOS;68;108;63;33;58;57;35;50;70
ESTUDIOS FRANCESES;74;112;66;41;64;64;33;48;69
ESTUDIOS INGLESES;89;128;70;46;71;65;43;57;75
FILOLOGIA CATALANA;77;112;69;36;59;61;41;53;77
FÍSICA;69;92;75;16;20;80;53;72;74
FUNDAMENTOS DE LA ARQUITECTURA;78;101;77;21;24;88;57;77;74
GASTRONOMÍA Y ARTES CULINARIAS;54;80;68;31;42;74;23;38;61
GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO;73;89;82;28;35;80;45;54;83
GEOLOGÍA;48;57;84;13;15;87;35;42;83
GESTIÓN Y ADMINISTRACIÓN PÚBLICA;26;61;43;14;31;45;12;30;40
HISTORIA;78;91;86;30;36;83;48;55;87
HUMANIDADES;88;122;72;46;66;70;42;56;75
INGENIERÍA BIOMÉDICA;82;107;77;26;33;79;56;74;76
INGENIERÍA CIVIL;55;91;60;9;19;47;46;72;64
INGENIERÍA EN INTELIGENCIA ARTIFICIAL;15;19;79;6;8;75;9;11;82
INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN;50;78;64;7;9;78;43;69;62
INGENIERÍA INFORMÁTICA;129;205;63;21;36;58;108;169;64
INGENIERÍA MULTIMEDIA;64;99;65;14;25;56;50;74;68
INGENIERÍA QUÍMICA;72;86;84;31;35;89;41;51;80
INGENIERÍA ROBÓTICA;59;85;69;8;12;67;51;73;70
MAESTRO EN EDUCACIÓN INFANTIL;125;218;57;65;119;55;60;99;61
MAESTRO EN EDUCACIÓN PRIMARIA;154;257;60;71;131;54;83;126;66
MARKETING;43;81;53;16;28;57;27;53;51
MATEMÁTICAS;51;67;76;16;20;80;35;47;74
MEDICINA;28;31;90;14;15;93;14;16;88
NUTRICIÓN HUMANA Y DIETÉTICA;84;105;80;57;73;78;27;32;84
ÓPTICA Y OPTOMETRÍA;58;64;91;31;35;89;27;29;93
PUBLICIDAD Y RELACIONES PÚBLICAS;59;110;54;35;61;57;24;49;49
QUÍMICA;108;123;88;40;48;83;68;75;91
RELACIONES INTERNACIONALES;54;91;59;27;50;54;27;41;66
RELACIONES LABORALES Y RECURSOS HUMANOS (UA);40;82;49;19;35;54;21;47;45
SOCIOLOGÍA;44;53;83;16;20;80;28;33;85
TRABAJO SOCIAL;45;89;51;26;57;46;19;32;59
TRADUCCIÓN E INTERPRETACIÓN;60;107;56;33;65;51;27;42;64
TURISMO;100;186;54;45;90;50;55;96;57
DOBLE GRADO EN DERECHO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;221;411;54;99;166;60;122;245;50
DOBLE GRADO EN DERECHO Y CRIMINOLOGÍA;169;299;57;75;129;58;94;170;55
DOBLE GRADO EN DERECHO Y RELACIONES INTERNACIONALES;152;256;59;70;113;62;82;143;57
DOBLE GRADO EN INGENIERÍA INFORMÁTICA Y ADMINISTR. Y DIRECCIÓN DE EMPRESAS;217;391;55;67;115;58;150;276;54
DOBLE GRADO EN TURISMO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;177;359;49;83;157;53;94;202;47
