MÁSTERES;TOTAL - Núm. PDI doctor;TOTAL - Núm. PDI;TOTAL - Tasa de PDI doctor (%);MUJERES - Núm. PDI doctor;MUJERES - Núm. PDI;MUJERES - Tasa de PDI doctor (%);HOMBRES - Núm. PDI doctor;HOMBRES - Núm. PDI;HOMBRES - Tasa de PDI doctor (%)
ABOGACÍA Y PROCURA;28;45;62;15;19;79;13;26;50
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;24;31;77;10;12;83;14;19;74
ARQUEOLOGÍA PROFESIONAL Y GESTIÓN INTEGRAL DEL PATRIMONIO;28;36;78;10;13;77;18;23;78
ARQUITECTURA;27;29;93;7;7;100;20;22;91
AUTOMÁTICA Y ROBÓTICA;15;19;79;1;2;50;14;17;82
BIOMEDICINA;68;71;96;30;32;94;38;39;97
BIOTECNOLOGÍA PARA LA SALUD Y LA SOSTENIBILIDAD;68;71;96;30;32;94;38;39;97
CÁLCULO Y MODELIZACIÓN CIENTÍFICA;23;24;96;4;4;100;19;20;95
CIBERSEGURIDAD;6;12;50;;;0;6;12;50
CIENCIA DE DATOS;23;28;82;1;2;50;22;26;85
CIENCIA DE MATERIALES;29;30;97;11;12;92;18;18;100
COMUNICACIÓN DIGITAL;23;29;79;14;17;82;9;12;75
COMUNICACIÓN E INDUSTRIAS CREATIVAS;20;32;63;8;15;53;12;17;71
CONSERVACIÓN DE LA BIODIVERSIDAD Y RESTAURACIÓN;44;47;94;13;14;93;31;33;94
COOPERACIÓN AL DESARROLLO (Interuniversitario);17;24;71;6;8;75;11;16;69
DERECHO AMBIENTAL Y DE LA SOSTENIBILIDAD;28;30;93;8;9;89;20;21;95
DERECHO DE DAÑOS;19;34;56;10;15;67;9;19;47
DESARROLLO DE APLICACIONES Y SERVICIOS WEB;12;22;55;2;3;67;10;19;53
DESARROLLO DE SOFTWARE PARA DISPOSITIVOS MÓVILES;6;9;67;1;1;100;5;8;63
DESARROLLO LOCAL E INNOVACIÓN TERRITORIAL;22;26;85;5;7;71;17;19;89
DIRECCIÓN Y PLANIFICACIÓN DEL TURISMO;24;30;80;11;13;85;13;17;76
ECONOMÍA APLICADA;16;21;76;8;10;80;8;11;73
ECONOMÍA CUANTITATIVA;19;20;95;6;6;100;13;14;93
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);11;11;100;2;2;100;9;9;100
EMERGENCIAS Y CATÁSTROFES;13;21;62;9;12;75;4;9;44
ENVEJECIMIENTO ACTIVO Y SALUD;24;27;89;14;17;82;10;10;100
ESPAÑOL E INGLÉS COMO SEGUNDAS LENGUAS/LENGUAS EXTRANJERAS;25;26;96;16;16;100;9;10;90
ESTUDIOS INGLESES AVANZADOS;16;16;100;8;8;100;8;8;100
ESTUDIOS LITERARIOS;30;30;100;14;14;100;16;16;100
GESTIÓN ADMINISTRATIVA;10;21;48;5;8;63;5;13;38
GESTIÓN PESQUERA SOSTENIBLE;13;13;100;5;5;100;8;8;100
GESTIÓN SOSTENIBLE Y TECNOLOGÍAS DEL AGUA;26;34;76;11;12;92;15;22;68
HISTORIA DE LA CIENCIA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);2;2;100;;;0;2;2;100
HISTORIA DE LA EUROPA CONTEMPORÁNEA: IDENTIDADES E INTEGRACIÓN;14;14;100;6;6;100;8;8;100
HISTORIA DEL MUNDO MEDITERRÁNEO Y SUS REGIONES;31;38;82;9;12;75;22;26;85
HISTORIA E IDENTIDADES EN EL MEDITERRÁNEO OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitario);10;10;100;4;4;100;6;6;100
INGENIERÍA BIOMÉDICA;24;24;100;6;6;100;18;18;100
INGENIERÍA DE CAMINOS, CANALES Y PUERTOS;35;50;70;7;11;64;28;39;72
INGENIERÍA DE TELECOMUNICACIÓN;31;40;78;7;7;100;24;33;73
INGENIERÍA GEOLÓGICA;21;29;72;5;6;83;16;23;70
INGENIERÍA INFORMÁTICA;19;28;68;4;5;80;15;23;65
INGENIERÍA QUÍMICA;31;36;86;13;14;93;18;22;82
INGLÉS Y ESPAÑOL PARA FINES ESPECÍFICOS;19;19;100;11;11;100;8;8;100
INNOVACIÓN SOCIAL Y DINÁMICAS DE CAMBIO;11;15;73;3;5;60;8;10;80
INTELIGENCIA ARTIFICIAL;23;29;79;1;1;100;22;28;79
INVESTIGACIÓN CRIMINAL Y CIENCIAS FORENSES;23;33;70;9;13;69;14;20;70
INVESTIGACIÓN EDUCATIVA;40;41;98;19;19;100;21;22;95
INVESTIGACIÓN EN CIENCIAS DE LA SALUD;28;30;93;16;18;89;12;12;100
NANOCIENCIA Y NANOTECNOLOGÍA MOLECULAR (Interuniversitario);5;5;100;1;1;100;4;4;100
NUTRICIÓN Y ALIMENTACIÓN;48;57;84;31;37;84;17;20;85
OPTOMETRÍA AVANZADA Y SALUD VISUAL;24;26;92;13;15;87;11;11;100
PALEONTOLOGÍA APLICADA (Interuniversitario);6;6;100;1;1;100;5;5;100
PLANIFICACIÓN Y GESTIÓN DE RIESGOS NATURALES;21;24;88;6;7;86;15;17;88
PREVENCIÓN DE RIESGOS LABORALES;15;22;68;8;11;73;7;11;64
