GRADOS;TOTAL - Núm. PDI a tiempo completo;TOTAL - Núm. PDI;TOTAL - Tasa de PDI a tiempo completo (%);MUJERES - Núm. PDI a tiempo completo;MUJERES - Núm. PDI;MUJERES - Tasa de PDI a tiempo completo (%);HOMBRES - Núm. PDI a tiempo completo;HOMBRES - Núm. PDI;HOMBRES - Tasa de PDI a tiempo completo (%)
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;137;247;55;50;93;54;87;154;56
ARQUITECTURA;4;4;100;2;2;100;2;2;100
ARQUITECTURA TÉCNICA;30;42;71;13;16;81;17;26;65
BIOLOGÍA;134;179;75;55;70;79;79;109;72
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;41;79;52;14;24;58;27;55;49
CIENCIAS DEL MAR;74;102;73;24;27;89;50;75;67
CRIMINOLOGÍA;68;154;44;40;74;54;28;80;35
DERECHO;113;212;53;56;89;63;57;123;46
ECONOMÍA;66;89;74;22;33;67;44;56;79
ENFERMERÍA;77;165;47;51;99;52;26;66;39
ESPAÑOL: LENGUA Y LITERATURAS;78;122;64;42;68;62;36;54;67
ESTUDIOS ÁRABES E ISLÁMICOS;63;108;58;31;58;53;32;50;64
ESTUDIOS FRANCESES;67;112;60;38;64;59;29;48;60
ESTUDIOS INGLESES;81;128;63;43;71;61;38;57;67
FILOLOGIA CATALANA;68;112;61;33;59;56;35;53;66
FÍSICA;78;92;85;16;20;80;62;72;86
FUNDAMENTOS DE LA ARQUITECTURA;65;101;64;15;24;63;50;77;65
GASTRONOMÍA Y ARTES CULINARIAS;40;80;50;24;42;57;16;38;42
GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO;64;89;72;24;35;69;40;54;74
GEOLOGÍA;46;57;81;13;15;87;33;42;79
GESTIÓN Y ADMINISTRACIÓN PÚBLICA;22;61;36;13;31;42;9;30;30
HISTORIA;63;91;69;27;36;75;36;55;65
HUMANIDADES;74;122;61;37;66;56;37;56;66
INGENIERÍA BIOMÉDICA;64;107;60;20;33;61;44;74;59
INGENIERÍA CIVIL;53;91;58;12;19;63;41;72;57
INGENIERÍA EN INTELIGENCIA ARTIFICIAL;14;19;74;6;8;75;8;11;73
INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN;50;78;64;8;9;89;42;69;61
INGENIERÍA INFORMÁTICA;123;205;60;25;36;69;98;169;58
INGENIERÍA MULTIMEDIA;60;99;61;15;25;60;45;74;61
INGENIERÍA QUÍMICA;66;86;77;28;35;80;38;51;75
INGENIERÍA ROBÓTICA;60;85;71;9;12;75;51;73;70
MAESTRO EN EDUCACIÓN INFANTIL;98;218;45;52;119;44;46;99;46
MAESTRO EN EDUCACIÓN PRIMARIA;114;257;44;56;131;43;58;126;46
MARKETING;45;81;56;18;28;64;27;53;51
MATEMÁTICAS;59;67;88;19;20;95;40;47;85
MEDICINA;21;31;68;10;15;67;11;16;69
NUTRICIÓN HUMANA Y DIETÉTICA;66;105;63;47;73;64;19;32;59
ÓPTICA Y OPTOMETRÍA;54;64;84;31;35;89;23;29;79
PUBLICIDAD Y RELACIONES PÚBLICAS;55;110;50;33;61;54;22;49;45
QUÍMICA;108;123;88;40;48;83;68;75;91
RELACIONES INTERNACIONALES;50;91;55;25;50;50;25;41;61
RELACIONES LABORALES Y RECURSOS HUMANOS (UA);37;80;46;17;35;49;20;45;44
SOCIOLOGÍA;40;53;75;15;20;75;25;33;76
TRABAJO SOCIAL;40;89;45;25;57;44;15;32;47
TRADUCCIÓN E INTERPRETACIÓN;55;107;51;30;65;46;25;42;60
TURISMO;98;186;53;46;90;51;52;96;54
DOBLE GRADO EN DERECHO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;225;411;55;99;166;60;126;245;51
DOBLE GRADO EN DERECHO Y CRIMINOLOGÍA;149;299;50;74;129;57;75;170;44
DOBLE GRADO EN DERECHO Y RELACIONES INTERNACIONALES;137;256;54;68;113;60;69;143;48
DOBLE GRADO EN INGENIERÍA INFORMÁTICA Y ADMINISTR. Y DIRECCIÓN DE EMPRESAS;217;391;55;64;115;56;153;276;55
DOBLE GRADO EN TURISMO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;194;359;54;82;157;52;112;202;55
