MÁSTERES;TOTAL - Núm. PDI a tiempo completo;TOTAL - Núm. PDI;TOTAL - Tasa de PDI a tiempo completo (%);MUJERES - Núm. PDI a tiempo completo;MUJERES - Núm. PDI;MUJERES - Tasa de PDI a tiempo completo (%);HOMBRES - Núm. PDI a tiempo completo;HOMBRES - Núm. PDI;HOMBRES - Tasa de PDI a tiempo completo (%)
ABOGACÍA Y PROCURA;23;45;51;14;19;74;9;26;35
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;25;31;81;10;12;83;15;19;79
ARQUEOLOGÍA PROFESIONAL Y GESTIÓN INTEGRAL DEL PATRIMONIO;24;36;67;10;13;77;14;23;61
ARQUITECTURA;24;29;83;6;7;86;18;22;82
AUTOMÁTICA Y ROBÓTICA;14;17;82;0;0;n.c.;14;17;82
BIOMEDICINA;63;71;89;29;32;91;34;39;87
BIOTECNOLOGÍA PARA LA SALUD Y LA SOSTENIBILIDAD;63;71;89;29;32;91;34;39;87
CÁLCULO Y MODELIZACIÓN CIENTÍFICA;23;24;96;4;4;100;19;20;95
CIBERSEGURIDAD;4;12;33;0;0;n.c.;4;12;33
CIENCIA DE DATOS;28;28;100;2;2;100;26;26;100
CIENCIA DE MATERIALES;30;30;100;12;12;100;18;18;100
COMUNICACIÓN DIGITAL;17;29;59;12;17;71;5;12;42
COMUNICACIÓN E INDUSTRIAS CREATIVAS;17;32;53;7;15;47;10;17;59
CONSERVACIÓN DE LA BIODIVERSIDAD Y RESTAURACIÓN;39;47;83;13;14;93;26;33;79
COOPERACIÓN AL DESARROLLO (Interuniversitario);13;24;54;6;8;75;7;16;44
DERECHO AMBIENTAL Y DE LA SOSTENIBILIDAD;26;30;87;8;9;89;18;21;86
DERECHO DE DAÑOS;20;34;59;10;15;67;10;19;53
DESARROLLO DE APLICACIONES Y SERVICIOS WEB;9;22;41;1;3;33;8;19;42
DESARROLLO DE SOFTWARE PARA DISPOSITIVOS MÓVILES;6;9;67;1;1;100;5;8;63
DESARROLLO LOCAL E INNOVACIÓN TERRITORIAL;22;26;85;5;7;71;17;19;89
DIRECCIÓN Y PLANIFICACIÓN DEL TURISMO;21;30;70;11;13;85;10;17;59
ECONOMÍA APLICADA;16;21;76;10;10;100;6;11;55
ECONOMÍA CUANTITATIVA;19;20;95;5;6;83;14;14;100
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);11;11;100;2;2;100;9;9;100
EMERGENCIAS Y CATÁSTROFES;9;21;43;6;12;50;3;9;33
ENVEJECIMIENTO ACTIVO Y SALUD;22;27;81;14;17;82;8;10;80
ESPAÑOL E INGLÉS COMO SEGUNDAS LENGUAS/LENGUAS EXTRANJERAS;22;26;85;14;16;88;8;10;80
ESTUDIOS INGLESES AVANZADOS;16;16;100;8;8;100;8;8;100
ESTUDIOS LITERARIOS;25;30;83;13;14;93;12;16;75
GESTIÓN ADMINISTRATIVA;11;21;52;7;8;88;4;13;31
GESTIÓN PESQUERA SOSTENIBLE;11;13;85;5;5;100;6;8;75
GESTIÓN SOSTENIBLE Y TECNOLOGÍAS DEL AGUA;21;34;62;10;12;83;11;22;50
HISTORIA DE LA CIENCIA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);2;2;100;0;0;n.c.;2;2;100
HISTORIA DE LA EUROPA CONTEMPORÁNEA: IDENTIDADES E INTEGRACIÓN;12;14;86;6;6;100;6;8;75
HISTORIA DEL MUNDO MEDITERRÁNEO Y SUS REGIONES;28;38;74;10;12;83;18;26;69
HISTORIA E IDENTIDADES EN EL MEDITERRÁNEO OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitario);9;10;90;3;4;75;6;6;100
INGENIERÍA BIOMÉDICA;22;24;92;5;6;83;17;18;94
INGENIERÍA DE CAMINOS, CANALES Y PUERTOS;37;50;74;9;11;82;28;39;72
INGENIERÍA DE TELECOMUNICACIÓN;30;40;75;7;7;100;23;33;70
INGENIERÍA GEOLÓGICA;20;29;69;6;6;100;14;23;61
INGENIERÍA INFORMÁTICA;19;28;68;5;5;100;14;23;61
INGENIERÍA QUÍMICA;28;36;78;12;14;86;16;22;73
INGLÉS Y ESPAÑOL PARA FINES ESPECÍFICOS;17;19;89;9;11;82;8;8;100
INNOVACIÓN SOCIAL Y DINÁMICAS DE CAMBIO;8;15;53;3;5;60;5;10;50
INTELIGENCIA ARTIFICIAL;29;29;100;1;1;100;28;28;100
INVESTIGACIÓN CRIMINAL Y CIENCIAS FORENSES;20;33;61;9;13;69;11;20;55
INVESTIGACIÓN EDUCATIVA;38;41;93;18;19;95;20;22;91
INVESTIGACIÓN EN CIENCIAS DE LA SALUD;27;30;90;17;18;94;10;12;83
NANOCIENCIA Y NANOTECNOLOGÍA MOLECULAR (Interuniversitario);5;5;100;1;1;100;4;4;100
NUTRICIÓN Y ALIMENTACIÓN;42;57;74;27;37;73;15;20;75
OPTOMETRÍA AVANZADA Y SALUD VISUAL;21;26;81;11;15;73;10;11;91
PALEONTOLOGÍA APLICADA (Interuniversitario);6;6;100;1;1;100;5;5;100
PLANIFICACIÓN Y GESTIÓN DE RIESGOS NATURALES;17;24;71;4;7;57;13;17;76
PREVENCIÓN DE RIESGOS LABORALES;14;22;64;9;11;82;5;11;45
PROFESORADO DE EDUCACIÓN SECUNDARIA;104;198;53;60;108;56;44;90;49
QUÍMICA AMBIENTAL Y SOSTENIBLE;24;28;86;8;10;80;16;18;89
QUÍMICA MÉDICA;63;71;89;29;32;91;34;39;87
SALUD PÚBLICA (Interuniversitario);12;19;63;7;9;78;5;10;50
