GRADOS;Nuevos o que solicitan preinscripción;Nº Plazas ofertadas;Tasa de matriculación (%)
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;412;370;100
ARQUITECTURA TÉCNICA;68;60;100
BIOLOGÍA;147;160;92
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;103;100;100
CIENCIAS DEL MAR;59;60;98
CRIMINOLOGÍA;240;240;100
DERECHO;302;240;100
ECONOMÍA;131;125;100
ENFERMERÍA;239;200;100
ESPAÑOL: LENGUA Y LITERATURAS;66;55;100
ESTUDIOS ÁRABES E ISLÁMICOS;11;50;22
ESTUDIOS FRANCESES;12;50;24
ESTUDIOS INGLESES;125;125;100
FILOLOGIA CATALANA;37;50;74
FÍSICA;71;70;100
FUNDAMENTOS DE LA ARQUITECTURA;133;120;100
GASTRONOMÍA Y ARTES CULINARIAS;64;75;85
GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO;28;50;56
GEOLOGÍA;31;50;62
GESTIÓN Y ADMINISTRACIÓN PÚBLICA;32;50;64
HISTORIA;104;125;83
HUMANIDADES;21;50;42
INGENIERÍA BIOMÉDICA;66;60;100
INGENIERÍA CIVIL;68;75;91
INGENIERÍA EN INTELIGENCIA ARTIFICIAL;65;60;100
INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN;70;80;88
INGENIERÍA INFORMÁTICA;227;190;100
INGENIERÍA MULTIMEDIA;105;95;100
INGENIERÍA QUÍMICA;67;60;100
INGENIERÍA ROBÓTICA;68;60;100
MAESTRO EN EDUCACIÓN INFANTIL;332;360;92
MAESTRO EN EDUCACIÓN PRIMARIA;420;440;96
MARKETING;84;75;100
MATEMÁTICAS;69;70;99
MEDICINA;91;86;100
NUTRICIÓN HUMANA Y DIETÉTICA;123;100;100
ÓPTICA Y OPTOMETRÍA;61;70;87
PUBLICIDAD Y RELACIONES PÚBLICAS;249;240;100
QUÍMICA;68;70;97
RELACIONES INTERNACIONALES;68;60;100
RELACIONES LABORALES Y RECURSOS HUMANOS (UA);108;130;83
RELACIONES LABORALES Y RECURSOS HUMANOS (ELDA);21;50;42
SOCIOLOGÍA;35;60;58
TRABAJO SOCIAL;147;160;92
TRADUCCIÓN E INTERPRETACIÓN;143;180;79
TURISMO;134;240;56
DOBLE GRADO EN DERECHO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;131;130;100
DOBLE GRADO EN DERECHO Y CRIMINOLOGÍA;82;70;100
DOBLE GRADO EN DERECHO Y RELACIONES INTERNACIONALES;74;60;100
DOBLE GRADO EN INGENIERÍA INFORMÁTICA Y ADMINISTR. Y DIRECCIÓN DE EMPRESAS;52;50;100
DOBLE GRADO EN TURISMO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;85;100;85
