MÁSTERES;Nuevos o que solicitan preinscripción;Nº Plazas ofertadas;Tasa de matriculación (%)
ABOGACÍA Y PROCURA;113;140;81
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;39;40;98
ARQUEOLOGÍA PROFESIONAL Y GESTIÓN INTEGRAL DEL PATRIMONIO;31;30;100
ARQUITECTURA;37;90;41
AUTOMÁTICA Y ROBÓTICA;26;30;87
BIOMEDICINA;12;20;60
BIOTECNOLOGÍA PARA LA SALUD Y LA SOSTENIBILIDAD;6;20;30
CÁLCULO Y MODELIZACIÓN CIENTÍFICA;3;25;12
CIBERSEGURIDAD;15;20;75
CIENCIA DE DATOS;19;20;95
CIENCIA DE MATERIALES;10;20;50
COMUNICACIÓN DIGITAL;32;35;91
COMUNICACIÓN E INDUSTRIAS CREATIVAS;38;35;100
CONSERVACIÓN DE LA BIODIVERSIDAD Y RESTAURACIÓN;14;25;56
COOPERACIÓN AL DESARROLLO (Interuniversitario);11;25;44
DERECHO AMBIENTAL Y DE LA SOSTENIBILIDAD;22;30;73
DERECHO DE DAÑOS;12;40;30
DESARROLLO DE APLICACIONES Y SERVICIOS WEB;11;30;37
DESARROLLO DE SOFTWARE PARA DISPOSITIVOS MÓVILES;15;20;75
DESARROLLO LOCAL E INNOVACIÓN TERRITORIAL;8;25;32
DIRECCIÓN Y PLANIFICACIÓN DEL TURISMO;19;30;63
ECONOMÍA APLICADA;8;15;53
ECONOMÍA CUANTITATIVA;10;25;40
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);24;25;96
EMERGENCIAS Y CATÁSTROFES;30;30;100
ENVEJECIMIENTO ACTIVO Y SALUD;16;20;80
ESPAÑOL E INGLÉS COMO SEGUNDAS LENGUAS/LENGUAS EXTRANJERAS;26;25;100
ESTUDIOS INGLESES AVANZADOS;20;40;50
ESTUDIOS LITERARIOS;23;30;77
GESTIÓN ADMINISTRATIVA;18;30;60
GESTIÓN PESQUERA SOSTENIBLE;9;25;36
GESTIÓN SOSTENIBLE Y TECNOLOGÍAS DEL AGUA;16;20;80
HISTORIA DE LA CIENCIA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);7;7;100
HISTORIA DE LA EUROPA CONTEMPORÁNEA: IDENTIDADES E INTEGRACIÓN;8;20;40
HISTORIA DEL MUNDO MEDITERRÁNEO Y SUS REGIONES;19;45;42
HISTORIA E IDENTIDADES EN EL MEDITERRÁNEO OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitario);13;15;87
INGENIERÍA BIOMÉDICA;9;20;45
INGENIERÍA DE CAMINOS, CANALES Y PUERTOS;18;50;36
INGENIERÍA DE TELECOMUNICACIÓN;22;30;73
INGENIERÍA GEOLÓGICA;6;30;20
INGENIERÍA INFORMÁTICA;3;50;6
INGENIERÍA QUÍMICA;18;20;90
INGLÉS Y ESPAÑOL PARA FINES ESPECÍFICOS;15;20;75
INNOVACIÓN SOCIAL Y DINÁMICAS DE CAMBIO;8;20;40
INTELIGENCIA ARTIFICIAL;29;25;100
INVESTIGACIÓN CRIMINAL Y CIENCIAS FORENSES;14;25;56
INVESTIGACIÓN EDUCATIVA;33;50;66
INVESTIGACIÓN EN CIENCIAS DE LA SALUD;11;20;55
NANOCIENCIA Y NANOTECNOLOGÍA MOLECULAR (Interuniversitario);2;10;20
NUTRICIÓN Y ALIMENTACIÓN;14;25;56
OPTOMETRÍA AVANZADA Y SALUD VISUAL;4;15;27
PALEONTOLOGÍA APLICADA (Interuniversitario);13;10;100
PLANIFICACIÓN Y GESTIÓN DE RIESGOS NATURALES;18;20;90
PREVENCIÓN DE RIESGOS LABORALES;28;30;93
PROFESORADO DE EDUCACIÓN SECUNDARIA;455;500;91
QUÍMICA AMBIENTAL Y SOSTENIBLE;13;20;65
QUÍMICA MÉDICA;6;20;30
TRADUCCIÓN INSTITUCIONAL;46;90;51
TURISMO CULTURAL;8;30;27
