GRADOS;TOTAL - Créditos Matriculados;TOTAL - Créditos Matriculados Aptos;TOTAL - Tasa de rendimiento (%);MUJERES - Créditos Matriculados;MUJERES - Créditos Matriculados Aptos;MUJERES - Tasa de rendimiento (%);HOMBRES - Créditos Matriculados;HOMBRES - Créditos Matriculados Aptos;HOMBRES - Tasa de rendimiento (%)
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;62047;33816;55;26328;14480.5;55;35719;19335.5;54
ARQUITECTURA;78;0;0;18;0;0;60;0;0
ARQUITECTURA TÉCNICA;11568;7335;63;5358;3411;64;6210;3924;63
BIOLOGÍA;34709;28703;83;20877;17175;82;13832;11528;83
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;23163;21099;91;6570;6351;97;16593;14748;89
CIENCIAS DEL MAR;12866;11120;86;7382;6614;90;5484;4506;82
CRIMINOLOGÍA;53170.5;43361.5;82;39097;32052;82;14073.5;11309.5;80
DERECHO;72438.5;50096;69;49017;34140;70;23421.5;15956;68
ECONOMÍA;27377;18780;69;10776;7530;70;16601;11250;68
ENFERMERÍA;47217;45114;96;37662;35988;96;9555;9126;96
ESPAÑOL: LENGUA Y LITERATURAS;15084;12240;81;12474;10224;82;2610;2016;77
ESTUDIOS ÁRABES E ISLÁMICOS;1914;1368;71;1242;924;74;672;444;66
ESTUDIOS FRANCESES;3048;2298;75;2706;2082;77;342;216;63
ESTUDIOS INGLESES;24396;17250;71;19314;13890;72;5082;3360;66
FILOLOGIA CATALANA;7098;5490;77;5364;4158;78;1734;1332;77
FÍSICA;13887;11211;81;3771;3027;80;10116;8184;81
FUNDAMENTOS DE LA ARQUITECTURA;29790;21444;72;17058;12402;73;12732;9042;71
GASTRONOMÍA Y ARTES CULINARIAS;13825;12274;89;7915;7144;90;5910;5130;87
GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO;5010;4014;80;1272;1002;79;3738;3012;81
GEOLOGÍA;5169;3576;69;1848;1236;67;3321;2340;70
GESTIÓN Y ADMINISTRACIÓN PÚBLICA;5643;4212;75;3582;2745;77;2061;1467;71
HISTORIA;25128;20328;81;8824;7222;82;16304;13106;80
HUMANIDADES;5679;4413;78;3873;3066;79;1806;1347;75
INGENIERÍA BIOMÉDICA;17004;14208;84;8922;7494;84;8082;6714;83
INGENIERÍA CIVIL;11577;6603;57;3166.5;1840.5;58;8410.5;4762.5;57
INGENIERÍA EN INTELIGENCIA ARTIFICIAL;3834;3084;80;960;756;79;2874;2328;81
INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN;12918;8460;65;3780;2694;71;9138;5766;63
INGENIERÍA INFORMÁTICA;47784;33972;71;6780;4794;71;41004;29178;71
INGENIERÍA MULTIMEDIA;23526;18516;79;4608;3870;84;18918;14646;77
INGENIERÍA QUÍMICA;14925;10782;72;6411;4527;71;8514;6255;73
INGENIERÍA ROBÓTICA;15942;12012;75;3276;2520;77;12666;9492;75
MAESTRO EN EDUCACIÓN INFANTIL;75771;70350;93;66672;62688;94;9099;7662;84
MAESTRO EN EDUCACIÓN PRIMARIA;99696;91788;92;67500;62982;93;32196;28806;89
MARKETING;17118.5;12990.5;76;10898;8450;78;6220.5;4540.5;73
MATEMÁTICAS;15649;12619;81;5172;4098;79;10477;8521;81
MEDICINA;4956;4320;87;4122;3702;90;834;618;74
NUTRICIÓN HUMANA Y DIETÉTICA;20433;18600;91;14811;13494;91;5622;5106;91
ÓPTICA Y OPTOMETRÍA;12348;8676;70;8994;6438;72;3354;2238;67
PUBLICIDAD Y RELACIONES PÚBLICAS;59417;53390;90;44896;40915;91;14521;12475;86
QUÍMICA;15327;11567;75;7623;5735;75;7704;5832;76
RELACIONES INTERNACIONALES;14699;13229;90;11301;10165;90;3398;3064;90
RELACIONES LABORALES Y RECURSOS HUMANOS  (UA);26765;19082;71;18590;13730;74;8175;5352;65
RELACIONES LABORALES Y RECURSOS HUMANOS (ELDA);3195;2511;79;2292;1854;81;903;657;73
SOCIOLOGÍA;8393;6640;79;5207;4126;79;3186;2514;79
TRABAJO SOCIAL;34516;30898;90;29712;26604;90;4804;4294;89
TRADUCCIÓN E INTERPRETACIÓN;34084;29440;86;28078;24616;88;6006;4824;80
TURISMO;28850;21081;73;19502;14961;77;9348;6120;65
DOBLE GRADO EN DERECHO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;37048.5;26994;73;21654;15864;73;15394.5;11130;72
DOBLE GRADO EN DERECHO Y CRIMINOLOGÍA;25450.5;22194;87;21516;18678;87;3934.5;3516;89
DOBLE GRADO EN DERECHO Y RELACIONES INTERNACIONALES;18351;17424;95;14790;14100;95;3561;3324;93
DOBLE GRADO EN INGENIERÍA INFORMÁTICA Y ADMINISTR. Y DIRECCIÓN DE EMPRESAS;14584;10828.5;74;3484;2412;69;11100;8416.5;76
DOBLE GRADO EN TURISMO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;17795;10163.5;57;11296;7261;64;6499;2902.5;45
