GRADOS;TOTAL - Alumnos nuevos  (n-2);TOTAL - Nuevos que abandonan (n y n-1);TOTAL - Tasa Abandono (%);MUJERES - Alumnos nuevos  (n-2);MUJERES - Nuevos que abandonan (n y n-1);MUJERES - Tasa Abandono (%);HOMBRES - Alumnos nuevos  (n-2);HOMBRES - Nuevos que abandonan (n y n-1);HOMBRES - Tasa Abandono (%)
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;472;206;44;206;90;44;266;116;44
ARQUITECTURA;1;0;0;0;0;n.c.;1;0;0
ARQUITECTURA TÉCNICA;56;9;16;28;5;18;28;4;14
BIOLOGÍA;151;27;18;95;18;19;56;9;16
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;103;8;8;31;2;6;72;6;8
CIENCIAS DEL MAR;53;9;17;36;6;17;17;3;18
CRIMINOLOGÍA;288;39;14;197;27;14;91;12;13
DERECHO;302;47;16;210;34;16;92;13;14
ECONOMÍA;121;26;21;38;10;26;83;16;19
ENFERMERÍA;203;27;13;161;22;14;42;5;12
ESPAÑOL: LENGUA Y LITERATURAS;61;13;21;49;12;24;12;1;8
ESTUDIOS ÁRABES E ISLÁMICOS;3;0;0;2;0;0;1;0;0
ESTUDIOS FRANCESES;18;8;44;13;5;38;5;3;60
ESTUDIOS INGLESES;119;35;29;88;23;26;31;12;39
FILOLOGIA CATALANA;45;12;27;32;8;25;13;4;31
FÍSICA;57;14;25;15;3;20;42;11;26
FUNDAMENTOS DE LA ARQUITECTURA;129;29;22;83;20;24;46;9;20
GASTRONOMÍA Y ARTES CULINARIAS;64;4;6;37;4;11;27;0;0
GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO;27;11;41;9;3;33;18;8;44
GEOLOGÍA;43;25;58;14;7;50;29;18;62
GESTIÓN Y ADMINISTRACIÓN PÚBLICA;26;6;23;13;3;23;13;3;23
HISTORIA;131;26;20;56;12;21;75;14;19
HUMANIDADES;28;8;29;18;5;28;10;3;30
INGENIERÍA BIOMÉDICA;65;8;12;36;5;14;29;3;10
INGENIERÍA CIVIL;66;14;21;21;3;14;45;11;24
INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN;71;22;31;21;5;24;50;17;34
INGENIERÍA INFORMÁTICA;223;45;20;29;4;14;194;41;21
INGENIERÍA MULTIMEDIA;96;15;16;14;3;21;82;12;15
INGENIERÍA QUÍMICA;55;6;11;26;1;4;29;5;17
INGENIERÍA ROBÓTICA;67;8;12;11;1;9;56;7;13
MAESTRO EN EDUCACIÓN INFANTIL;333;25;8;289;15;5;44;10;23
MAESTRO EN EDUCACIÓN PRIMARIA;428;31;7;283;20;7;145;11;8
MARKETING;80;23;29;52;10;19;28;13;46
MATEMÁTICAS;60;12;20;28;8;29;32;4;13
NUTRICIÓN HUMANA Y DIETÉTICA;109;33;30;84;28;33;25;5;20
ÓPTICA Y OPTOMETRÍA;69;19;28;51;15;29;18;4;22
PUBLICIDAD Y RELACIONES PÚBLICAS;251;25;10;190;14;7;61;11;18
QUÍMICA;64;21;33;32;13;41;32;8;25
RELACIONES INTERNACIONALES;71;12;17;57;10;18;14;2;14
RELACIONES LABORALES Y RECURSOS HUMANOS (UA);113;24;21;73;11;15;40;13;33
RELACIONES LABORALES Y RECURSOS HUMANOS (ELDA);9;1;11;6;0;0;3;1;33
SOCIOLOGÍA;44;17;39;30;12;40;14;5;36
TRABAJO SOCIAL;155;27;17;134;24;18;21;3;14
TRADUCCIÓN E INTERPRETACIÓN;165;26;16;142;21;15;23;5;22
TURISMO;187;68;36;108;38;35;79;30;38
DOBLE GRADO EN DERECHO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;107;26;24;62;11;18;45;15;33
DOBLE GRADO EN DERECHO Y CRIMINOLOGÍA;77;7;9;62;7;11;15;0;0
DOBLE GRADO EN DERECHO Y RELACIONES INTERNACIONALES;60;5;8;51;4;8;9;1;11
DOBLE GRADO EN INGENIERÍA INFORMÁTICA Y ADMINISTR. Y DIRECCIÓN DE EMPRESAS;58;15;26;17;5;29;41;10;24
DOBLE GRADO EN TURISMO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;100;53;53;63;31;49;37;22;59
