MÁSTERES;TOTAL - Alumnos nuevos  (n-2);TOTAL - Nuevos que abandonan (n y n-1);TOTAL - Tasa Abandono (%);MUJERES - Alumnos nuevos  (n-2);MUJERES - Nuevos que abandonan (n y n-1);MUJERES - Tasa Abandono (%);HOMBRES - Alumnos nuevos  (n-2);HOMBRES - Nuevos que abandonan (n y n-1);HOMBRES - Tasa Abandono (%)
ABOGACÍA Y PROCURA;135;3;2;88;1;1;47;2;4
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;33;4;12;19;1;5;14;3;21
ARQUEOLOGÍA PROFESIONAL Y GESTIÓN INTEGRAL DEL PATRIMONIO;17;0;0;8;0;0;9;0;0
ARQUITECTURA;48;2;4;26;1;4;22;1;5
AUTOMÁTICA Y ROBÓTICA;24;2;8;6;0;0;18;2;11
BIOMEDICINA;11;0;0;8;0;0;3;0;0
BIOTECNOLOGÍA PARA LA SALUD Y LA SOSTENIBILIDAD;8;1;13;6;1;17;2;0;0
CIBERSEGURIDAD;20;1;5;2;0;0;18;1;6
CIENCIA DE DATOS;21;3;14;3;1;33;18;2;11
CIENCIA DE MATERIALES;12;0;0;8;0;0;4;0;0
COMUNICACIÓN DIGITAL;21;1;5;15;0;0;6;1;17
COMUNICACIÓN E INDUSTRIAS CREATIVAS;24;0;0;19;0;0;5;0;0
CONSERVACIÓN DE LA BIODIVERSIDAD Y RESTAURACIÓN;12;0;0;7;0;0;5;0;0
COOPERACIÓN AL DESARROLLO (Interuniversitario);9;0;0;6;0;0;3;0;0
DERECHO AMBIENTAL Y DE LA SOSTENIBILIDAD;16;0;0;9;0;0;7;0;0
DERECHO DE DAÑOS;8;1;13;6;1;17;2;0;0
DESARROLLO DE APLICACIONES Y SERVICIOS WEB;11;2;18;1;0;0;10;2;20
DESARROLLO DE SOFTWARE PARA DISPOSITIVOS MÓVILES;10;2;20;1;0;0;9;2;22
DESARROLLO LOCAL E INNOVACIÓN TERRITORIAL;3;0;0;2;0;0;1;0;0
DIRECCIÓN Y PLANIFICACIÓN DEL TURISMO;20;1;5;14;1;7;6;0;0
ECONOMÍA APLICADA;12;6;50;2;1;50;10;5;50
ECONOMÍA CUANTITATIVA;5;0;0;0;0;n.c.;5;0;0
EMERGENCIAS Y CATÁSTROFES;27;0;0;19;0;0;8;0;0
ENVEJECIMIENTO ACTIVO Y SALUD;10;0;0;10;0;0;0;0;n.c.
ESPAÑOL E INGLÉS COMO SEGUNDAS LENGUAS/LENGUAS EXTRANJERAS;39;2;5;32;2;6;7;0;0
ESTUDIOS LITERARIOS;24;2;8;16;1;6;8;1;13
GESTIÓN ADMINISTRATIVA;16;2;13;8;1;13;8;1;13
GESTIÓN PESQUERA SOSTENIBLE;18;3;17;4;0;0;14;3;21
GESTIÓN SOSTENIBLE Y TECNOLOGÍAS DEL AGUA;16;1;6;10;1;10;6;0;0
HISTORIA DE LA CIENCIA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);7;0;0;5;0;0;2;0;0
HISTORIA DE LA EUROPA CONTEMPORÁNEA: IDENTIDADES E INTEGRACIÓN;10;2;20;2;0;0;8;2;25
HISTORIA DEL MUNDO MEDITERRÁNEO Y SUS REGIONES;9;1;11;3;1;33;6;0;0
HISTORIA E IDENTIDADES EN EL MEDITERRÁNEO OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitario);18;14;78;7;6;86;11;8;73
INGENIERÍA DE CAMINOS, CANALES Y PUERTOS;15;4;27;5;2;40;10;2;20
INGENIERÍA DE TELECOMUNICACIÓN;10;1;10;3;0;0;7;1;14
INGENIERÍA GEOLÓGICA;4;0;0;3;0;0;1;0;0
INGENIERÍA INFORMÁTICA;2;0;0;1;0;0;1;0;0
INGENIERÍA QUÍMICA;11;2;18;2;0;0;9;2;22
INGLÉS Y ESPAÑOL PARA FINES ESPECÍFICOS;20;2;10;16;1;6;4;1;25
INNOVACIÓN SOCIAL Y DINÁMICAS DE CAMBIO;10;0;0;6;0;0;4;0;0
INVESTIGACIÓN CRIMINAL Y CIENCIAS FORENSES;18;1;6;13;1;8;5;0;0
INVESTIGACIÓN EDUCATIVA;24;3;13;10;1;10;14;2;14
INVESTIGACIÓN EN CIENCIAS DE LA SALUD;9;1;11;5;0;0;4;1;25
NANOCIENCIA Y NANOTECNOLOGÍA MOLECULAR (Interuniversitario);1;0;0;1;0;0;0;0;n.c.
NUTRICIÓN Y ALIMENTACIÓN;14;2;14;12;2;17;2;0;0
OPTOMETRÍA AVANZADA Y SALUD VISUAL;3;1;33;2;0;0;1;1;100
PALEONTOLOGÍA APLICADA (Interuniversitario);12;10;83;3;3;100;9;7;78
PLANIFICACIÓN Y GESTIÓN DE RIESGOS NATURALES;15;1;7;4;0;0;11;1;9
PREVENCIÓN DE RIESGOS LABORALES;25;2;8;10;0;0;15;2;13
PROFESORADO DE EDUCACIÓN SECUNDARIA;481;22;5;287;10;3;194;12;6
QUÍMICA AMBIENTAL Y SOSTENIBLE;7;1;14;2;0;0;5;1;20
QUÍMICA MÉDICA;3;0;0;1;0;0;2;0;0
TRADUCCIÓN INSTITUCIONAL;55;5;9;50;5;10;5;0;0
TURISMO CULTURAL;8;2;25;5;1;20;3;1;33
