GRADOS;TOTAL - Créditos totales requeridos para titulación;TOTAL - Créditos matriculados egresados;TOTAL - Tasa de eficiencia;MUJERES - Créditos totales requeridos para titulación;MUJERES - Créditos matriculados egresados;MUJERES - Tasa de eficiencia;HOMBRES - Créditos totales requeridos para titulación;HOMBRES - Créditos matriculados egresados;HOMBRES - Tasa de eficiencia
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;51360;63098;81;23760;28860;82;27600;34238;81
ARQUITECTURA TÉCNICA;3840;5490;70;1200;1614;74;2640;3876;68
BIOLOGÍA;28800;32091;90;15600;17888;87;13200;14203;93
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;19680;20886;94;5520;5736;96;14160;15150;93
CIENCIAS DEL MAR;11760;13464;87;8880;10350;86;2880;3114;92
CRIMINOLOGÍA;42720;45642;94;34320;36813;93;8400;8829;95
DERECHO;80880;92932.5;87;52080;58732.5;89;28800;34200;84
ECONOMÍA;15840;17656;90;6960;7695;90;8880;9961;89
ENFERMERÍA;44880;46140;97;35040;35895;98;9840;10245;96
ESPAÑOL: LENGUA Y LITERATURAS;10320;10830;95;8400;8814;95;1920;2016;95
ESTUDIOS ÁRABES E ISLÁMICOS;1200;1266;95;720;750;96;480;516;93
ESTUDIOS FRANCESES;2640;3048;87;2400;2802;86;240;246;98
ESTUDIOS INGLESES;15120;17112;88;11040;12348;89;4080;4764;86
FILOLOGIA CATALANA;5760;6276;92;4320;4524;95;1440;1752;82
FÍSICA;10080;11518;88;2640;3018;87;7440;8500;88
FUNDAMENTOS DE LA ARQUITECTURA;13200;15828;83;7200;8484;85;6000;7344;82
GASTRONOMÍA Y ARTES CULINARIAS;11520;12066;95;5760;5928;97;5760;6138;94
GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO;3360;3690;91;1200;1326;90;2160;2364;91
GEOLOGÍA;4080;5097;80;1920;2250;85;2160;2847;76
GESTIÓN Y ADMINISTRACIÓN PÚBLICA;2640;2844;93;1200;1248;96;1440;1596;90
HISTORIA;17520;19369;90;6240;7021;89;11280;12348;91
HUMANIDADES;3600;3864;93;2400;2616;92;1200;1248;96
INGENIERÍA BIOMÉDICA;16080;18468;87;9840;11310;87;6240;7158;87
INGENIERÍA CIVIL;2880;3606;80;1200;1501.5;80;1680;2104.5;80
INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN;8160;10254;80;1680;1986;85;6480;8268;78
INGENIERÍA INFORMÁTICA;27120;32268;84;2880;3318;87;24240;28950;84
INGENIERÍA MULTIMEDIA;17040;19464;88;4800;5442;88;12240;14022;87
INGENIERÍA QUÍMICA;9120;10789;85;4080;4831;84;5040;5958;85
INGENIERÍA ROBÓTICA;7440;8772;85;1920;2220;86;5520;6552;84
MAESTRO EN EDUCACIÓN INFANTIL;67440;70848;95;62640;65706;95;4800;5142;93
MAESTRO EN EDUCACIÓN PRIMARIA;78000;83220;94;55680;58770;95;22320;24450;91
MARKETING;7440;8254;90;4800;5363;90;2640;2891;91
MATEMÁTICAS;12240;15312;80;4320;5610;77;7920;9702;82
NUTRICIÓN HUMANA Y DIETÉTICA;15360;15864;97;10560;10902;97;4800;4962;97
ÓPTICA Y OPTOMETRÍA;6000;6915;87;3840;4527;85;2160;2388;90
PUBLICIDAD Y RELACIONES PÚBLICAS;43440;45193;96;35520;36942;96;7920;8251;96
QUÍMICA;11520;14025;82;5280;6531;81;6240;7494;83
RELACIONES INTERNACIONALES;15600;16290;96;9360;9740;96;6240;6550;95
RELACIONES LABORALES Y RECURSOS HUMANOS  (UA);15840;18879;84;10800;12810;84;5040;6069;83
RELACIONES LABORALES Y RECURSOS HUMANOS (ELDA);1680;1851;91;1680;1851;91;0;0;n.c.
SOCIOLOGÍA;6240;6960;90;4080;4518;90;2160;2442;88
TRABAJO SOCIAL;29280;31520;93;25440;27308;93;3840;4212;91
TRADUCCIÓN E INTERPRETACIÓN;28560;30114;95;22800;23760;96;5760;6354;91
TURISMO;30000;34063;88;20400;22944;89;9600;11119;86
DOBLE GRADO EN DERECHO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;19890;22137;90;11700;13069.5;90;8190;9067.5;90
DOBLE GRADO EN DERECHO Y CRIMINOLOGÍA;24082.5;25227;95;19636.5;20650.5;95;4446;4576.5;97
DOBLE GRADO EN INGENIERÍA INFORMÁTICA Y ADMINISTR. Y DIRECCIÓN DE EMPRESAS;4992;5577;90;384;420;91;4608;5157;89
DOBLE GRADO EN TURISMO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;10248;11828;87;8052;9272;87;2196;2556;86
