MÁSTERES;TOTAL - Créditos totales requeridos para titulación;TOTAL - Créditos matriculados egresados;TOTAL - Tasa de eficiencia;MUJERES - Créditos totales requeridos para titulación;MUJERES - Créditos matriculados egresados;MUJERES - Tasa de eficiencia;HOMBRES - Créditos totales requeridos para titulación;HOMBRES - Créditos matriculados egresados;HOMBRES - Tasa de eficiencia
ABOGACÍA Y PROCURA;7470;7571;99;5130;5205;99;2340;2366;99
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;2220;2322.5;96;840;888.5;95;1380;1434;96
ARQUEOLOGÍA PROFESIONAL Y GESTIÓN INTEGRAL DEL PATRIMONIO;1260;1332;95;600;648;93;660;684;96
ARQUITECTURA;2640;3672;72;1560;2259;69;1080;1413;76
AUTOMÁTICA Y ROBÓTICA;1200;1290;93;360;387;93;840;903;93
BIOMEDICINA;540;555;97;180;180;100;360;375;96
BIOTECNOLOGÍA PARA LA SALUD Y LA SOSTENIBILIDAD;240;255;94;60;60;100;180;195;92
CÁLCULO Y MODELIZACIÓN CIENTÍFICA;180;180;100;60;60;100;120;120;100
CIBERSEGURIDAD;780;804;97;120;132;91;660;672;98
CIENCIA DE DATOS;1020;1032;99;300;306;98;720;726;99
CIENCIA DE MATERIALES;660;660;100;240;240;100;420;420;100
COMUNICACIÓN DIGITAL;1620;1674;97;1200;1236;97;420;438;96
COMUNICACIÓN E INDUSTRIAS CREATIVAS;2340;2436;96;1800;1878;96;540;558;97
CONSERVACIÓN DE LA BIODIVERSIDAD Y RESTAURACIÓN;1170;1199;98;630;659;96;540;540;100
COOPERACIÓN AL DESARROLLO (Interuniversitario);450;470;96;270;290;93;180;180;100
DERECHO AMBIENTAL Y DE LA SOSTENIBILIDAD;1440;1488;97;660;678;97;780;810;96
DERECHO DE DAÑOS;420;420;100;300;300;100;120;120;100
DESARROLLO DE APLICACIONES Y SERVICIOS WEB;420;420;100;60;60;100;360;360;100
DESARROLLO DE SOFTWARE PARA DISPOSITIVOS MÓVILES;540;684;79;60;60;100;480;624;77
DESARROLLO LOCAL E INNOVACIÓN TERRITORIAL;240;252;95;180;192;94;60;60;100
DIRECCIÓN Y PLANIFICACIÓN DEL TURISMO;1020;1068;96;660;690;96;360;378;95
ECONOMÍA APLICADA;240;260;92;240;260;92;;;0
ECONOMÍA CUANTITATIVA;840;858;98;120;120;100;720;738;98
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);120;120;100;60;60;100;60;60;100
EMERGENCIAS Y CATÁSTROFES;1620;1657;98;1440;1467;98;180;190;95
ENVEJECIMIENTO ACTIVO Y SALUD;600;600;100;300;300;100;300;300;100
ESPAÑOL E INGLÉS COMO SEGUNDAS LENGUAS/LENGUAS EXTRANJERAS;1980;2148;92;1560;1644;95;420;504;83
ESTUDIOS INGLESES AVANZADOS;780;780;100;600;600;100;180;180;100
ESTUDIOS LITERARIOS;1020;1035;99;660;675;98;360;360;100
GESTIÓN ADMINISTRATIVA;660;672;98;360;360;100;300;312;96
GESTIÓN SOSTENIBLE Y TECNOLOGÍAS DEL AGUA;660;680;97;480;490;98;180;190;95
HISTORIA DE LA CIENCIA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);480;540;89;360;420;86;120;120;100
HISTORIA DE LA EUROPA CONTEMPORÁNEA: IDENTIDADES E INTEGRACIÓN;180;192;94;;;0;180;192;94
HISTORIA DEL MUNDO MEDITERRÁNEO Y SUS REGIONES;720;732;98;300;300;100;420;432;97
HISTORIA E IDENTIDADES EN EL MEDITERRÁNEO OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitario);240;255;94;120;135;89;120;120;100
INGENIERÍA DE CAMINOS, CANALES Y PUERTOS;720;864;83;120;199.5;60;600;664.5;90
INGENIERÍA DE TELECOMUNICACIÓN;270;285;95;;;0;270;285;95
INGENIERÍA GEOLÓGICA;810;946.5;86;540;661.5;82;270;285;95
INGENIERÍA QUÍMICA;1620;1728;94;720;742.5;97;900;985.5;91
INGLÉS Y ESPAÑOL PARA FINES ESPECÍFICOS;600;600;100;480;480;100;120;120;100
INNOVACIÓN SOCIAL Y DINÁMICAS DE CAMBIO;600;624;96;360;372;97;240;252;95
INTELIGENCIA ARTIFICIAL;1440;1440;100;120;120;100;1320;1320;100
INVESTIGACIÓN CRIMINAL Y CIENCIAS FORENSES;840;852;99;660;666;99;180;186;97
INVESTIGACIÓN EDUCATIVA;1680;1791;94;960;1008;95;720;783;92
INVESTIGACIÓN EN CIENCIAS DE LA SALUD;540;552;98;420;432;97;120;120;100
NANOCIENCIA Y NANOTECNOLOGÍA MOLECULAR (Interuniversitario);60;60;100;;;0;60;60;100
NUTRICIÓN Y ALIMENTACIÓN;840;864;97;780;804;97;60;60;100
OPTOMETRÍA AVANZADA Y SALUD VISUAL;120;120;100;120;120;100;;;0
PLANIFICACIÓN Y GESTIÓN DE RIESGOS NATURALES;840;852;99;480;492;98;360;360;100
PREVENCIÓN DE RIESGOS LABORALES;1380;1444;96;720;772;93;660;672;98
PROFESORADO DE EDUCACIÓN SECUNDARIA;27180;27549;99;15480;15634;99;11700;11915;98
QUÍMICA AMBIENTAL Y SOSTENIBLE;480;480;100;240;240;100;240;240;100
QUÍMICA MÉDICA;300;303;99;180;183;98;120;120;100
TRADUCCIÓN INSTITUCIONAL;2460;2630;94;2100;2258;93;360;372;97
TURISMO CULTURAL;300;381;79;120;129;93;180;252;71
