GRADOS;Curso de ingreso;TOTAL - Alumnos iniciales;TOTAL - Titulados en tiempo previsto en plan de estudios (d)  o en (d+1);TOTAL - Tasa de graduación (%);MUJERES - Alumnos iniciales;MUJERES - Titulados en tiempo previsto en plan de estudios (d)  o en (d+1);MUJERES - Tasa de graduación (%);HOMBRES - Alumnos iniciales;HOMBRES - Titulados en tiempo previsto en plan de estudios (d)  o en (d+1);HOMBRES - Tasa de graduación (%)
ARQUITECTURA;2018;1;0;0;0;0;n.c.;1;0;0
FUNDAMENTOS DE LA ARQUITECTURA;2018;127;17;13;58;11;19;69;6;9
DOBLE GRADO EN DERECHO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;2018;102;38;37;50;21;42;52;17;33
DOBLE GRADO EN DERECHO Y CRIMINOLOGÍA;2018;78;58;74;64;47;73;14;11;79
DOBLE GRADO EN INGENIERÍA INFORMÁTICA Y ADMINISTR. Y DIRECCIÓN DE EMPRESAS;2018;53;13;25;7;2;29;46;11;24
DOBLE GRADO EN TURISMO Y ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;2018;93;17;18;54;14;26;39;3;8
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;2019;488;67;14;215;31;14;273;36;13
ARQUITECTURA TÉCNICA;2019;39;4;10;12;2;17;27;2;7
BIOLOGÍA;2019;161;101;63;94;62;66;67;39;58
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;2019;101;76;75;36;30;83;65;46;71
CIENCIAS DEL MAR;2019;56;33;59;34;24;71;22;9;41
CRIMINOLOGÍA;2019;304;163;54;212;125;59;92;38;41
DERECHO;2019;401;195;49;273;130;48;128;65;51
ECONOMÍA;2019;143;54;38;59;26;44;84;28;33
ENFERMERÍA;2019;213;175;82;171;142;83;42;33;79
ESPAÑOL: LENGUA Y LITERATURAS;2019;55;25;45;47;18;38;8;7;88
ESTUDIOS ÁRABES E ISLÁMICOS;2019;7;3;43;4;2;50;3;1;33
ESTUDIOS FRANCESES;2019;17;7;41;13;6;46;4;1;25
ESTUDIOS INGLESES;2019;110;43;39;77;35;45;33;8;24
FILOLOGIA CATALANA;2019;53;24;45;33;14;42;20;10;50
FÍSICA;2019;60;34;57;15;6;40;45;28;62
GASTRONOMÍA Y ARTES CULINARIAS;2019;55;26;47;19;8;42;36;18;50
GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO;2019;27;9;33;9;5;56;18;4;22
GEOLOGÍA;2019;35;10;29;19;7;37;16;3;19
GESTIÓN Y ADMINISTRACIÓN PÚBLICA;2019;23;7;30;15;3;20;8;4;50
HISTORIA;2019;134;52;39;46;17;37;88;35;40
HUMANIDADES;2019;27;10;37;13;4;31;14;6;43
INGENIERÍA BIOMÉDICA;2019;65;39;60;37;21;57;28;18;64
INGENIERÍA CIVIL;2019;55;4;7;14;2;14;41;2;5
INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN;2019;79;20;25;21;7;33;58;13;22
INGENIERÍA INFORMÁTICA;2019;239;66;28;25;4;16;214;62;29
INGENIERÍA MULTIMEDIA;2019;102;49;48;22;15;68;80;34;43
INGENIERÍA QUÍMICA;2019;67;26;39;31;16;52;36;10;28
INGENIERÍA ROBÓTICA;2019;64;33;52;16;9;56;48;24;50
MAESTRO EN EDUCACIÓN INFANTIL;2019;345;249;72;311;230;74;34;19;56
MAESTRO EN EDUCACIÓN PRIMARIA;2019;417;328;79;294;244;83;123;84;68
MARKETING;2019;75;35;47;42;27;64;33;8;24
MATEMÁTICAS;2019;62;29;47;25;14;56;37;15;41
NUTRICIÓN HUMANA Y DIETÉTICA;2019;172;129;75;126;97;77;46;32;70
ÓPTICA Y OPTOMETRÍA;2019;70;27;39;51;20;39;19;7;37
PUBLICIDAD Y RELACIONES PÚBLICAS;2019;233;152;65;179;121;68;54;31;57
QUÍMICA;2019;66;30;45;25;12;48;41;18;44
RELACIONES INTERNACIONALES;2019;76;58;76;54;43;80;22;15;68
RELACIONES LABORALES Y RECURSOS HUMANOS  (UA);2019;115;42;37;68;25;37;47;17;36
RELACIONES LABORALES Y RECURSOS HUMANOS (ELDA);2019;12;3;25;7;3;43;5;0;0
SOCIOLOGÍA;2019;59;22;37;32;14;44;27;8;30
TRABAJO SOCIAL;2019;161;110;68;135;96;71;26;14;54
TRADUCCIÓN E INTERPRETACIÓN;2019;153;108;71;116;87;75;37;21;57
TURISMO;2019;212;83;39;138;60;43;74;23;31
