MÁSTERES;Curso de ingreso;TOTAL - Alumnos iniciales;TOTAL - Titulados en tiempo previsto en plan de estudios (d)  o en (d+1);TOTAL - Tasa de graduación (%);MUJERES - Alumnos iniciales;MUJERES - Titulados en tiempo previsto en plan de estudios (d)  o en (d+1);MUJERES - Tasa de graduación (%);HOMBRES - Alumnos iniciales;HOMBRES - Titulados en tiempo previsto en plan de estudios (d)  o en (d+1);HOMBRES - Tasa de graduación (%)
ABOGACÍA Y PROCURA;2021;135;127;94;88;82;93;47;45;96
CONSERVACIÓN DE LA BIODIVERSIDAD Y RESTAURACIÓN;2021;12;11;92;7;7;100;5;4;80
COOPERACIÓN AL DESARROLLO (Interuniversitario);2021;8;6;75;5;3;60;3;3;100
ECONOMÍA CUANTITATIVA;2021;5;5;100;0;0;n.c.;5;5;100
GESTIÓN PESQUERA SOSTENIBLE;2021;18;14;78;4;4;100;14;10;71
INGENIERÍA DE CAMINOS, CANALES Y PUERTOS;2021;15;2;13;5;0;0;10;2;20
INGENIERÍA DE TELECOMUNICACIÓN;2021;10;5;50;3;2;67;7;3;43
INGENIERÍA GEOLÓGICA;2021;4;4;100;3;3;100;1;1;100
INGENIERÍA INFORMÁTICA;2021;2;0;0;1;0;0;1;0;0
INGENIERÍA QUÍMICA;2021;11;8;73;2;2;100;9;6;67
ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;2022;36;29;81;18;16;89;18;13;72
ARQUEOLOGÍA PROFESIONAL Y GESTIÓN INTEGRAL DEL PATRIMONIO;2022;22;18;82;13;10;77;9;8;89
ARQUITECTURA;2022;66;51;77;35;30;86;31;21;68
AUTOMÁTICA Y ROBÓTICA;2022;18;13;72;4;4;100;14;9;64
BIOMEDICINA;2022;14;11;79;8;7;88;6;4;67
BIOTECNOLOGÍA PARA LA SALUD Y LA SOSTENIBILIDAD;2022;5;5;100;4;4;100;1;1;100
CIBERSEGURIDAD;2022;11;9;82;2;2;100;9;7;78
CIENCIA DE DATOS;2022;21;19;90;5;4;80;16;15;94
CIENCIA DE MATERIALES;2022;6;5;83;4;3;75;2;2;100
COMUNICACIÓN DIGITAL;2022;32;24;75;19;14;74;13;10;77
COMUNICACIÓN E INDUSTRIAS CREATIVAS;2022;25;20;80;18;14;78;7;6;86
DERECHO AMBIENTAL Y DE LA SOSTENIBILIDAD;2022;35;28;80;15;13;87;20;15;75
DERECHO DE DAÑOS;2022;10;8;80;3;3;100;7;5;71
DESARROLLO DE APLICACIONES Y SERVICIOS WEB;2022;9;8;89;0;0;n.c.;9;8;89
DESARROLLO DE SOFTWARE PARA DISPOSITIVOS MÓVILES;2022;9;8;89;0;0;n.c.;9;8;89
DESARROLLO LOCAL E INNOVACIÓN TERRITORIAL;2022;8;5;63;6;3;50;2;2;100
DIRECCIÓN Y PLANIFICACIÓN DEL TURISMO;2022;19;10;53;12;7;58;7;3;43
ECONOMÍA APLICADA;2022;7;6;86;4;3;75;3;3;100
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);2022;19;3;16;1;0;0;18;3;17
EMERGENCIAS Y CATÁSTROFES;2022;30;30;100;21;21;100;9;9;100
ENVEJECIMIENTO ACTIVO Y SALUD;2022;9;9;100;6;6;100;3;3;100
ESPAÑOL E INGLÉS COMO SEGUNDAS LENGUAS/LENGUAS EXTRANJERAS;2022;30;23;77;24;20;83;6;3;50
ESTUDIOS LITERARIOS;2022;15;13;87;10;8;80;5;5;100
GESTIÓN ADMINISTRATIVA;2022;12;3;25;9;1;11;3;2;67
GESTIÓN SOSTENIBLE Y TECNOLOGÍAS DEL AGUA;2022;19;14;74;6;5;83;13;9;69
HISTORIA DE LA CIENCIA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);2022;3;3;100;2;2;100;1;1;100
HISTORIA DE LA EUROPA CONTEMPORÁNEA: IDENTIDADES E INTEGRACIÓN;2022;10;7;70;4;2;50;6;5;83
HISTORIA DEL MUNDO MEDITERRÁNEO Y SUS REGIONES;2022;7;3;43;4;1;25;3;2;67
HISTORIA E IDENTIDADES EN EL MEDITERRÁNEO OCCIDENTAL (SIGLOS XV-XIX) (Interuniversitario);2022;7;1;14;2;1;50;5;0;0
INGLÉS Y ESPAÑOL PARA FINES ESPECÍFICOS;2022;16;11;69;11;7;64;5;4;80
INNOVACIÓN SOCIAL Y DINÁMICAS DE CAMBIO;2022;14;7;50;7;3;43;7;4;57
INVESTIGACIÓN CRIMINAL Y CIENCIAS FORENSES;2022;21;20;95;14;14;100;7;6;86
INVESTIGACIÓN EDUCATIVA;2022;44;43;98;29;28;97;15;15;100
INVESTIGACIÓN EN CIENCIAS DE LA SALUD;2022;9;4;44;7;2;29;2;2;100
NANOCIENCIA Y NANOTECNOLOGÍA MOLECULAR (Interuniversitario);2022;3;3;100;1;1;100;2;2;100
NUTRICIÓN Y ALIMENTACIÓN;2022;16;12;75;16;12;75;0;0;n.c.
OPTOMETRÍA AVANZADA Y SALUD VISUAL;2022;2;1;50;2;1;50;0;0;n.c.
PALEONTOLOGÍA APLICADA (Interuniversitario);2022;7;0;0;1;0;0;6;0;0
PLANIFICACIÓN Y GESTIÓN DE RIESGOS NATURALES;2022;13;12;92;7;6;86;6;6;100
PREVENCIÓN DE RIESGOS LABORALES;2022;26;20;77;13;11;85;13;9;69
PROFESORADO DE EDUCACIÓN SECUNDARIA;2022;494;465;94;296;279;94;198;186;94
QUÍMICA AMBIENTAL Y SOSTENIBLE;2022;14;14;100;9;9;100;5;5;100
QUÍMICA MÉDICA;2022;6;5;83;3;3;100;3;2;67
TRADUCCIÓN INSTITUCIONAL;2022;53;31;58;47;28;60;6;3;50
TURISMO CULTURAL;2022;8;5;63;8;5;63;0;0;n.c.
