Puesto;Total;Mujeres;Hombres
Total ;1500;885;615
ADMINISTRADOR/A ADJUNTO/A;4;2;2
ADMINISTRADOR/A DE BASES DE DATOS;1;0;1
ADMINISTRADOR/A DE CENTRO;10;5;5
ANALISTA DE SISTEMAS Y APLICACIONES;15;2;13
AUXILIAR DE SERVICIOS;113;73;40
AUXILIAR DE SERVICIOS BIBLIOGRAFICOS;2;2;0
CONDUCTOR/A;4;0;4
COORDINADOR/A ASESOR/A DE RRHH Y ORGANIZACION;1;1;0
COORDINADOR/A DE SERVICIOS;21;11;10
COORDINADOR/A DEL SERVICIO DE CONDUCTORES;2;0;2
COORDINADOR/A GENERAL DE CONSERJERIAS;1;0;1
COORDINADOR/A RECTORADO;1;1;0
DIRECTOR/A ADJUNTO/A DE SERVICIO;7;3;4
DIRECTOR/A DE SERVICIO;23;11;12
ENFERMERO/A;3;2;1
ESPECIALISTA TECNICO/A;226;105;121
GERENTE;1;0;1
GERENTE DE FUNDACION;1;0;1
GESTOR/A;483;347;136
GESTOR/A JEFE;121;89;32
GESTOR/A JEFE DEPARTAMENTO/INSTITUTO;70;42;28
JEFE/A DE AREA;1;1;0
JEFE/A DE DIVISION;4;1;3
JEFE/A DE IMPRENTA;1;0;1
JEFE/A DE OPERACION;6;3;3
JEFE/A DE UNIDAD TECNICA;2;0;2
MEDICO/A;2;2;0
OFICIAL;13;7;6
PROGRAMADOR/A;36;8;28
SECRETARIA/O DE CARGO;39;29;10
SUBDIRECTOR/A DE SERVICIO;57;35;22
TECNICO/A;114;53;61
TECNICO/A - LETRADO/A;2;2;0
TECNICO/A DE APOYO EN BIBLIOTECA;32;16;16
TECNICO/A DE OBRAS E INFRAESTRUCTURAS;1;0;1
TECNICO/A INFORMATICO/A;37;12;25
TECNICO/A SUPERIOR;40;19;21
VICEGERENTE;3;1;2
