ÁREA DE FORMACIÓN (HORAS);Horas de formación realizadas/impartidas - TOTAL;Horas de formación realizadas/impartidas - MUJERES;Horas de formación realizadas/impartidas - HOMBRES
CALIDAD;440;240;200
FORMACIÓN ESPECIALIZADA;4246.95;2325.8;1921.15
HABILIDADES INTERPERSONALES Y SOCIALES;219;145;74
IGUALDAD Y ATENCIÓN A LA DIVERSIDAD;4329;3401;928
INVESTIGACIÓN Y TRANSFERENCIA;418.15;226.65;191.5
LINGÜÍSTICA / IDIOMAS;16345;11028;5317
METODOLOGÍA DOCENTE E INNOVACIÓN;972;614.5;357.5
PLANIFICACIÓN, ADMINISTRACIÓN Y GESTIÓN;34;20;14
SEGURIDAD, SALUD Y MEDIO AMBIENTE;16666.1;11179.1;5487
TECNOLOGÍA Y COMUNICACION DIGITAL;1038;656;382
TUTORIZACIÓN A ESTUDIANTES;16283;10013;6270
OTROS CURSOS;275;170;105
