ÁREA DE FORMACIÓN (NÚMERO PTGAS);Núm. PTGAS que ha realizado/impartido cursos de formación - TOTAL;Núm. PTGAS que ha realizado/impartido cursos de formación - MUJERES;Núm. PTGAS que ha realizado/impartido cursos de formación - HOMBRES
CALIDAD;114;80;34
FORMACIÓN ESPECIALIZADA;540;293;247
HABILIDADES INTERPERSONALES Y SOCIALES;24;15;9
IGUALDAD Y ATENCIÓN A LA DIVERSIDAD;154;116;38
INVESTIGACIÓN Y TRANSFERENCIA;91;52;39
LINGÜÍSTICA / IDIOMAS;398;267;131
METODOLOGÍA DOCENTE E INNOVACIÓN;67;38;29
PLANIFICACIÓN, ADMINISTRACIÓN Y GESTIÓN;1184;818;366
SEGURIDAD, SALUD Y MEDIO AMBIENTE;172;104;68
TECNOLOGÍA Y COMUNICACION DIGITAL;1371;863;508
TUTORIZACIÓN A ESTUDIANTES;41;25;16
OTROS CURSOS;11;5;6
