ADMINISTRACIÓN ESPECIAL: ITINERARIOS;Total;Mujeres;Hombres
Total ;681;318;363
Archivos;3;3;0
Arquitectura;5;4;1
Bibliotecas;89;54;35
Calidad;7;1;6
Comunicación;15;8;7
Conserjería y Apoyo;132;84;48
Cultura;6;2;4
Deportes;6;1;5
Digitalización;25;19;6
Electrónica y Tecnología Audiovisual;7;0;7
Escalas grupos funcionariales plazas;14;6;8
Gastronomía y Artes Culinarias;3;1;2
Gestión de la Investigación;33;22;11
Gestión Medioambiental;1;1;0
Igualdad e Integración Social;2;1;1
Informática;17;1;16
Infraestructuras;4;0;4
Infraestructuras y Seguridad en Tecnolog.;45;5;40
Ingeniería del Software;44;13;31
Ingeniería Industrial;1;1;0
Innovación;2;1;1
Instrumentación e Infraestructuras Cient.;54;22;32
Laboratorios de Ciencias Sociales y Huma;13;5;8
Laboratorios de Ciencias y Tecnológicos;92;36;56
Lenguas;26;11;15
Mantenimiento y Oficios;3;1;2
Oficios Agrícolas y Forestales;1;0;1
Orientación e Intervención Psicosocial;10;6;4
Prevención y Salud;11;5;6
Producción Editorial;8;2;6
Seguridad en el Campus;1;1;0
Veterinaria;1;1;0
