CATEGORÍA;Total - Nº;Total - %;Mujeres - Nº;Mujeres - %;Hombres - Nº;Hombres - %
AYUDANTE LOU;29;1.1;12;1.1;17;1.1
CATEDRATICO/A DE ESCUELA UNIVERSITARIA;9;0.3;5;0.5;4;0.3
CATEDRATICO/A DE UNIVERSIDAD;341;13.2;106;9.9;235;15.4
INVESTIGADOR/A DOCTOR/A;1;0;0;0;1;0.1
PROFESOR/A ASOCIADO/A;235;9.1;88;8.3;147;9.7
PROFESOR/A ASOCIADO/A LOU;892;34.5;377;35.4;515;33.8
PROFESOR/A AYUDANTE DOCTOR/A;205;7.9;105;9.8;100;6.6
PROFESOR/A COLABORADOR/A;20;0.8;8;0.8;12;0.8
PROFESOR/A CONTRATADO/A DOCTOR/A;29;1.1;15;1.4;14;0.9
PROFESOR/A EMERITO/A;6;0.2;0;0;6;0.4
PROFESOR/A EMERITO/A LOU;7;0.3;0;0;7;0.5
PROFESOR/A PERMANENTE LABORAL;127;4.9;68;6.4;59;3.9
PROFESOR/A SUSTITUTO/A;32;1.2;13;1.2;19;1.2
PROFESOR/A TITULAR DE UNIVERSIDAD;615;23.8;255;23.9;360;23.7
PROFESOR/A TITULAR ESCUELA UNIVERSITARIA;39;1.5;13;1.2;26;1.7
PROFESOR/A VISITANTE;1;0;1;0.1;0;0
