Departamento/Instituto;Total;Mujeres;Hombres
ANAL. GEOGRAF. REGIONAL Y GEOGRAFIA FISI;31;10;21
ANALISIS ECONOMICO APLICADO;55;22;33
BIOQUIMICA Y BIOLOGIA MOLECULAR Y EDAFOL;22;13;9
BIOTECNOLOGIA;19;11;8
CC. AMBIENTALES Y RECURSOS NATURALES;24;9;15
CIENCIA DE LA COMPUTACION E INT. ARTIF.;73;16;57
CIENCIAS DE LA TIERRA Y DEL MEDIO AMBIE.;28;5;23
CIENCIAS DEL MAR Y BIOLOGIA APLICADA;24;5;19
CIENCIAS HISTORICO-JURIDICAS;14;9;5
COMUNICACION Y PSICOLOGIA SOCIAL;85;51;34
CONSTRUCCIONES ARQUITECTONICAS;16;5;11
DCHO. INTERNACIONAL PUBLICO Y DCHO.PENAL;49;23;26
DERECHO CIVIL;33;18;15
DERECHO DEL TRABAJO Y DE LA SEG. SOCIAL;33;14;19
DERECHO MERCANTIL Y DERECHO PROCESAL;56;28;28
DIDACTICA GENERAL Y DIDACTICAS ESPECIFIC;135;61;74
DISCIPLINAS ECONOMICAS Y FINANCIERAS;20;10;10
ECOLOGIA;21;1;20
ECONOMIA APLICADA Y POLITICA ECONOMICA;19;8;11
ECONOMIA FINANCIERA Y CONTABILIDAD;55;25;30
EDIFICACION Y URBANISMO;21;9;12
ENF COM, MED PREV Y SAL PUB E HIS CIEN;51;26;25
ENFERMERIA;97;63;34
ESTUDIOS JURIDICOS DEL ESTADO;64;25;39
EXPRESION GRAFICA, COMPOSICION Y PROYECT;51;13;38
FILOLOGIA CATALANA;56;19;37
FILOLOGIA ESPAÑOLA, LINGUISTICA GENERAL;61;32;29
FILOLOGÍA INGLESA;58;39;19
FILOLOGIAS INTEGRADAS;55;39;16
FILOSOFIA DEL DERECHO Y DERECHO INTERN.;23;7;16
FISICA APLICADA;23;4;19
FISICA, INGENIERIA DE SISTEMAS Y TEORIA;88;8;80
FISIOLOGIA, GENETICA Y MICROBIOLOGIA;42;19;23
FUNDAMENTOS DEL ANALISIS ECONOMICO;74;23;51
GEOGRAFIA HUMANA;19;4;15
HIST. MEDIEVAL, HIST. MODERNA Y CIENCIAS;23;8;15
HUMANIDADES CONTEMPORANEAS;33;17;16
INGENIERIA CIVIL;71;9;62
INGENIERIA QUIMICA;35;16;19
INNOVACION Y FORMACION DIDACTICA;65;28;37
LENGUAJES Y SISTEMAS INFORMATICOS;99;21;78
MARKETING;38;19;19
MATEMATICA APLICADA;26;9;17
MATEMATICAS;44;12;32
OPTICA, FARMACOLOGIA Y ANATOMIA;48;29;19
ORGANIZACION DE EMPRESAS;59;19;40
PREHIST.,ARQ,H.ANTIGUA,FIL.GR Y FIL.LAT.;33;11;22
PSICOLOGIA DE LA SALUD;49;30;19
PSICOLOGIA EVOLUTIVA Y DIDACTICA;70;44;26
QUIMICA ANALITICA, NUTRICION Y BROMATOLO;33;19;14
QUIMICA FISICA;18;3;15
QUIMICA INORGANICA;20;9;11
QUIMICA ORGANICA;15;3;12
SOCIOLOGIA I;42;16;26
SOCIOLOGIA II;28;9;19
TECNOLOGIA INFORMATICA Y COMPUTACION;66;7;59
TRABAJO SOCIAL Y SERVICIOS SOCIALES;33;22;11
TRADUCCION E INTERPRETACION;45;32;13
