ÁREA DE FORMACIÓN (HORAS);Horas de formación realizadas/impartidas - TOTAL;Horas de formación realizadas/impartidas - MUJERES;Horas de formación realizadas/impartidas - HOMBRES
CALIDAD;30;10;20
FORMACIÓN ESPECIALIZADA;1101;441;660
HABILIDADES INTERPERSONALES Y SOCIALES;292;232;60
IGUALDAD Y ATENCIÓN A LA DIVERSIDAD;2178;1187;991
INVESTIGACIÓN Y TRANSFERENCIA;2609;1413.5;1195.5
LINGÜÍSTICA / IDIOMAS;6708;3864;2844
METODOLOGÍA DOCENTE E INNOVACIÓN;3608;1756;1852
PLANIFICACIÓN, ADMINISTRACIÓN Y GESTIÓN;1936;1056;880
SEGURIDAD, SALUD Y MEDIO AMBIENTE;242;106;136
TECNOLOGÍA Y COMUNICACIÓN DIGITAL;5048.5;2765;2283.5
TUTORIZACIÓN A ESTUDIANTES;1680;980;700
