ÁREA DE FORMACIÓN (NÚMERO PDI);Núm. PDI que ha realizado/impartido cursos de formación - TOTAL;Núm. PDI que ha realizado/impartido cursos de formación - MUJERES;Núm. PDI que ha realizado/impartido cursos de formación - HOMBRES
CALIDAD;3;1;2
FORMACIÓN ESPECIALIZADA;96;36;60
HABILIDADES INTERPERSONALES Y SOCIALES;35;26;9
IGUALDAD Y ATENCIÓN A LA DIVERSIDAD;210;109;101
INVESTIGACIÓN Y TRANSFERENCIA;317;164;153
LINGÜÍSTICA / IDIOMAS;187;95;92
METODOLOGÍA DOCENTE E INNOVACIÓN;280;139;141
PLANIFICACIÓN, ADMINISTRACIÓN Y GESTIÓN;205;100;105
SEGURIDAD, SALUD Y MEDIO AMBIENTE;34;17;17
TECNOLOGÍA Y COMUNICACIÓN DIGITAL;613;341;272
TUTORIZACIÓN A ESTUDIANTES;213;128;85
