Personal de investigación (I-PI): ÁREA DE FORMACIÓN (HORAS);Horas de formación realizadas/impartidas - TOTAL;Horas de formación realizadas/impartidas - MUJERES;Horas de formación realizadas/impartidas - HOMBRES
FORMACIÓN ESPECIALIZADA;580;388;192
HABILIDADES INTERPERSONALES Y SOCIALES;5;5;0
IGUALDAD Y ATENCIÓN A LA DIVERSIDAD;294;101;193
INVESTIGACIÓN Y TRANSFERENCIA;586;443.5;142.5
LINGÜÍSTICA / IDIOMAS;2668;1272;1396
METODOLOGÍA DOCENTE E INNOVACIÓN;515;312;203
PLANIFICACIÓN, ADMINISTRACIÓN Y GESTIÓN;185;103;82
SEGURIDAD, SALUD Y MEDIO AMBIENTE;16;8;8
TECNOLOGÍA Y COMUNICACIÓN DIGITAL;1180.5;560.5;620
TUTORIZACIÓN A ESTUDIANTES;90;50;40
