Personal de investigación (I-PI): ÁREA DE FORMACIÓN (NÚMERO I-PI);Núm. I-PI que ha realizado/impartido cursos de formación - TOTAL;Núm. I-PI que ha realizado/impartido cursos de formación - MUJERES;Núm. I-PI que ha realizado/impartido cursos de formación - HOMBRES
FORMACIÓN ESPECIALIZADA;79;57;22
HABILIDADES INTERPERSONALES Y SOCIALES;1;1;0
IGUALDAD Y ATENCIÓN A LA DIVERSIDAD;25;15;10
INVESTIGACIÓN Y TRANSFERENCIA;46;36;10
LINGÜÍSTICA / IDIOMAS;77;50;27
METODOLOGÍA DOCENTE E INNOVACIÓN;35;22;13
PLANIFICACIÓN, ADMINISTRACIÓN Y GESTIÓN;47;23;24
SEGURIDAD, SALUD Y MEDIO AMBIENTE;8;4;4
TECNOLOGÍA Y COMUNICACIÓN DIGITAL;103;47;56
TUTORIZACIÓN A ESTUDIANTES;11;6;5
