Personal Técnico, de Gestión y de Apoyo a la Investigación (I-PTGAS): ÁREA DE FORMACIÓN (HORAS);Horas de formación realizadas/impartidas - TOTAL;Horas de formación realizadas/impartidas - MUJERES;Horas de formación realizadas/impartidas - HOMBRES
FORMACIÓN ESPECIALIZADA;193.5;143.5;50
HABILIDADES INTERPERSONALES Y SOCIALES;10;10;0
IGUALDAD Y ATENCIÓN A LA DIVERSIDAD;92;86;6
INVESTIGACIÓN Y TRANSFERENCIA;21;21;0
LINGÜÍSTICA / IDIOMAS;980;650;330
METODOLOGÍA DOCENTE E INNOVACIÓN;128;100;28
PLANIFICACIÓN, ADMINISTRACIÓN Y GESTIÓN;306;189;117
SEGURIDAD, SALUD Y MEDIO AMBIENTE;82;56;26
TECNOLOGÍA Y COMUNICACIÓN DIGITAL;616;391;225
TUTORIZACIÓN A ESTUDIANTES;5;5;0
