Personal Técnico, de Gestión y de Apoyo a la Investigación (I-PTGAS): ÁREA DE FORMACIÓN (NÚMERO I-PTGAS);Núm. I-PTGAS que ha realizado/impartido cursos de formación - TOTAL;Núm. I-PTGAS que ha realizado/impartido cursos de formación - MUJERES;Núm. I-PTGAS que ha realizado/impartido cursos de formación - HOMBRES
FORMACIÓN ESPECIALIZADA;35;26;9
HABILIDADES INTERPERSONALES Y SOCIALES;2;2;0
IGUALDAD Y ATENCIÓN A LA DIVERSIDAD;5;4;1
INVESTIGACIÓN Y TRANSFERENCIA;3;3;0
LINGÜÍSTICA / IDIOMAS;29;18;11
METODOLOGÍA DOCENTE E INNOVACIÓN;9;7;2
PLANIFICACIÓN, ADMINISTRACIÓN Y GESTIÓN;34;22;12
SEGURIDAD, SALUD Y MEDIO AMBIENTE;17;12;5
TECNOLOGÍA Y COMUNICACIÓN DIGITAL;55;33;22
TUTORIZACIÓN A ESTUDIANTES;1;1;0
