A. Operaciones corrientes;Importe (euros)
3 Tasas, Precios Públicos y Otros Ingresos;38972040.22
30 Tasas;1699225.69
31 Precios públicos;30705931.25
312 Derechos de matrícula enseñanza oficial de Grado;20201354.38
312.00 Matrícula de 1-2 ciclo y Grado: Del usuario;13031872.7
312.01 Derechos correspondientes a centros adscritos;0
312.02 Derechos compensados por el M.E.;6428949.33
313 Derechos de matrícula enseñanza oficial de Máster;1704053.31
314 Derechos de matricula enseñanza oficial de Doctorado;490754.1
315 Derechos de matricula enseñanzas propias (1);2345198.24
316 Derechos de matricula de Formación Continua (2);174196.7
319 Derechos de matricula de otras enseñanzas (3);5790374.52
32 Prestación de servicios;3610120.65
323 Contratos de servicios de investigación (Art 60 LOSU);3535774.99
325 Servicios de Alojamiento en Colegios Mayores, Residencia y Apartamentos Universitarios;0
4 Transferencias Corrientes;205826017.7
40 De la Administración General del Estado;170150
41 De Organismos Autónomos Administrativos;2235249.84
45 De Comunidades Autónomas;201303384.22
450 De la Consejería con competencia en Universidades;199886145.49
47 De empresas privadas;593205.94
48 De familias e instituciones sin fines de lucro;1031239.78
49 Del exterior;-11725
5 Ingresos Patrimoniales;1990262.79
52 Intereses de depósitos;969320.36
54 Rentas de bienes inmuebles;245765.43
55 Productos de concesiones;564776.67
59 Otros ingresos patrimoniales;210400.33
