B. Operaciones de capital;Importe (euros)
6 Enajenación de Inversiones Reales;0
7 Transferencias de Capital;30645705.67
70 De la Administración General del Estado;4277759.73
71 De Organismos Autónomos Administrativos;8974974.97
75 De Comunidades Autónomas;10106130.42
750 De la Consejería con competencia en Universidades;10106130.42
750.00 Ayudas a la investigación;0
750.01 Proyectos y grupos de investigación;0
77 De empresas privadas;212119
78 De familias e instituciones sin fines de lucro;705019.25
79 Del exterior;5710195.76
