A. Operaciones corrientes;Importe (euros)
1 Gastos de Personal;173889799.51
12 Funcionarios;121826139.19
13 Laborales;9134842.06
14 Otro personal;16788974.94
15 Incentivos al rendimiento;595837.28
16 Cuotas, prestaciones y gastos sociales;25544006.04
2 Gastos Corrientes en Bienes y Servicios;34619408.43
20 Arrendamientos y cánones;492674.34
21 Reparaciones, mantenimiento y conservación;2151295.34
22 Material, suministros y otros;30358019.15
221 Suministros;6027316.11
226 Gastos diversos;7299754.17
227 Trabajos realizados por otras empresas;12528777.36
23 Indemnizaciones por razón del servicio;1364883.91
24 Gastos de publicaciones;252535.69
3 Gastos Financieros;37473.87
31 De préstamos del interior;37473.87
4 Transferencias Corrientes;11628669.6
48 A familias e instituciones sin fines de lucro;11628669.6
480 Becas y ayudas propias a estudiantes;9854952.72
481 Becas y ayudas a estudiantes con financiación externa;0
485 Becas y ayudas propias al PDI;0
486 Becas y ayudas propias al PTGAS;0
