PROGRAMAS DE DOCTORADO;TOTAL - Abandonos;TOTAL - Estudiantes nuevos;TOTAL - Tasa Abandono  (%);MUJERES - Abandonos;MUJERES - Estudiantes nuevos;MUJERES - Tasa Abandono  (%);HOMBRES - Abandonos;HOMBRES - Estudiantes nuevos;HOMBRES - Tasa Abandono  (%)
AGUA Y DESARROLLO SOSTENIBLE;2;3;66.67;0;0;n.c.;2;3;66.67
BIODIVERSIDAD Y CONSERVACIÓN;0;2;0;0;1;0;0;1;0
BIOLOGÍA EXPERIMENTAL Y APLICADA;0;7;0;0;4;0;0;3;0
CIENCIA DE MATERIALES;1;15;6.67;1;11;9.09;0;4;0
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;0;0;n.c.;0;0;n.c.;0;0;n.c.
CIENCIAS DE LA SALUD;8;39;20.51;6;22;27.27;2;17;11.76
CIENCIAS DEL MAR Y BIOLOGÍA APLICADA;1;6;16.67;1;5;20;0;1;0
CIENCIAS EXPERIMENTALES Y BIOSANITARIAS;1;11;9.09;0;7;0;1;4;25
CONSERVACIÓN Y RESTAURACIÓN DE ECOSISTEMAS;1;4;25;1;2;50;0;2;0
DERECHO;8;34;23.53;2;12;16.67;6;22;27.27
ECONOMÍA;0;4;0;0;1;0;0;3;0
ECONOMÍA (Interuniversitario);0;0;n.c.;0;0;n.c.;0;0;n.c.
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);0;2;0;0;2;0;0;0;n.c.
EMPRESA, ECONOMÍA Y SOCIEDAD;3;22;13.64;0;7;0;3;15;20
ESTUDIOS HISTÓRICOS Y SOCIALES SOBRE CIENCIA, MEDICINA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);0;0;n.c.;0;0;n.c.;0;0;n.c.
ESTUDIOS INTERDISCIPLINARES DE GÉNERO (Interuniversitario);0;5;0;0;4;0;0;1;0
FILOSOFÍA (Interuniversitario);0;0;n.c.;0;0;n.c.;0;0;n.c.
FILOSOFÍA Y LETRAS;8;51;15.69;6;26;23.08;2;25;8
FÍSICA APLICADA A LAS CIENCIAS Y LAS TECNOLOGÍAS;1;5;20;0;3;0;1;2;50
HUMANIDADES Y ESTUDIOS SOCIALES DE AMÉRICA LATINA;1;10;10;0;1;0;1;9;11.11
INFORMÁTICA;2;18;11.11;0;4;0;2;14;14.29
INGENIERÍA DE MATERIALES, ESTRUCTURAS Y TERRENO: CONSTRUCCIÓN SOSTENIBLE;0;11;0;0;5;0;0;6;0
INGENIERÍA QUÍMICA;0;8;0;0;4;0;0;4;0
INVESTIGACIÓN EDUCATIVA;6;20;30;4;13;30.77;2;7;28.57
MÉTODOS MATEMÁTICOS Y MODELIZACIÓN EN CIENCIAS E INGENIERÍA;0;16;0;0;7;0;0;9;0
NANOCIENCIA Y NANOTECNOLOGÍA (Interuniversitario);0;0;n.c.;0;0;n.c.;0;0;n.c.
SÍNTESIS ORGÁNICA;1;7;14.29;0;4;0;1;3;33.33
TECNOLOGÍA EDUCATIVA APLICADA AL CONOCIMIENTO;0;0;n.c.;0;0;n.c.;0;0;n.c.
TRADUCTOLOGÍA, TRADUCCIÓN PROFESIONAL Y AUDIOVISUAL (Interuniversitario);16;21;76.19;8;13;61.54;8;8;100
TRANSFERENCIAS INTERCULTURALES E HISTÓRICAS EN LA EUROPA MEDIEVAL MEDITERRÁNEA;1;9;11.11;1;4;25;0;5;0
TURISMO (Interuniversitario);3;10;30;1;4;25;2;6;33.33
