PROGRAMAS DE DOCTORADO;Nº Plazas demandadas;Nº Plazas ofertadas;Tasa de oferta y demanda (%)
AGUA Y DESARROLLO SOSTENIBLE;20;5;400
BIODIVERSIDAD Y CONSERVACIÓN;9;10;90
BIOLOGÍA EXPERIMENTAL Y APLICADA;10;20;50
CIENCIA DE MATERIALES;21;20;105
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;16;6;266.67
CIENCIAS DE LA SALUD;87;40;217.5
CIENCIAS DEL MAR Y BIOLOGÍA APLICADA;8;15;53.33
CIENCIAS EXPERIMENTALES Y BIOSANITARIAS;16;25;64
CONSERVACIÓN Y RESTAURACIÓN DE ECOSISTEMAS;8;5;160
DERECHO;57;20;285
ECONOMÍA;21;20;105
ECONOMÍA (Interuniversitario);5;15;33.33
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);5;5;100
EMPRESA, ECONOMÍA Y SOCIEDAD;38;20;190
ESTUDIOS HISTÓRICOS Y SOCIALES SOBRE CIENCIA, MEDICINA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);4;10;40
ESTUDIOS INTERDISCIPLINARES DE GÉNERO (Interuniversitario);13;5;260
FILOSOFÍA (Interuniversitario);2;3;66.67
FILOSOFÍA Y LETRAS;81;75;108
FÍSICA APLICADA A LAS CIENCIAS Y LAS TECNOLOGÍAS;12;10;120
HUMANIDADES Y ESTUDIOS SOCIALES DE AMÉRICA LATINA;39;40;97.5
INFORMÁTICA;43;40;107.5
INGENIERÍA DE MATERIALES, ESTRUCTURAS Y TERRENO: CONSTRUCCIÓN SOSTENIBLE;7;10;70
INGENIERÍA QUÍMICA;7;5;140
INVESTIGACIÓN EDUCATIVA;62;25;248
MÉTODOS MATEMÁTICOS Y MODELIZACIÓN EN CIENCIAS E INGENIERÍA;2;7;28.57
NANOCIENCIA Y NANOTECNOLOGÍA (Interuniversitario);4;5;80
SÍNTESIS ORGÁNICA;7;10;70
TECNOLOGÍA EDUCATIVA APLICADA AL CONOCIMIENTO;34;35;97.14
TRADUCTOLOGÍA, TRADUCCIÓN PROFESIONAL Y AUDIOVISUAL (Interuniversitario);24;20;120
TRANSFERENCIAS INTERCULTURALES E HISTÓRICAS EN LA EUROPA MEDIEVAL MEDITERRÁNEA;16;15;106.67
TURISMO (Interuniversitario);27;15;180
