PROGRAMAS DE DOCTORADO;TOTAL - Estudiantes en régimen de cotutela intern.;TOTAL - Estudiantes matriculados;TOTAL - Estudiantes en régimen de cotutela intern. (%);MUJERES - Estudiantes en régimen de cotutela intern.;MUJERES - Estudiantes matriculados;MUJERES - Estudiantes en régimen de cotutela intern. (%);HOMBRES - Estudiantes en régimen de cotutela intern.;HOMBRES - Estudiantes matriculados;HOMBRES - Estudiantes en régimen de cotutela intern. (%)
AGUA Y DESARROLLO SOSTENIBLE;5;50;10;3;22;13.64;2;28;7.14
BIODIVERSIDAD Y CONSERVACIÓN;0;20;0;0;7;0;0;13;0
BIOLOGÍA EXPERIMENTAL Y APLICADA;0;41;0;0;26;0;0;15;0
CIENCIA DE MATERIALES;0;65;0;0;31;0;0;34;0
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;0;5;0;0;3;0;0;2;0
CIENCIAS DE LA SALUD;0;179;0;0;114;0;0;65;0
CIENCIAS DEL MAR Y BIOLOGÍA APLICADA;2;25;8;0;17;0;2;8;25
CIENCIAS EXPERIMENTALES Y BIOSANITARIAS;0;57;0;0;26;0;0;31;0
CONSERVACIÓN Y RESTAURACIÓN DE ECOSISTEMAS;1;20;5;0;9;0;1;11;9.09
DERECHO;8;145;5.52;2;61;3.28;6;84;7.14
ECONOMÍA;0;41;0;0;14;0;0;27;0
ECONOMÍA (Interuniversitario);0;3;0;0;3;0;0;0;0
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);1;19;5.26;0;7;0;1;12;8.33
EMPRESA, ECONOMÍA Y SOCIEDAD;1;89;1.12;0;40;0;1;49;2.04
ESTUDIOS HISTÓRICOS Y SOCIALES SOBRE CIENCIA, MEDICINA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);0;3;0;0;3;0;0;0;0
ESTUDIOS INTERDISCIPLINARES DE GÉNERO (Interuniversitario);0;18;0;0;11;0;0;7;0
FILOSOFÍA (Interuniversitario);0;8;0;0;3;0;0;5;0
FILOSOFÍA Y LETRAS;1;251;0.4;0;142;0;1;109;0.92
FÍSICA APLICADA A LAS CIENCIAS Y LAS TECNOLOGÍAS;0;30;0;0;7;0;0;23;0
HUMANIDADES Y ESTUDIOS SOCIALES DE AMÉRICA LATINA;2;71;2.82;2;30;6.67;0;41;0
INFORMÁTICA;6;126;4.76;1;29;3.45;5;97;5.15
INGENIERÍA DE MATERIALES, ESTRUCTURAS Y TERRENO: CONSTRUCCIÓN SOSTENIBLE;4;36;11.11;0;11;0;4;25;16
INGENIERÍA QUÍMICA;1;23;4.35;1;11;9.09;0;12;0
INVESTIGACIÓN EDUCATIVA;1;89;1.12;1;52;1.92;0;37;0
MARIE SKLODOWSKA-CURIE EN DERECHO DE PROPIEDAD INTELECTUAL E INNOVACIÓN (EIPN-IS) (EUROPEO CONJUNTO);0;2;0;0;1;0;0;1;0
MÉTODOS MATEMÁTICOS Y MODELIZACIÓN EN CIENCIAS E INGENIERÍA;0;23;0;0;8;0;0;15;0
NANOCIENCIA Y NANOTECNOLOGÍA (Interuniversitario);0;6;0;0;2;0;0;4;0
SÍNTESIS ORGÁNICA;1;17;5.88;1;11;9.09;0;6;0
TECNOLOGÍA EDUCATIVA APLICADA AL CONOCIMIENTO;0;28;0;0;8;0;0;20;0
TRADUCTOLOGÍA, TRADUCCIÓN PROFESIONAL Y AUDIOVISUAL (Interuniversitario);1;34;2.94;1;29;3.45;0;5;0
TRANSFERENCIAS INTERCULTURALES E HISTÓRICAS EN LA EUROPA MEDIEVAL MEDITERRÁNEA;0;48;0;0;26;0;0;22;0
TURISMO (Interuniversitario);0;30;0;0;14;0;0;16;0
