PROGRAMAS DE DOCTORADO;TOTAL - Estudiantes procedentes  de otras universidades;TOTAL - Estudiantes nuevos;TOTAL - Estudiantes procedentes  de otras universidades (%);MUJERES - Estudiantes procedentes  de otras universidades;MUJERES - Estudiantes nuevos;MUJERES - Estudiantes procedentes  de otras universidades (%);HOMBRES - Estudiantes procedentes  de otras universidades;HOMBRES - Estudiantes nuevos;HOMBRES - Estudiantes procedentes  de otras universidades (%)
AGUA Y DESARROLLO SOSTENIBLE;7;12;58.33;2;5;40;5;7;71.43
BIODIVERSIDAD Y CONSERVACIÓN;4;5;80;2;2;100;2;3;66.67
BIOLOGÍA EXPERIMENTAL Y APLICADA;2;8;25;2;7;28.57;0;1;0
CIENCIA DE MATERIALES;8;14;57.14;2;6;33.33;6;8;75
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;1;5;20;0;3;0;1;2;50
CIENCIAS DE LA SALUD;23;41;56.1;14;22;63.64;9;19;47.37
CIENCIAS DEL MAR Y BIOLOGÍA APLICADA;3;5;60;1;2;50;2;3;66.67
CIENCIAS EXPERIMENTALES Y BIOSANITARIAS;7;16;43.75;3;7;42.86;4;9;44.44
CONSERVACIÓN Y RESTAURACIÓN DE ECOSISTEMAS;0;2;0;0;0;0;0;2;0
DERECHO;19;28;67.86;8;15;53.33;11;13;84.62
ECONOMÍA;7;14;50;2;3;66.67;5;11;45.45
ECONOMÍA (Interuniversitario);1;1;100;1;1;100;0;0;0
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);2;3;66.67;1;1;100;1;2;50
EMPRESA, ECONOMÍA Y SOCIEDAD;8;20;40;4;10;40;4;10;40
ESTUDIOS HISTÓRICOS Y SOCIALES SOBRE CIENCIA, MEDICINA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);1;2;50;1;2;50;0;0;0
ESTUDIOS INTERDISCIPLINARES DE GÉNERO (Interuniversitario);2;4;50;1;2;50;1;2;50
FILOSOFÍA (Interuniversitario);0;2;0;0;2;0;0;0;0
FILOSOFÍA Y LETRAS;23;53;43.4;11;27;40.74;12;26;46.15
FÍSICA APLICADA A LAS CIENCIAS Y LAS TECNOLOGÍAS;2;9;22.22;0;0;0;2;9;22.22
HUMANIDADES Y ESTUDIOS SOCIALES DE AMÉRICA LATINA;20;23;86.96;4;5;80;16;18;88.89
INFORMÁTICA;12;35;34.29;4;9;44.44;8;26;30.77
INGENIERÍA DE MATERIALES, ESTRUCTURAS Y TERRENO: CONSTRUCCIÓN SOSTENIBLE;4;4;100;2;2;100;2;2;100
INGENIERÍA QUÍMICA;1;3;33.33;0;1;0;1;2;50
INVESTIGACIÓN EDUCATIVA;9;23;39.13;2;13;15.38;7;10;70
MÉTODOS MATEMÁTICOS Y MODELIZACIÓN EN CIENCIAS E INGENIERÍA;0;1;0;0;0;0;0;1;0
NANOCIENCIA Y NANOTECNOLOGÍA (Interuniversitario);0;3;0;0;0;0;0;3;0
SÍNTESIS ORGÁNICA;0;3;0;0;2;0;0;1;0
TECNOLOGÍA EDUCATIVA APLICADA AL CONOCIMIENTO;22;28;78.57;5;8;62.5;17;20;85
TRADUCTOLOGÍA, TRADUCCIÓN PROFESIONAL Y AUDIOVISUAL (Interuniversitario);3;6;50;3;5;60;0;1;0
TRANSFERENCIAS INTERCULTURALES E HISTÓRICAS EN LA EUROPA MEDIEVAL MEDITERRÁNEA;9;10;90;7;7;100;2;3;66.67
TURISMO (Interuniversitario);10;10;100;6;6;100;4;4;100
