PROGRAMAS DE DOCTORADO - TESIS CON LA CALIFICACIÓN CUM LAUDE;TOTAL - Tesis con la calificación cum laude;TOTAL - Tesis defendidas;TOTAL - Tesis con la calificación  cum laude (%);MUJERES - Tesis con la calificación cum laude;MUJERES - Tesis defendidas;MUJERES - Tesis con la calificación  cum laude (%);HOMBRES - Tesis con la calificación cum laude;HOMBRES - Tesis defendidas;HOMBRES - Tesis con la calificación  cum laude (%)
AGUA Y DESARROLLO SOSTENIBLE;4;8;50;2;4;50;2;4;50
BIODIVERSIDAD Y CONSERVACIÓN;5;6;83.33;1;2;50;4;4;100
BIOLOGÍA EXPERIMENTAL Y APLICADA;8;9;88.89;6;7;85.71;2;2;100
CIENCIA DE MATERIALES;5;7;71.43;3;5;60;2;2;100
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;0;0;0;0;0;0;0;0;0
CIENCIAS DE LA SALUD;22;26;84.62;14;18;77.78;8;8;100
CIENCIAS DEL MAR Y BIOLOGÍA APLICADA;2;3;66.67;0;1;0;2;2;100
CIENCIAS EXPERIMENTALES Y BIOSANITARIAS;4;5;80;3;4;75;1;1;100
CONSERVACIÓN Y RESTAURACIÓN DE ECOSISTEMAS;3;4;75;2;2;100;1;2;50
DERECHO;10;13;76.92;4;4;100;6;9;66.67
ECONOMÍA;8;9;88.89;4;5;80;4;4;100
ECONOMÍA (Interuniversitario);0;0;0;0;0;0;0;0;0
ELECTROQUÍMICA. CIENCIA Y TECNOLOGÍA (Interuniversitario);2;3;66.67;0;1;0;2;2;100
EMPRESA, ECONOMÍA Y SOCIEDAD;11;13;84.62;4;5;80;7;8;87.5
ESTUDIOS HISTÓRICOS Y SOCIALES SOBRE CIENCIA, MEDICINA Y COMUNICACIÓN CIENTÍFICA (Interuniversitario);0;1;0;0;1;0;0;0;0
ESTUDIOS INTERDISCIPLINARES DE GÉNERO (Interuniversitario);1;1;100;1;1;100;0;0;0
FILOSOFÍA (Interuniversitario);0;0;0;0;0;0;0;0;0
FILOSOFÍA Y LETRAS;24;32;75;14;17;82.35;10;15;66.67
FÍSICA APLICADA A LAS CIENCIAS Y LAS TECNOLOGÍAS;0;1;0;0;0;0;0;1;0
HUMANIDADES Y ESTUDIOS SOCIALES DE AMÉRICA LATINA;9;13;69.23;5;6;83.33;4;7;57.14
INFORMÁTICA;17;20;85;4;4;100;13;16;81.25
INGENIERÍA DE MATERIALES, ESTRUCTURAS Y TERRENO: CONSTRUCCIÓN SOSTENIBLE;6;8;75;2;2;100;4;6;66.67
INGENIERÍA QUÍMICA;4;4;100;2;2;100;2;2;100
INVESTIGACIÓN EDUCATIVA;25;27;92.59;13;14;92.86;12;13;92.31
MARIE SKLODOWSKA-CURIE EN DERECHO DE PROPIEDAD INTELECTUAL E INNOVACIÓN (EIPN-IS) (EUROPEO CONJUNTO);2;2;100;1;1;100;1;1;100
MÉTODOS MATEMÁTICOS Y MODELIZACIÓN EN CIENCIAS E INGENIERÍA;8;8;100;2;2;100;6;6;100
NANOCIENCIA Y NANOTECNOLOGÍA (Interuniversitario);0;0;0;0;0;0;0;0;0
NANOCIENCIA Y NANOTECNOLOGÍA (Interuniversitario, a extinguir);1;1;100;1;1;100;0;0;0
SÍNTESIS ORGÁNICA;4;4;100;3;3;100;1;1;100
TECNOLOGÍA EDUCATIVA APLICADA AL CONOCIMIENTO;0;0;0;0;0;0;0;0;0
TRADUCTOLOGÍA, TRADUCCIÓN PROFESIONAL Y AUDIOVISUAL (Interuniversitario);0;1;0;0;1;0;0;0;0
TRANSFERENCIAS INTERCULTURALES E HISTÓRICAS EN LA EUROPA MEDIEVAL MEDITERRÁNEA;14;14;100;4;4;100;10;10;100
TURISMO (Interuniversitario);0;0;0;0;0;0;0;0;0
TURISMO (Interuniversitario, a extinguir);3;4;75;1;1;100;2;3;66.67
